"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"M. Sasaki","Japan 2.","Iwaki","GK","23","150000","2027-06-30","13","1288","0","0","Japan","left","184","1.96","0.07","100","0.42","100","0","3.16","0","0","0","0","0","0","0","0","0","0","0","0.21","100","0.07","0","0","13.07","69.52","10.76","65.58","9.36","58.96","0","0","0","0","0","5.45","64.1","0.49","42.86","0.07","6.57","85.11"
"Y. Yokoyama","Japan 2.","Imabari","CF, LW, AMF","20","0","","19","1287","5","4","Japan","","172","2.8","2.17","64.52","1.82","0","0.14","2.02","6.08","0.35","0.27","0","3.36","39.58","10.417","3.36","33.33","6.01","59.3","9.65","43.48","3.01","1.89","0.42","16.36","67.95","4.06","63.79","1.19","47.06","0.11","0","0.21","33.33","0.49","1.61","60.87","3.71","49.06","1.05","2.73","84.62"
"R. Sagara","Japan 2.","Vegalta Sendai","LW","23","450000","2026-01-31","18","1287","4","0","Japan","right","172","6.08","4.55","72.31","1.96","53.57","0.07","3.7","4.76","0.28","0.3","0","3.71","32.08","7.547","2.24","34.38","4.97","56.34","9.65","45.65","3.15","2.38","0.35","24.06","79.07","5.38","53.25","2.45","34.29","0.08","0.07","0","0","0.28","2.73","51.28","2.52","41.67","0.42","2.59","75.68"
"M. Sugita","Japan 2.","Fujieda MYFC","LCMF, RCMF","30","200000","2026-01-31","23","1285","3","0","Japan","right","170","8.33","5.74","65.85","4.06","34.48","0.21","6.28","0.63","0.21","0.08","0","1.54","18.18","13.636","0.56","37.5","0.14","100","1.68","25","1.26","0.91","0.14","41.39","81.05","13.8","65.99","3.64","34.62","0.03","0","0","0","0.21","6.37","70.33","1.75","52","0.91","6.37","64.84"
"Y. Fujiwara","Japan 2.","Oita Trinita","CB","23","0","2026-01-31","17","1284","1","0","Japan","right","182","8.06","3.29","78.72","4.56","67.69","0.77","6.31","0.07","0.07","0.03","0.07","0.21","33.33","33.333","0.14","0","0.14","0","0.98","42.86","0.35","0.84","0","39.88","84.18","14.93","65.26","5.26","45.33","0","0","0","0","0","4.56","52.31","0.49","42.86","0.28","5.89","58.33"
"S. Tsuji","Japan 2.","Ehime","GK","28","150000","2026-01-31","13","1282","0","0","Japan","right","187","1.76","0","0","0.56","100","0","2.25","0","0","0.01","0","0.07","0","0","0","0","0","0","0.07","0","0.14","0.07","0","20.15","84.67","9.69","71.01","6.18","53.41","0","0","0","0","0","2.39","41.18","0.21","0","0","3.51","68"
"R. Iizumi","Japan 2.","Blaublitz Akita","RCB","29","150000","2026-01-31","14","1281","2","0","Japan","right","181","8.36","3.51","64","8.5","57.02","0.84","7.7","0.35","0.14","0.13","0.07","0.98","28.57","14.286","0.14","0","0.14","50","1.33","68.42","1.26","0","0","25.15","74.3","12.51","64.04","6.67","50.53","0","0.07","0","0","0","5.62","55","0.63","33.33","0.07","6.04","61.63"
"T. Yachida","Japan 2.","RB Omiya Ardija","RCMF, RDMF","23","350000","","24","1276","1","2","Japan","right","170","6.91","4.44","55.56","1.97","32.14","0.35","5.89","1.48","0.07","0.09","0","0.99","21.43","7.143","1.41","35","1.06","66.67","3.46","48.98","0.92","0.71","0","38.02","82","13.97","70.71","3.53","50","0.22","0","0.07","100","0.21","7.12","67.33","2.68","52.63","1.06","7.26","74.76"
"S. Kaneko","Japan 2.","Fujieda MYFC","AMF, LWF, CF","30","400000","","23","1273","1","0","Japan","right","163","5.73","5.59","60.76","2.62","24.32","0","3.73","1.48","0.07","0.06","0.07","0.99","21.43","7.143","1.63","17.39","1.77","52","6.72","36.84","2.47","1.41","0.49","25.59","76.24","7.56","61.68","1.34","42.11","0.08","0.07","0.21","33.33","0.21","1.98","64.29","1.56","50","1.06","3.25","67.39"
"S. Takagi","Japan 2.","Consadole Sapporo","GK","36","75000","","13","1272","0","0","Japan","left","181","1.99","0.08","100","0.69","100","0","2.74","0","0","0","0","0","0","0","0","0","0","0","0.23","66.67","0","0","0","29.49","83.38","18.08","76.27","11.72","62.75","0","0","0.08","0","0","3.06","42.5","0.31","25","0.08","8.04","68.57"
