"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"M. Tait","Scotland 1.","Livingston","LDMF, LCMF, RCMF","20","0","2028-05-31","9","748","0","0.23","1","0.22","Scotland","left","0","7.58","7.34","59.02","1.44","25","0.12","3.53","0.72","0","0.03","0","0.24","50","0","0.84","57.14","0.72","16.67","2.53","42.86","0.72","0.84","0.48","29.96","76.71","8.42","45.71","3.61","30","0.03","0","0.24","4.21","51.43","2.29","26.32","0.12","4.57","55.26"
"I. Dolček","Scotland 1.","Dundee United","RWF, LWB, LW","25","325000","2027-06-30","10","745","6","2.24","1","1.37","Croatia","left","181","5.44","4.35","69.44","1.21","30","0","2.86","4.23","0.72","0.27","0","3.02","44","24","1.81","40","3.74","58.06","8.7","43.06","3.62","1.33","0.24","19.93","69.7","5.19","60.47","0.85","57.14","0.17","0.24","0.48","1.45","58.33","2.54","57.14","1.45","4.59","50"
"W. O'Hora","Scotland 1.","Hibernian","RCB","26","0","","8","741","0","0.65","0","0.45","Republic of Ireland","right","191","9.96","5.22","79.07","4.37","41.67","0.36","7.07","0.24","0","0.08","0","0.24","0","0","0.36","66.67","0.12","0","1.21","40","0.61","0.24","0","45.18","84.68","22.23","75.41","5.34","36.36","0.06","0","0.12","5.71","53.19","0.49","75","0.36","8.87","67.12"
"C. Congreve","Scotland 1.","Dundee","RW, RWF","21","350000","","10","740","0","0.61","5","3.18","Wales","right","180","6.32","5.72","68.09","1.34","36.36","0","2.6","4.99","0","0.07","0","1.58","61.54","0","3.04","28","6.08","52","14.47","34.45","2.07","3.04","0.24","21.53","75.14","4.99","60.98","1.7","28.57","0.39","0","0.73","2.07","58.82","2.68","27.27","0.49","3.16","76.92"
"N. Devlin","Scotland 1.","Aberdeen","RCB, LB, RWB","32","550000","","9","735","0","0.57","0","0.14","Scotland","right","183","6.73","4.9","65","2.94","37.5","0.24","3.32","1.1","0","0.07","0","0.49","50","0","0.49","75","0.86","57.14","2.57","42.86","0.73","0.98","0.24","33.8","82.97","15.06","75.61","3.55","37.93","0.02","0","0.12","4.16","58.82","0.73","50","0.12","5.63","50"
"M. Boyle","Scotland 1.","Hibernian","CF, RW","32","1300000","2026-05-31","12","726","2","2.74","0","1.14","Scotland","right","172","1.86","2.48","50","1.12","0","0.12","0.82","3.97","0.12","0.34","0","2.73","40.91","9.091","2.11","52.94","3.72","46.67","8.55","36.23","4.96","2.36","0.37","12.27","68.69","2.23","61.11","0.37","66.67","0.14","0","0.74","0.99","50","1.24","80","0.74","2.23","77.78"
"A. Stamatelopoulos","Scotland 1.","Motherwell","CF","26","500000","","11","724","4","6.28","0","0.75","Australia","right","184","3.48","2.98","58.33","5.35","53.49","0.12","2.44","1.62","0.12","0.78","0.12","2.49","40","20","0.5","0","0.62","100","7.58","27.87","4.35","0.25","0","13.43","66.67","2.36","57.89","0.62","60","0.09","0.12","0.12","0.75","66.67","1.49","33.33","0.87","1.12","44.44"
"D. Barlaser","Scotland 1.","Hibernian","DMF, RCMF","28","2200000","2026-06-30","9","722","0","0.04","0","0.38","England","right","184","5.61","4.74","60.53","1.37","63.64","0.12","3.46","0.62","0","0","0","0.37","0","0","0.37","33.33","0.5","75","3.24","53.85","0","1","0.12","41.14","86.67","13.59","74.31","3.86","58.06","0.05","0.12","0.37","6.61","79.25","1.37","72.73","0.75","6.86","76.36"
"L. Polworth","Scotland 1.","Kilmarnock","DMF, RCMF","31","350000","2026-05-31","10","721","1","0.68","1","0.56","Scotland","right","179","7.36","6.37","58.82","1.37","45.45","0","3.68","1.12","0.12","0.08","0","0.5","25","25","1.25","40","1","37.5","4.37","48.57","0.75","0.87","0.12","38.2","82.03","14.23","71.93","3.87","41.94","0.07","0.12","0.5","5.49","70.45","3.25","42.31","0.37","6.37","78.43"
"M. O'Hara","Scotland 1.","St. Mirren","LCMF","29","700000","2026-05-31","8","717","0","1.09","0","1.17","Scotland","right","188","5.52","4.27","64.71","2.13","58.82","0.13","2.86","1.13","0","0.14","0","1.38","27.27","0","1.51","33.33","0.5","50","1.88","66.67","2.01","0.63","0.38","21.72","75.72","5.65","51.11","2.26","61.11","0.15","0","0.13","3.77","50","2.51","50","1","3.26","69.23"
"A. Montgomery","Scotland 1.","Livingston","LB","23","500000","2026-05-31","8","716","0","0.18","1","0.25","Scotland","left","173","10.06","8.04","57.81","2.64","52.38","0.13","6.96","1.01","0","0.02","0","0.5","25","0","1.89","13.33","1.13","55.56","4.4","45.71","1.13","1.38","0.25","31.8","76.68","14.2","70.8","2.77","27.27","0.03","0","0.38","5.03","70","0.88","42.86","0.5","7.92","76.19"
"N. Cadden","Scotland 1.","Hibernian","LWB, LB, LCMF","29","500000","2027-05-31","8","711","0","0.82","0","1.16","Scotland","left","178","4.81","3.29","53.85","1.65","46.15","0.25","3.68","7.09","0","0.1","0","1.77","21.43","0","9.11","38.89","4.05","78.13","5.7","64.44","2.03","2.91","0.25","36.46","71.53","10.13","65","4.43","37.14","0.15","0.13","0.76","5.57","63.64","8.23","43.08","0.51","9.87","82.05"
"J. Karlsson","Scotland 1.","Aberdeen","LWF, LAMF, LW","27","8000000","2028-06-30","8","705","3","2.54","0","1.78","Sweden","right","179","4.09","3.96","67.74","0.64","60","0","1.74","3.7","0.26","0.32","0","3.19","32","12","1.91","26.67","4.09","53.13","9.7","43.42","3.32","2.43","0.38","29.87","77.35","6.89","64.81","2.43","42.11","0.23","0","0.51","3.57","57.14","3.19","44","1.91","4.09","87.5"
"L. Neilson","Scotland 1.","Falkirk","RCB","22","450000","2026-05-31","7","696","0","0","0","0","Scotland","right","184","6.59","3.88","70","4.66","69.44","0.39","5.65","0.26","0","0","0","0","0","0","0","0","0.39","66.67","1.42","18.18","0","0.13","0.13","37.5","83.1","17.2","71.43","7.24","50","0","0","0","5.82","51.11","0.39","0","0","5.82","68.89"
"D. Maeda","Scotland 1.","Celtic","LWF, RWF, CF","28","7000000","","9","696","3","2.63","2","1.54","Japan","right","173","5.82","5.3","63.41","2.07","50","0","4.36","3.1","0.39","0.34","0.26","1.94","53.33","20","2.59","35","2.46","47.37","7.24","28.57","6.34","1.16","0.26","26.38","82.35","1.81","64.29","0.65","60","0.2","0","0.78","1.16","55.56","1.55","41.67","0.52","2.2","76.47"
"I. Said","Scotland 1.","Motherwell","LAMF, AMF, CF","23","1000000","2026-06-30","11","696","0","1.2","0","0.55","Nigeria","right","173","4.27","4.14","65.63","0.78","66.67","0","2.31","3.23","0","0.16","0","1.42","27.27","0","2.07","43.75","2.84","68.18","14.61","36.28","2.59","3.1","0.78","32.72","75.89","9.05","61.43","1.55","25","0.07","0.26","0.26","3.62","53.57","3.62","50","1.29","4.66","69.44"
"R. MacIver","Scotland 1.","Falkirk","CF","26","150000","2027-05-31","10","693","3","4.12","1","1.14","Scotland","right","185","2.99","1.43","72.73","11.69","36.67","0","3.06","2.73","0.39","0.54","0.13","2.6","55","15","0.65","60","1.43","63.64","5.06","30.77","4.29","0.13","0","14.16","69.72","4.94","44.74","0.78","50","0.15","0.13","0.65","2.21","52.94","1.17","55.56","0.78","1.04","75"
"J. Westley","Scotland 1.","Dundee","CF, LWF, RCMF","21","0","","10","692","1","1.88","0","0.22","England","unknown","0","5.59","4.16","53.13","6.63","29.41","0.13","3.39","0.78","0.13","0.24","0","0.91","28.57","14.286","0.52","0","0.78","66.67","6.37","32.65","1.95","0.78","0","13.4","67.96","3.12","25","0.91","0","0.03","0","0.13","2.21","52.94","0.52","25","0.26","1.3","40"
"G. Shinnie","Scotland 1.","Aberdeen","LCMF, RDMF, LB","34","350000","2026-05-31","9","686","0","0","0","0","Scotland","left","175","9.97","8.53","67.69","2.89","36.36","0.13","4.38","1.05","0","0","0","0","0","0","1.05","50","0.92","42.86","6.56","50","0.13","1.05","0.13","36.73","83.21","13.64","72.12","4.07","35.48","0","0.13","0","4.85","59.46","1.97","53.33","0.92","5.9","66.67"
"C. Cadden","Scotland 1.","Hibernian","RWB, RB","29","650000","2027-05-31","11","685","1","0.61","2","0.72","Scotland","right","183","7.75","5.91","53.33","2.5","57.89","0","5.96","1.31","0.13","0.08","0","0.53","25","25","3.02","17.39","1.58","41.67","4.2","34.38","2.63","1.05","0.13","34.82","72.08","12.74","61.86","3.15","37.5","0.09","0","0.39","4.99","63.16","2.1","56.25","0.66","7.62","63.79"
"C. Carter-Vickers","Scotland 1.","Celtic","RCB","27","14000000","2029-05-31","7","680","0","0.25","0","0","England","right","183","7.54","4.63","77.14","6.62","62","0.13","7.3","0.26","0","0.03","0","0.4","33.33","0","0","0","0.13","100","1.46","54.55","0.66","2.38","0.13","88.15","95.95","32.43","93.06","2.38","55.56","0","0","0","11.51","90.8","0.13","0","0","12.84","88.66"
"M. Stryjek","Scotland 1.","Kilmarnock","GK","29","450000","","7","674","0","0","0","0","Poland","right","188","1.34","0.27","0","0.53","100","0","1.46","0","0","0","0","0","0","0","0","0","0","0","0.13","100","0","0","0","15.62","76.92","12.15","70.33","9.21","62.32","0","0","0","2.94","45.45","0.27","0","0","7.21","79.63"
"B. Anderson","Scotland 1.","Kilmarnock","CF","27","550000","2026-05-31","12","674","1","1.57","0","0.1","Scotland","right","173","3.34","3.2","50","5.47","14.63","0.13","1.8","1.34","0.13","0.21","0","1.87","42.86","7.143","0.4","33.33","0.8","50","5.74","32.56","2.8","0.67","0.4","11.62","73.56","2.67","45","0.27","100","0.01","0","0.4","1.07","50","0.4","66.67","0.4","1.07","75"
"B. Lyons","Scotland 1.","Kilmarnock","DMF, LCMF, RCB","28","350000","2026-05-31","10","673","0","0.4","1","0.56","Northern Ireland","right","183","8.56","3.61","70.37","4.15","45.16","0.4","5.97","0.67","0","0.05","0","0.67","40","0","0.67","20","0.53","50","4.28","53.13","0.94","0.4","0.13","30.49","82.02","10.7","67.5","3.34","48","0.08","0","0.27","4.95","59.46","1.47","27.27","0.67","4.95","64.86"
"F. Robertson","Scotland 1.","Dundee","LCMF, RCMF","22","200000","","9","672","1","0.47","0","0.29","Scotland","right","171","8.17","7.5","69.64","1.61","58.33","0","2.84","1.61","0.13","0.06","0","0.54","25","25","2.41","27.78","1.21","66.67","5.49","31.71","1.21","1.47","0.27","32.14","79.17","6.56","53.06","3.35","36","0.04","0","0","3.08","56.52","1.61","33.33","0.54","3.88","62.07"
"E. Just","Scotland 1.","Motherwell","AMF, LAMF, RCMF","25","350000","2026-06-30","8","672","2","1.26","3","2.02","New Zealand","left","174","6.03","5.49","56.1","2.41","38.89","0","4.32","3.75","0.27","0.17","0","2.14","12.5","12.5","1.88","21.43","4.69","60","9.91","40.54","4.15","3.62","0.8","36.7","81.02","12.59","71.28","0.94","42.86","0.27","0.54","0.8","3.62","74.07","3.88","51.72","2.14","6.16","76.09"
"S. Murray","Scotland 1.","Dundee","CF","33","200000","2027-05-31","9","663","1","2.2","0","0.02","Scotland","right","183","4.07","3.67","59.26","2.17","12.5","0.27","1.75","1.09","0.14","0.3","0","1.49","36.36","9.091","0.27","0","1.22","44.44","4.34","21.88","2.58","0.68","0.14","12.08","66.29","2.71","45","0.95","42.86","0","0","0.14","1.36","30","1.22","33.33","0.27","1.22","66.67"
"L. Smith","Scotland 1.","Livingston","RAMF","25","100000","2026-05-31","11","647","2","1.1","1","0.29","Scotland","left","176","7.51","6.96","58","1.67","50","0","4.47","5.7","0.28","0.15","0","2.36","35.29","11.765","3.62","26.92","6.82","55.1","14.19","48.04","3.06","3.89","0.42","27.68","72.36","7.37","60.38","2.23","56.25","0.04","0.14","0.28","2.78","70","2.78","45","1.25","4.45","68.75"
"R. Hatate","Scotland 1.","Celtic","LCMF","27","10000000","2028-05-31","9","644","1","0.68","1","0.88","Japan","right","172","4.05","3.77","51.85","2.1","33.33","0.14","2.68","1.82","0.14","0.1","0","1.54","45.45","9.091","1.68","25","0.84","66.67","5.17","48.65","2.38","0.56","0","56.6","82.47","14.67","71.43","3.77","55.56","0.12","0.28","0.84","4.47","65.63","5.03","55.56","3.35","5.31","68.42"
"J. Meghoma","Scotland 1.","Rangers","LB","19","0","","8","641","0","0.15","1","0.95","England","left","176","8.71","7.02","74","1.97","21.43","0.14","6.2","2.53","0","0.02","0","0.28","50","0","2.67","26.32","2.25","75","4.77","52.94","0.28","1.83","0.14","48.72","84.15","17.55","72.8","3.79","48.15","0.13","0","0.42","5.05","80.56","2.25","56.25","0.28","7.02","56"
"L. McCann","Scotland 1.","Falkirk","LB","25","50000","2026-05-31","7","632","0","0.02","1","0.85","Scotland","","171","8.54","5.55","79.49","2.42","41.18","0.14","5.74","2.71","0","0","0","0.14","0","0","3.84","37.04","1.71","75","3.42","62.5","0","1","0.43","33.89","73.95","11.53","55.56","4.41","35.48","0.12","0","0.71","5.13","47.22","3.56","40","0.14","5.84","70.73"
"A. Aouchiche","Scotland 1.","Aberdeen","AMF, RWF","23","2500000","","10","625","1","2.33","0","0.34","France","right","181","5.9","4.46","51.61","2.59","44.44","0","4.34","2.3","0.14","0.33","0","2.45","17.65","5.882","1.44","30","2.16","60","5.76","45","2.02","2.02","0.43","31.1","65.28","12.24","52.94","3.74","38.46","0.05","0.29","0.14","5.33","45.95","2.88","55","0.72","6.62","60.87"
"S. O'Donnell","Scotland 1.","Motherwell","RB, RCB","33","300000","2026-05-31","10","624","0","0","0","0.73","Scotland","right","184","8.22","6.2","72.09","2.6","44.44","0.58","6.61","1.3","0","0","0","0","0","0","2.6","44.44","0.43","33.33","1.88","30.77","0.29","1.15","0.14","62.88","85.78","20.34","74.47","6.63","50","0.1","0","0.29","5.77","50","2.88","50","0.29","10.53","78.08"
"A. Fatah","Scotland 1.","Dundee United","LWF, RAMF, RW","21","0","2027-06-30","10","613","1","1.39","2","0.44","Sweden","right","180","8.22","5.58","65.79","4.11","42.86","0","5.3","3.23","0","0.2","0","1.32","55.56","11.111","1.91","38.46","3.23","54.55","8.81","46.67","2.64","3.08","0.59","16.88","72.17","4.11","57.14","0.88","50","0.06","0","0.29","1.47","60","1.91","38.46","0.88","2.2","73.33"
"J. Obita","Scotland 1.","Hibernian","LB, LWB","31","400000","2027-05-31","9","607","0","0.48","0","0.23","England","left","180","5.04","5.19","45.71","3.86","50","0.15","3.53","1.63","0","0.07","0","0.74","0","0","3.41","21.74","1.48","60","3.86","26.92","1.04","1.19","0.3","38.7","77.78","14.98","74.26","3.56","62.5","0.03","0","0.15","6.67","71.11","2.97","30","0.15","9.93","76.12"
"S. May","Scotland 1.","Livingston","LAMF, CF, AMF","33","250000","","11","606","0","0.78","1","0.94","Scotland","right","178","6.98","5.5","43.24","1.04","14.29","0.15","4.56","3.42","0","0.12","0","1.78","58.33","0","2.82","31.58","2.52","58.82","6.39","46.51","2.97","1.34","0.15","28.96","74.87","7.72","53.85","2.23","33.33","0.14","0.15","0.15","3.12","57.14","3.56","45.83","1.04","4.16","67.86"
"D. Cornelius","Scotland 1.","Rangers","LCB, LB","27","2800000","2028-06-30","7","604","1","0.51","1","0.56","Canada","left","187","10.43","6.56","75","5.51","54.05","0.15","9.44","1.19","0.15","0.08","0.15","0.6","50","25","0.45","33.33","0.75","80","4.32","75.86","1.64","0.6","0.15","63.92","88.58","26.23","81.25","6.71","64.44","0.08","0.15","0.15","7.9","77.36","1.49","50","0.75","11.32","72.37"
"E. Williams","Scotland 1.","Falkirk","LAMF, AMF, RAMF","20","0","","9","604","1","1.01","3","0.64","England","right","0","6.11","5.07","76.47","1.79","16.67","0","2.94","4.92","0.15","0.15","0","1.19","50","12.5","4.62","51.61","3.73","52","7.6","49.02","2.09","1.94","0","26.23","69.89","7.45","54","2.38","31.25","0.1","0","0.45","3.43","56.52","4.47","63.33","0.75","5.81","79.49"
"S. Kingsley","Scotland 1.","Hearts","LB","31","1000000","2027-05-31","9","604","0","0.19","0","0.68","Scotland","left","178","7.45","5.81","56.41","3.28","59.09","0","5.66","2.09","0","0.03","0","0.89","16.67","0","3.58","37.5","0.6","100","1.79","58.33","0.45","0.89","0.3","44.25","83.5","20.41","77.37","4.77","59.38","0.1","0","0.6","8.34","76.79","3.87","42.31","0.3","12.81","82.56"
"J. Ayunga","Scotland 1.","St. Mirren","CF","28","450000","","11","594","1","1.17","0","0.1","England","right","185","3.18","4.09","51.85","7.88","36.54","0","1.16","1.97","0.15","0.18","0","1.67","54.55","9.091","0.91","16.67","1.52","60","7.27","25","3.64","1.06","0","14.39","73.68","2.73","50","0.45","100","0.02","0","0.3","1.52","50","0.91","33.33","0.45","1.06","71.43"
"J. Koutroumbis","Scotland 1.","Motherwell","RB, LB","27","350000","","10","591","1","0.28","0","0.13","Australia","right","183","8.38","6.4","69.05","1.83","25","0.15","5.37","1.52","0.15","0.04","0","0.61","25","25","1.83","8.33","1.68","72.73","5.03","51.52","0.61","1.68","0.3","51.17","81.85","20.1","71.97","3.35","18.18","0.02","0","0","6.85","62.22","2.89","36.84","1.07","9.59","76.19"
"R. King","Scotland 1.","St. Mirren","CB, RCB, LCB","23","0","2027-06-30","9","589","0","0.11","0","0.42","Jamaica","right","187","9.02","5.81","55.26","2.44","50","0.46","7.17","0.61","0","0.02","0","0.31","50","0","0.31","50","0.61","50","1.99","38.46","0.61","1.07","0","43.09","76.24","19.86","69.23","10.24","47.76","0.06","0","0.15","10.54","63.77","2.75","38.89","0.92","12.22","71.25"
"H. Cartwright","Scotland 1.","Falkirk","RDMF, LDMF","20","0","","12","586","1","0.1","0","0","England","right","0","8.29","7.83","60.78","2.92","26.32","0","5.27","0.92","0.15","0.02","0","0.31","100","50","0.31","0","0.92","66.67","4.45","37.93","0","0.61","0.15","32.87","77.57","10.9","52.11","4.76","29.03","0","0.15","0","6.3","53.66","0.77","40","0.15","4.91","68.75"
"T. Aasgaard","Scotland 1.","Rangers","AMF, LW, LCMF","23","700000","2028-06-30","9","585","1","1.32","0","0.31","England","right","170","5.69","3.69","70.83","3.69","50","0.46","4.95","4.15","0.15","0.2","0","2.31","53.33","6.667","1.38","33.33","4","57.69","12.15","30.38","2.92","2.46","0.62","35.38","85.22","6.77","72.73","1.54","30","0.05","0.15","0.31","3.69","58.33","2.31","66.67","1.69","3.38","68.18"
"Mahamadou Susoho","Scotland 1.","Livingston","RDMF, DMF, RCMF","20","1500000","","8","565","0","0.06","0","0.01","Spain","right","175","7.01","6.37","55","0.96","33.33","0.16","5.16","0.32","0","0.01","0","0.16","0","0","0.48","0","0.48","66.67","3.98","60","0.16","0.64","0","43.49","85.35","10.19","64.06","3.82","58.33","0","0","0","4.14","76.92","1.27","25","0.16","4.62","48.28"
"L. Gordon","Scotland 1.","Motherwell","RCB","29","500000","","7","561","0","0","0","0","Scotland","right","182","6.1","3.37","57.14","3.53","59.09","0.64","5.43","0.16","0","0","0","0","0","0","0.16","100","0","0","0.32","0","0.16","0.48","0","51.66","92.24","20.37","84.25","4.49","60.71","0","0","0","4.33","70.37","0.48","33.33","0","7.38","69.57"
"B. Miovski","Scotland 1.","Rangers","CF","26","4000000","2028-06-30","8","558","1","1.58","0","0.15","North Macedonia","left","189","2.9","2.42","60","5","35.48","0.16","2.26","0.81","0.16","0.25","0","1.29","37.5","12.5","0.16","0","0.32","50","3.39","33.33","2.26","0.16","0","10.65","81.82","1.13","42.86","0.16","0","0.02","0.16","0.16","0.48","33.33","0.16","100","0.16","0.65","50"
"J. Bokila","Scotland 1.","Livingston","CF","37","125000","","11","558","4","2.62","0","0","Congo DR","left","188","3.87","4.35","55.56","10.16","14.29","0","1.38","1.13","0.32","0.42","0","1.45","44.44","44.444","0.65","0","1.29","37.5","8.23","21.57","2.42","0.32","0.16","7.42","65.22","1.94","50","0.16","100","0","0","0","0.65","50","0.32","0","0.32","0.48","66.67"
"K. Tierney","Scotland 1.","Celtic","LB","28","12000000","","8","557","1","0.7","2","1.52","Isle of Man","left","180","8.73","5.17","56.25","3.23","40","0.16","11.29","3.72","0.16","0.11","0","0.97","33.33","16.667","5.01","45.16","1.62","70","3.23","60","2.42","2.1","0.16","72.87","81.37","31.67","76.02","8.24","50.98","0.25","0","1.29","11.47","76.06","6.46","62.5","1.94","16.32","75.25"
