"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Z. Awe","England 4.","Salford City","LCB, CB","22","0","2027-06-30","6","457","1","0.33","0","0.05","England","right","192","no","10.63","7.29","75.68","9.45","54.17","0","7.14","0.2","0.07","0","2","0.39","50","50","0.39","50","0.79","50","3.94","55","1.38","0.2","0","19.69","65","12.21","54.84","5.71","27.59","0.01","0","0.2","3.94","40","1.97","20","0","6.11","54.84","","","0","0","","",""
"K. Mieczyslaw Łopata","England 4.","Bristol Rovers","RCB, CB","","0","","5","441","0","0.04","0","0","","","0","no","10.41","5.71","92.86","11.84","51.72","0.41","6.24","0","0.01","0","2","0.41","0","0","0","0","0","0","0.2","100","0.82","0.41","0","29.8","74.66","14.49","56.34","6.94","44.12","0","0","0","4.9","33.33","1.43","28.57","0.41","6.94","58.82","","","0","0","","",""
"J. Crole","England 4.","Newport County","CF","22","0","2028-06-30","10","438","0","0.23","0","0.3","Wales","right","0","no","3.29","2.47","25","10.07","18.37","0","3.71","0","0.05","0","5","1.03","60","0","0.82","0","1.44","28.57","6.58","18.75","1.44","1.03","0","12.12","61.02","3.7","55.56","0.41","50","0.06","0","0","1.23","50","1.64","0","0.21","1.03","80","","","0","0","","",""
"F. Willcox","England 4.","Hereford FC","LCB, LB","20","0","2026-03-15","6","434","0","0.08","0","0","England","","0","yes","12.03","10.37","70","8.92","46.51","0.41","4.96","0","0.02","0","1","0.21","0","0","0","0","0","0","2.7","69.23","0.41","0","0","21.77","67.62","13.89","59.7","6.43","41.94","0","0","0","6.64","62.5","0.62","33.33","0","8.92","62.79","","","0","0","","",""
"W. Dickson","England 4.","Chesterfield","AMF, LAMF, CF","21","0","2027-06-30","17","433","1","0.64","0","0.49","England","right","0","no","3.74","3.33","43.75","2.7","30.77","0.21","3.8","0.21","0.13","0","4","0.83","50","25","1.66","37.5","0.83","25","9.15","18.18","3.74","1.87","0.42","16.63","80","2.7","69.23","0","0","0.1","0","0.42","1.04","100","0.83","25","0.21","1.87","44.44","","","0","0","","",""
"J. Batty","England 4.","Swindon Town","LCB, LWB, LB","20","0","2026-06-30","6","423","0","0.45","1","1.26","England","left","0","no","9.79","5.32","76","7.45","40","0.43","9.2","0","0.09","0","3","0.64","33.33","0","4.04","42.11","1.06","80","2.98","50","0.85","0.85","0.21","34.68","64.42","19.79","58.06","7.02","30.3","0.27","0","0.64","5.53","46.15","3.19","33.33","0","9.15","62.79","","","0","0","","",""
"F. Borini","England 4.","Salford City","CF, RCMF","34","2000000","2026-06-30","15","420","1","2.18","1","0.05","Italy","right","180","no","4.07","3","50","4.07","36.84","0.21","4.56","0","0.47","0","10","2.14","30","10","1.71","62.5","1.71","37.5","6.64","45.16","2.36","0.86","0","21.43","61","8.79","48.78","4.29","30","0.01","0.43","0.21","4.29","35","2.57","58.33","0.64","4.93","65.22","","","0","0","","",""
"J. Donacien","England 4.","Chesterfield","RB, LCB, RCB","32","300000","2026-06-30","11","414","0","0.05","0","0.39","England","right","183","no","8.48","4.78","95.45","3.48","50","0.22","7.11","0","0.01","0","1","0.22","100","0","1.09","40","0","0","1.96","22.22","0.43","1.3","0.22","37.39","86.05","17.17","78.48","4.13","42.11","0.08","0","0.22","6.96","75","0.65","66.67","0","7.61","74.29","","","0","0","","",""
"E. Sutton","England 4.","Harrogate Town","LAMF, LW, RWB","19","0","2026-05-31","6","413","1","0.68","0","0.14","England","","0","yes","6.76","6.32","68.97","1.31","16.67","0","2.82","0.22","0.15","0","6","1.31","50","16.667","3.49","31.25","6.97","37.5","14.16","30.77","2.4","3.05","0.22","21.57","61.62","7.85","63.89","2.83","53.85","0.03","0","0.44","3.7","70.59","3.05","42.86","0.65","5.67","76.92","","","0","0","","",""
"A. Borland","England 4.","Swindon Town","RCMF, LCMF","18","0","2026-05-31","7","413","0","0","0","0.01","Scotland","right","0","yes","7.63","6.32","62.07","2.62","25","0.22","5.12","0","0","0","0","0","0","0","0.87","25","0.44","50","2.62","25","0.65","0.22","0","38.35","78.98","14.16","64.62","4.79","40.91","0","0.22","0","6.54","56.67","1.96","44.44","0.65","3.92","55.56","","","0","0","","",""
