"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"A. Miklič","Slovenia 1.","ND Slovan Ljubljana","RCB, LCB","21","0","","15","1120","0","0.41","0","0.16","Slovenia","unknown","0","no","10.21","6.03","76","2.97","48.65","0.64","7.53","0","0.03","0","3","0.24","0","0","0.08","100","0.24","66.67","1.69","42.86","0.56","1.21","0","43.23","83.83","18","70.98","6.35","59.49","0.01","0","0.08","5.22","73.85","0.48","50","0.16","9.24","63.48","","","0","0","","",""
"T. Benedičič Bizjak","Slovenia 1.","ND Slovan Ljubljana","RB","20","0","","14","1117","0","0.21","0","0.02","Slovakia","unknown","0","no","10.39","7.33","63.74","2.58","50","0.24","7.88","0","0.02","0","7","0.56","28.57","0","3.38","14.29","2.26","53.57","5","40.32","1.05","2.5","0.48","36.02","68.46","14.5","57.22","5.56","42.03","0","0","0.24","4.43","60","2.66","12.12","0.08","7.41","54.35","","","0","0","","",""
"M. Rorič","Slovenia 1.","Brinje-Grosuplje","LCMF, RCMF, DMF","26","75000","","15","1114","1","0.41","0","0.8","Slovenia","left","179","no","9.37","6.62","71.95","3.55","54.55","0.32","5.86","0.08","0.03","0.08","3","0.24","33.33","33.333","0.89","27.27","0.97","91.67","4.44","54.55","0.48","0.48","0","42.41","87.05","11.47","71.83","2.42","40","0.06","0","0.16","4.93","68.85","0.81","10","0.16","4.04","76","","","0","0","","",""
"T. Črešnar","Slovenia 1.","Dravinja","LB","20","0","","14","1112","0","0.2","1","1.15","Slovakia","","0","no","10.6","9.47","52.14","3.32","56.1","0.16","5.88","0","0.02","0","9","0.73","11.11","0","3.08","26.32","2.91","52.78","5.91","38.36","0.65","1.46","0","30.51","57.82","18.78","54.31","5.5","26.47","0.09","0","0.24","6.56","44.44","3.4","30.95","0.49","10.04","64.52","","","0","0","","",""
"A. Ahmetaj","Slovenia 1.","Gorica","LCMF, DMF, RDMF","26","200000","2026-06-30","13","1104","2","1.3","0","0.25","Italy","both","180","no","8.97","10.11","55.65","3.51","34.88","0.41","4.71","0.16","0.11","0","13","1.06","30.77","15.385","0.57","28.57","0.65","75","5.95","35.62","0.73","0.73","0.08","37.5","81.74","12.23","62","4.81","47.46","0.02","0.08","0.08","6.36","64.1","1.3","25","0.16","5.46","70.15","","","0","0","","",""
"K. Kozar","Slovenia 1.","Bilje","CF, RWF","17","0","","20","1099","0","4.69","0","0.47","Slovenia","unknown","0","no","3.93","3.19","74.36","6.06","40.54","0.08","1.78","0","0.38","0","24","1.97","50","0","0.08","0","0.82","30","5.57","26.47","3.44","0.33","0.08","17.93","75.8","2.62","43.75","0.9","54.55","0.04","0","0.08","0.98","66.67","0.9","63.64","0.66","1.47","38.89","","","0","0","","",""
"N. Neychev","Slovenia 1.","Tabor Sežana","LB, LCB","21","0","2028-06-30","14","1097","0","1.01","1","1.44","Bulgaria","","0","no","9.6","6.73","62.2","4.27","59.62","0.74","8.03","0","0.08","0","8","0.66","37.5","0","0.98","41.67","0.74","77.78","2.79","50","0.74","1.97","0.16","50.7","80.74","25.19","70.36","9.27","43.36","0.12","0.08","0.08","9.52","53.45","2.13","23.08","0.33","12.47","73.03","","","0","0","","",""
"D. Vadnov","Slovenia 1.","Dekani","RCB","23","0","","12","1097","1","0.61","0","0","Croatia","unknown","0","no","9.76","4.35","69.81","3.94","41.67","0.66","8.01","0.08","0.05","0","5","0.41","20","20","0","0","0.08","100","1.23","40","0.49","0.49","0","38.97","83.37","17.89","71.56","7.22","52.27","0","0","0","4.68","54.39","0.49","0","0","8.37","59.8","","","0","0","","",""
"T. Vendramin","Slovenia 1.","Gorica","RB","22","0","","15","1096","0","0","0","0.22","Slovenia","right","0","no","10.92","8.05","73.47","2.14","65.38","0.16","5.94","0","0","0","0","0","0","0","1.89","17.39","1.56","63.16","5.26","42.19","0.25","1.23","0.16","33.01","76.87","15.6","75.79","3.78","43.48","0.02","0.08","0","5.99","67.12","2.22","33.33","0.49","7.72","72.34","","","0","0","","",""
"A. Jašaragič","Slovenia 1.","Nafta","LW, LAMF, LWF","26","50000","2027-06-30","21","1087","3","3.46","5","2.9","Slovenia","right","178","no","6.71","6.87","56.63","1.99","37.5","0.08","3.45","0.25","0.29","0.08","25","2.07","48","12","2.48","33.33","5.46","51.52","12.34","38.26","4.06","3.48","0.33","26.25","77.92","5.8","77.14","1.82","59.09","0.24","0.08","0.83","1.49","55.56","3.39","65.85","2.4","4.22","78.43","","","0","0","","",""
"N. Ngobese","Slovenia 1.","Jesenice","LAMF, RCMF, RAMF","","0","","17","1085","0","1.01","1","1.11","Slovenia","","0","no","9.04","8.05","64.95","2.99","19.44","0.17","4.56","0","0.08","0","9","0.75","55.56","0","1.66","25","2.16","53.85","7.05","41.18","1.91","1.49","0.08","23.23","72.14","7.22","64.37","2.16","34.62","0.09","0.17","0.33","2.65","68.75","1.58","47.37","0.66","4.73","59.65","","","0","0","","",""
"B. Kovačević","Slovenia 1.","Bilje","CF, LWF","22","0","","15","1078","2","3.45","2","1.39","Croatia","","0","no","5.34","6.35","55.26","4.84","27.59","0.08","2.19","0.17","0.29","0","30","2.5","43.33","6.667","0.92","27.27","2.92","51.43","12.94","29.68","3.84","1.84","0.08","28.47","80.94","4.93","61.02","1.34","37.5","0.12","0","0.33","1.84","68.18","1.5","50","0.92","2","62.5","","","0","0","","",""
"N. Čenčič","Slovenia 1.","Triglav","LCB","19","0","","14","1075","0","0.06","0","0.03","Slovenia","unknown","0","no","7.87","5.11","73.77","1.84","59.09","0.84","6.24","0","0.01","0","4","0.33","0","0","0.67","50","0.84","60","2.18","46.15","0.33","1.67","0","55.26","85.45","24.28","76.21","11.47","61.31","0","0","0.08","8.79","62.86","1.34","43.75","0.33","10.8","69.77","","","0","0","","",""
"T. Ladan","Slovenia 1.","Tabor Sežana","RCMF, RDMF, DMF","20","0","","14","1074","1","0.67","0","0.41","Croatia","right","0","no","9.39","8.46","64.36","2.85","52.94","0.42","4.1","0.08","0.06","0","6","0.5","50","16.667","0.84","10","1.42","64.71","5.61","46.27","1.26","2.01","0.42","35.03","75.36","11.23","61.94","4.02","43.75","0.03","0.08","0.08","5.28","53.97","1.76","28.57","0.59","4.78","68.42","","","0","0","","",""
"A. Puskar","Slovenia 1.","ND Slovan Ljubljana","RCMF, LCMF, RDMF","27","0","","16","1072","1","1.68","0","1.26","Slovenia","unknown","0","no","7.14","7.47","55.06","1.76","14.29","0.34","4.07","0","0.14","0","13","1.09","15.38","7.692","1.18","28.57","0.67","75","3.61","37.21","0.25","1.51","0.17","52.05","83.23","16.37","69.74","5.79","56.52","0.11","0","0.34","9.24","69.09","2.27","37.04","0.34","7.64","78.02","","","0","0","","",""
"G. Bacan","Slovenia 1.","Krško","RB","19","0","","18","1070","0","0","1","1.24","Croatia","","0","no","11.44","10.51","60.8","0.84","40","0.08","5.33","0","0","0","1","0.08","0","0","3.2","34.21","3.28","53.85","7.4","43.18","0.84","2.02","0.17","27.17","66.56","9.76","57.76","2.94","34.29","0.1","0","0.08","3.53","38.1","2.86","32.35","0.17","6.06","50","","","0","0","","",""
"N. Salisu","Slovenia 1.","Gorica","LAMF, RAMF, RW","19","0","","20","1067","3","2.89","2","1.59","Nigeria","","0","no","5.06","5.74","48.53","4.13","24.49","0.17","3.01","0.25","0.24","0.08","23","1.94","39.13","13.043","1.94","47.83","2.53","66.67","9.78","40.52","4.81","1.6","0.51","23.2","74.91","4.89","65.52","2.28","40.74","0.13","0","0.51","1.77","52.38","2.36","53.57","0.84","3.46","58.54","","","0","0","","",""
"S. Matjaž","Slovenia 1.","Brinje-Grosuplje","LCB, LB","21","100000","2026-06-30","13","1053","6","1.43","0","0.44","Slovenia","left","190","no","9.06","7.52","67.05","4.53","52.83","0.68","6.17","0.51","0.12","0.51","9","0.77","66.67","66.667","1.62","42.11","0.85","100","2.74","46.88","1.37","1.79","0.17","52.39","80.1","23.76","70.5","8.12","44.21","0.04","0","0.17","8.63","53.47","1.71","35","0.17","9.83","66.96","","","0","0","","",""
