"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"K. Gotsuk","Turkey 1.","Nizhny Novgorod","CB","33","900000","2027-06-30","27","2644","3","4.66","0","0.16","Russia","left","194","9.29","4.12","71.07","6.98","66.34","0.85","7.77","0.1","0.16","0.07","26","0.89","38.46","11.538","0.03","0","0.31","66.67","0.95","50","1.36","0.07","0","30.23","81.98","13.14","67.62","5.48","46.58","0.01","0","0.03","3.64","49.53","0.24","28.57","0.14","5.79","61.18","","","0","0","","",""
"N. Tiknizyan","Turkey 1.","Lokomotiv Moskva","LB","26","6500000","2028-06-30","29","2641","5","3.64","2","2.7","Russia","left","182","9.17","5.01","61.22","2.52","43.24","0.2","7.98","0.17","0.12","0.03","25","0.85","36","20","2.45","31.94","2.59","60.53","5.55","49.08","1.81","1.67","1.06","37.04","80.68","13.84","76.85","2.62","42.86","0.09","0.34","0.2","4.26","76","2.25","46.97","0.65","7.53","71.95","","","0","0","","",""
"D. Fomin","Turkey 1.","Dinamo Moskva","LCMF, DMF","28","8000000","2029-06-30","28","2625","5","7.41","2","1.83","Russia","right","187","8.74","6.58","58.85","3.36","48.98","0.21","5.85","0.07","0.25","0","43","1.47","32.56","11.628","0.38","9.09","0.93","37.04","2.88","35.71","1.58","0.89","0.38","40.66","82.72","15.15","73.3","4.32","50","0.06","0.38","0.34","7.41","71.76","2.06","50","1.27","7.34","76.17","","","0","0","","",""
"Douglas Santos","Turkey 1.","Zenit","LB","31","0","2027-06-30","28","2616","0","0.89","3","4.65","Brazil","left","175","8.74","5.92","70.35","2.2","53.13","0.17","7.05","0","0.03","0","20","0.69","25","0","4.47","42.31","2.37","65.22","4.4","52.34","1.55","3.06","0.76","70.46","85.06","25.39","78.32","7.29","56.13","0.16","0.76","0.65","10.56","75.57","5.06","51.7","1.1","14.35","84.65","","","0","0","","",""
"D. Barinov","Turkey 1.","Lokomotiv Moskva","RDMF, RCMF, RCB","29","0","2026-06-30","27","2587","2","2.97","4","2.4","Russia","right","181","9.78","5.71","62.8","2.61","50.67","0.52","7.35","0.07","0.1","0.03","21","0.73","38.1","9.524","0.66","42.11","0.49","21.43","1.7","32.65","1.6","0.83","0.31","43.87","85.65","15.41","72.69","4.24","50.82","0.08","0.42","0.28","5.88","70.41","1.04","43.33","0.52","6.58","68.25","","","0","0","","",""
"I. Lantratov","Turkey 1.","Lokomotiv Moskva","GK","30","3500000","2029-06-30","27","2584","0","0","0","0.27","Russia","right","195","1.53","0.1","66.67","0.31","88.89","0","1.95","0","0","0","0","0","0","0","0","0","0.03","100","0.07","100","0","0","0.03","21.52","85.11","13.13","77.45","10.69","74.27","0.01","0","0.03","3.52","72.28","0.03","100","0.03","9.13","82.44","1.29","5.43","76.28","1.5","6.06","0.211","0.94"
"E. Spertsyan","Turkey 1.","Krasnodar","LCMF, AMF","25","0","2029-06-30","28","2578","10","7.74","11","6.29","Russia","right","178","5.41","4.68","47.76","1.47","52.38","0.17","4.65","0.24","0.27","0","70","2.44","34.29","14.286","0.98","42.86","3.81","55.96","8.69","46.99","2.37","2.93","1.68","42.24","86.45","11.38","74.54","1.92","50.91","0.22","1.61","0.59","4.68","76.87","3.21","63.04","2.23","5.69","80.37","","","0","0","","",""
"K. Appaev","Turkey 1.","Fakel","CF, LWF","35","250000","","28","2568","3","4.27","3","3.86","Russia","right","190","3.22","2.49","54.93","10.06","32.75","0.04","2.17","0.11","0.15","0.07","26","0.91","53.85","11.538","1.93","30.91","3.26","58.06","7.99","37.72","3.71","1.44","0.28","16.68","64.71","3.19","47.25","0.81","34.78","0.14","0.28","0.49","1.12","53.13","1.68","47.92","0.98","1.58","73.33","","","0","0","","",""
"S. Terekhov","Turkey 1.","Sochi","LCB, LCMF","35","500000","","27","2565","0","0.83","2","1.52","Russia","left","179","8.88","7.44","54.72","2.67","47.37","0.35","5.93","0","0.03","0","7","0.25","28.57","0","1.02","34.48","0.77","50","2.39","42.65","0.91","1.02","0.28","48.84","83.84","20.39","73.49","4.49","39.84","0.05","0.63","0.18","6.88","70.41","2.28","44.62","0.74","8.53","72.02","","","0","0","","",""
"R. Evgenjev","Turkey 1.","Krylya Sovetov","RCB, CB","26","2800000","2026-06-30","29","2545","1","2.4","1","0.87","Russia","right","193","9.3","4.17","72.03","7.36","56.25","0.53","7.96","0.04","0.08","0","15","0.53","26.67","6.667","0.14","50","0.42","50","1.13","28.13","1.2","0.57","0.07","39.75","86.03","15.1","73.3","5.48","54.84","0.03","0.07","0.21","3.78","62.62","0.5","42.86","0.35","7.18","65.02","","","0","0","","",""
"G. Bijl","Turkey 1.","Krylya Sovetov","RB, LB","30","2000000","2026-06-30","28","2540","2","3.06","1","3.33","Netherlands","right","179","10.91","8.72","60.98","1.77","64","0.21","6.41","0.04","0.11","0","34","1.2","41.18","5.882","2.52","36.62","1.59","53.33","3.58","51.49","1.24","1.52","0.74","45.5","81","18.71","74.81","4.96","49.29","0.12","0.21","0.35","6.06","72.51","3.01","50.59","0.81","10.84","71.57","","","0","0","","",""
"M. Osipenko","Turkey 1.","Rostov","LCB","31","5000000","2028-06-30","26","2534","6","4.93","1","0.76","Russia","right","193","9.91","5.15","68.28","6.75","70.53","0.78","8.49","0.07","0.18","0","17","0.6","35.29","35.294","0.57","56.25","0.36","70","1.49","57.14","0.89","1.81","0.25","52.57","83.99","22.52","71.92","11.65","60.37","0.03","0.18","0.14","8.63","62.14","1.39","48.72","0.39","9.98","74.73","","","0","0","","",""
"M. Gajić","Turkey 1.","CSKA Moskva","RWB","29","5000000","2027-06-30","29","2534","0","2.09","1","3.21","Serbia","right","178","6.32","5.15","56.55","2.17","26.23","0.25","4.1","0","0.07","0","28","0.99","28.57","0","3.2","31.11","1.88","41.51","3.41","33.33","2.52","1.07","0.67","26.82","70.73","9.48","62.55","4.01","46.9","0.11","0.14","0.32","3.73","52.38","2.56","45.83","0.64","5.86","73.94","","","0","0","","",""
"C. Ramírez","Turkey 1.","Krasnodar","LB","31","3500000","2027-06-30","27","2522","2","1.71","3","2.19","Ecuador","left","172","7.21","5.1","61.54","2.32","55.38","0.36","6.06","0.07","0.06","0","39","1.39","28.21","5.128","2.71","42.11","2.39","58.21","4.92","50.72","0.82","2.85","0.82","53.49","85.26","19.16","77.28","7.1","54.27","0.08","0.29","0.43","6.71","71.81","2.85","52.5","0.54","10.78","77.15","","","0","0","","",""
"Q. Promes","Turkey 1.","Spartak Moskva","CF, LWF","33","0","","27","2519","20","17.08","6","8.82","Netherlands","right","174","1.97","1.79","54","1.36","34.21","0.07","1.65","0.61","0.61","0.07","92","3.29","48.91","21.739","2.47","50.72","5.07","47.89","9.4","38.4","4.82","2.25","0.82","37.12","83.93","10.79","81.79","1","75","0.32","1.04","0.96","3.82","83.18","4.72","70.45","2.64","5.9","91.52","","","0","0","","",""
"D. Miškić","Turkey 1.","Ural","RDMF, LDMF, LCMF","32","1000000","","27","2489","3","4.71","0","1.43","Slovenia","right","182","7.63","5.46","52.32","2.71","54.67","0.33","5.56","0.11","0.17","0.07","45","1.63","33.33","6.667","1.3","36.11","1.12","41.94","2.71","37.33","1.45","1.27","0.36","47.98","84.1","15.95","73.24","5.82","61.49","0.05","1.16","0.14","8.93","70.85","3.18","53.41","1.37","8.93","80.57","","","0","0","","",""
"W. Barrios","Turkey 1.","Zenit","DMF, RDMF","32","0","2027-06-30","28","2488","1","0.43","2","0.77","Colombia","right","178","11.03","7.16","73.74","2.03","39.29","0.22","7.98","0.04","0.02","0","13","0.47","23.08","7.692","1.09","23.33","1.09","63.33","5.79","52.5","0.47","0.61","0.07","60.99","88.2","18.27","78.81","4.41","60.66","0.03","0.43","0.11","8.14","81.78","2.35","49.23","0.87","8.39","76.29","","","0","0","","",""
"V. Drkušić","Turkey 1.","Sochi","CB, RCB","26","3500000","2029-06-30","26","2481","1","2.18","1","0.04","Slovenia","right","186","10.88","7.33","72.77","7.76","70.56","0.83","6.93","0.04","0.08","0.04","19","0.69","31.58","5.263","0.07","0","0.15","100","1.12","54.84","0.62","0.33","0.18","39.87","85.17","16.61","72.27","6.06","59.28","0","0","0","3.88","62.62","0.22","16.67","0.11","7.22","61.81","","","0","0","","",""
"A. Makarchuk","Turkey 1.","Sochi","LWB","30","0","2026-06-30","29","2470","1","1.04","5","3.46","Russia","left","185","7.54","5.65","58.71","2.15","45.76","0.18","5.51","0.04","0.04","0.04","12","0.44","16.67","8.333","4.08","34.82","2.22","73.77","4.37","50.83","2.19","2.66","0.84","43.11","78.19","11.4","68.05","3.1","40","0.13","0.26","0.69","3.57","69.39","3.83","49.52","1.06","8.16","66.96","","","0","0","","",""
"A. Soldatenkov","Turkey 1.","Krylya Sovetov","LCB, RCB","28","4000000","2028-06-30","25","2470","0","0.42","0","0.46","Russia","right","189","7.72","3.79","69.23","4.66","57.81","0.44","6.46","0","0.02","0","4","0.15","75","0","0.15","50","0.29","62.5","1.24","44.12","0.36","0.47","0.15","40.55","85.8","17.38","76.31","6.19","53.53","0.02","0.07","0.07","5.72","70.06","0.47","46.15","0.18","8.05","67.42","","","0","0","","",""
"Malcom","Turkey 1.","Zenit","RWF, RW, RAMF","28","28000000","2027-06-30","27","2460","23","14.56","6","5.19","Brazil","left","171","3.8","3","60.98","3.7","33.66","0","2.97","0.77","0.53","0.04","102","3.73","43.14","22.549","1.76","37.5","5.6","67.97","13.65","49.06","5.74","3.55","0.99","41.78","85.73","9","80.49","2.45","73.13","0.19","1.17","0.8","2.74","82.67","4.24","68.97","3.48","5.6","89.54","","","0","0","","",""
"E. Morozov","Turkey 1.","Fakel","RCB, CB","24","0","2029-06-30","25","2441","2","2.08","0","0.6","Russia","right","191","12.24","8.48","66.96","4.24","52.17","0.55","7.67","0.07","0.08","0.04","14","0.52","35.71","14.286","0.55","33.33","1.29","57.14","2.36","42.19","0.92","0.48","0.15","27.39","76.04","13.86","66.22","6.27","53.53","0.02","0.18","0.11","5.09","56.52","0.96","46.15","0.37","6.64","73.89","","","0","0","","",""
"L. Vera","Turkey 1.","Orenburg","LCMF","28","0","2026-06-30","27","2416","2","2.57","7","4.82","Argentina","right","164","5.55","4.58","58.54","1.01","25.93","0.11","3.72","0.07","0.1","0","34","1.27","41.18","5.882","1.86","48","3.91","60","7.26","50.26","1.34","2.38","1.04","48.61","81.38","20.53","72.23","6.67","58.66","0.18","1.38","0.63","9.65","69.11","3.91","59.05","1.6","10.5","83.69","","","0","0","","",""
"A. Shvets","Turkey 1.","Akhmat Grozny","RCMF, RCB, LDMF","32","1500000","2026-06-30","27","2398","2","1.85","0","0.23","Ukraine","right","190","11.9","7.17","63.35","5.18","56.52","0.6","8.16","0.08","0.07","0.04","26","0.98","15.38","7.692","0.3","50","0.79","52.38","2.74","43.84","0.71","0.71","0.08","38.73","84.11","15.2","72.84","6.23","57.83","0.01","0.08","0.08","7.62","68.97","0.9","62.5","0.45","7.28","77.84","","","0","0","","",""
"F. Chalov","Turkey 1.","CSKA Moskva","CF, LWF","27","0","2027-06-30","30","2391","19","17.56","4","4.76","Russia","right","181","4.48","3.95","61.9","5.53","27.21","0.04","2.44","0.49","0.66","0.11","87","3.27","50.57","21.839","0.68","55.56","2.9","41.56","9.75","28.96","5.01","0.87","0.26","27.03","77.99","5.5","61.64","1.13","46.67","0.18","0.83","0.75","2.48","65.15","2.37","57.14","1.77","3.09","75.61","","","0","0","","",""
"M. Bogosavac","Turkey 1.","Akhmat Grozny","LB, LWB","29","2300000","2027-06-30","25","2376","0","0.68","4","2.71","Serbia","left","176","9.2","5.45","65.97","1.63","30.23","0.23","6.05","0","0.03","0","10","0.38","20","0","1.44","31.58","3.64","59.38","8.83","50.21","1.1","2.31","1.29","34.17","72.17","15.53","63.9","4.51","58.82","0.1","0.61","0.38","5.68","70.67","2.39","41.27","0.87","8.22","70.51","","","0","0","","",""
"I. Svinov","Turkey 1.","Fakel","GK","25","400000","2028-06-30","24","2371","0","0","0","0","Russia","right","192","1.67","0.11","33.33","0.53","78.57","0","2.09","0","0","0","0","0","0","0","0","0","0","0","0.15","75","0","0.04","0","12.53","74.24","10.67","71.17","9.79","70.54","0","0","0","3.87","62.75","0.15","50","0.08","7.63","84.08","1.33","3.68","63.92","1.18","-3.95","-0.15","1.52"
"C. Noboa","Turkey 1.","Sochi","RCMF, LCMF","40","300000","","26","2364","11","9.89","2","4.27","Ecuador","right","181","8.49","4.91","64.34","2.17","42.11","0.27","5.95","0.19","0.38","0","50","1.9","42","22","1.98","46.15","2.17","47.37","6.43","39.05","1.75","1.22","0.15","56.23","79.49","23.79","71.52","9.33","55.51","0.16","1.1","0.46","12.11","74.84","4.72","48.39","1.41","12.45","81.04","","","0","0","","",""
"A. Shunin","Turkey 1.","Dinamo Moskva","GK","38","400000","","24","2335","0","0","0","0","Russia","left","194","1.97","0.15","75","0.31","75","0","2.48","0","0","0","0","0","0","0","0","0","0.04","100","0.08","100","0","0","0","17.69","84.31","9.56","75.81","6.4","65.06","0","0","0","1.19","51.61","0.12","0","0","4.93","64.06","1.31","4.12","68.22","1.33","0.5","0.019","1.85"
"D. Denisov","Turkey 1.","Spartak Moskva","RB","23","3500000","2026-06-30","29","2333","1","1.29","2","1.91","Russia","right","185","8.6","8.45","52.97","2.43","50.79","0.23","6.54","0.04","0.05","0","18","0.69","16.67","5.556","2.12","23.64","1.27","54.55","3.05","37.97","1.66","1.54","0.58","46.41","79.22","15.86","67.4","3.24","55.95","0.07","0.19","0.35","4.4","68.42","2.58","40.3","0.73","8.29","67.44","","","0","0","","",""
"A. Karpukas","Turkey 1.","Lokomotiv Moskva","LDMF, LCMF, DMF","23","0","2027-06-30","27","2329","2","2.26","1","1.74","Russia","right","185","14.3","10.09","68.2","3.25","45.24","0.54","8.06","0.08","0.09","0","14","0.54","28.57","14.286","0.35","66.67","1.24","68.75","5.06","51.15","0.93","0.73","0.35","45.87","85.51","16.23","75.48","2.36","50.82","0.07","0.43","0.27","5.72","73.65","1.58","53.66","1","6.18","70","","","0","0","","",""
"A. Zakharyan","Turkey 1.","Dinamo Moskva","RCMF, LCMF, LWF","22","18000000","2029-06-30","27","2324","4","3.23","6","7.5","Russia","right","182","6.51","5.62","56.55","2.59","22.39","0.15","4.07","0.15","0.13","0","35","1.36","22.86","11.429","2.44","22.22","3.1","48.75","7.71","39.7","2.25","1.98","1.05","43.1","77.18","12.62","65.03","2.94","64.47","0.29","1.24","0.81","6.54","70.41","3.87","47","1.74","6.97","74.44","","","0","0","","",""
"O. Kozhemyakin","Turkey 1.","Torpedo Moskva","RCB, LCB","30","600000","2026-06-30","26","2319","0","0.9","0","0.38","Ukraine","right","184","11.49","6.6","75.29","4.81","49.19","0.78","7.67","0","0.03","0","6","0.23","50","0","0.5","53.85","1.32","47.06","2.37","44.26","0.54","0.54","0","38.81","81.1","19.02","70.82","6.91","55.06","0.01","0.16","0.08","5.2","62.69","0.97","36","0.23","8.65","69.51","","","0","0","","",""
"S. Volkov","Turkey 1.","Krasnodar","RB","23","4500000","2028-06-30","27","2316","1","0.9","4","2.14","Russia","right","182","8.86","6.57","59.76","2.25","63.79","0.23","7.53","0.04","0.04","0.04","8","0.31","37.5","12.5","2.02","25","2.53","60","5.21","47.01","1.09","2.25","1.24","38.47","80.81","11.11","65.38","2.56","37.88","0.08","0.47","0.35","3.54","70.33","1.83","44.68","0.62","5.95","58.17","","","0","0","","",""
