"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Z. Kugyela","Italy 3.","Torino U20","LB, LWB","18","0","2028-06-30","28","2177","1","2.65","1","2.42","Hungary","unknown","0","no","8.02","7.23","65.71","1.49","61.11","0.25","4.37","0.04","0.11","0","38","1.57","23.68","2.632","2.89","34.29","1.74","71.43","3.8","45.65","1.57","1.28","0.21","39.48","81.99","12.57","77.3","2.36","50.88","0.1","0.08","0.21","5.08","71.54","2.81","42.65","0.41","6.41","76.13","","","0","0","","",""
"J. Peci","Italy 3.","Hellas Verona U20","LCMF, DMF","19","0","","28","2175","2","1.16","3","2.26","Italy","unknown","0","no","7.99","6.7","64.81","1.7","41.46","0.33","4.46","0.08","0.05","0","20","0.83","20","10","0.5","41.67","2.69","50.77","10.34","46","0.79","2.61","0.37","30.99","79.17","12.74","70.45","3.64","55.68","0.09","0.08","0.29","5.17","68.8","1.41","41.18","0.58","6.91","68.26","","","0","0","","",""
"F. Galvagno","Italy 3.","Cesena U20","CF","19","0","","29","2172","12","11.3","2","1.38","Italy","","0","no","3.19","3.07","45.95","6.22","32.67","0.29","1.98","0.41","0.47","0.08","70","2.9","40","17.143","1.28","16.13","1.49","55.56","11.52","21.22","3.98","0.91","0.37","13.38","68.42","2.4","41.38","0.46","45.45","0.06","0","0.17","1.37","45.45","1.08","26.92","0.33","1.45","57.14","","","0","0","","",""
"Gerard Ruiz","Italy 3.","Atalanta U20","DMF, LCMF, RCMF","19","0","","27","2169","2","1.1","2","1.78","Spain","right","0","no","7.26","4.85","51.28","1.87","57.78","0.37","5.64","0.08","0.05","0.04","27","1.12","37.04","7.407","0.25","50","0.5","58.33","3.28","45.57","0.12","1.58","0.04","59.21","88.72","17.47","78.15","4.02","55.67","0.07","0.29","0.17","10.04","82.64","1.87","64.44","0.87","9.42","73.57","","","0","0","","",""
"M. Abdoulaye Ndoye","Italy 3.","Frosinone U20","LCB, LB, LWB","19","0","","24","2166","1","0.06","0","0.43","Senegal","unknown","0","no","9.27","6.69","68.32","2.41","44.83","0.46","5.1","0.04","0","0","8","0.33","12.5","12.5","2.24","29.63","0.5","66.67","3.2","36.36","0.21","0.66","0","35.98","69.4","20.73","64.93","9.89","51.68","0.02","0","0.04","8.85","56.34","2.37","31.58","0.25","11.76","69.26","","","0","0","","",""
"C. Garofalo","Italy 3.","Napoli U20","LCB, LB","19","0","","26","2141","1","0.92","1","1.87","Italy","left","0","no","9.67","6.47","69.48","2.9","49.28","0.29","6.75","0.04","0.04","0","10","0.42","40","10","0.67","43.75","0.84","55","4.37","33.65","0.84","2.44","0.25","44.94","84.19","20.64","73.52","4.16","49.49","0.08","0.13","0.08","6.73","69.38","1.64","48.72","0.46","8.32","69.7","","","0","0","","",""
"L. Nyarko","Italy 3.","Sassuolo U20","GK","18","0","","23","2136","0","0","0","0","Italy","unknown","0","no","1.73","0.25","83.33","0.34","100","0","1.97","0","0","0","0","0","0","0","0","0","0","0","0.08","50","0","0","0","20.77","86.41","10.74","77.65","6.62","65.61","0","0","0","1.52","47.22","0.04","0","0","5.6","69.17","1.39","3.79","63.33","1.17","-5.27","-0.222","1.77"
"L. Montenegro","Italy 3.","Fiorentina U20","RDMF, DMF, LDMF","18","0","2028-06-30","28","2133","2","1.17","1","1.13","Italy","","0","no","10.59","7.55","71.51","3.5","49.4","0.13","7.48","0.08","0.05","0","19","0.8","26.32","10.526","0.42","20","0.38","44.44","2.57","36.07","1.01","1.14","0","59.41","84.94","20.13","72.96","7.97","62.96","0.05","0.04","0.04","9.96","72.88","1.6","42.11","0.72","11.1","70.72","","","0","0","","",""
"F. Ribello","Italy 3.","Cesena U20","LCB, CB","20","0","","24","2132","1","1.09","0","0.37","Italy","right","0","no","7.51","4.9","62.93","4.09","59.79","0.84","4.72","0.04","0.05","0.04","8","0.34","37.5","12.5","0.17","50","0.42","60","1.65","48.72","0.59","0.8","0.04","36.18","83.08","15.75","70.78","6.37","53.64","0.02","0.04","0.04","5.02","59.66","0.59","21.43","0.13","7.73","62.84","","","0","0","","",""
"G. Negri","Italy 3.","Sassuolo U20","CF, RWF, AMF","19","0","","27","2127","7","6.71","1","3.07","Italy","","0","no","4.32","3.94","66.67","1.23","13.79","0","1.84","0.3","0.28","0.04","69","2.92","33.33","10.145","3.13","18.92","4.19","47.47","9.86","39.06","3.47","1.52","0.13","21.71","64.91","6.6","53.21","1.78","52.38","0.13","0.08","0.51","2.5","47.46","3.13","39.19","0.76","3.72","77.27","","","0","0","","",""
"E. Tigani","Italy 3.","Parma U20","LDMF, RDMF","19","0","","24","2124","4","3.53","0","1.53","Italy","","0","no","11.19","8.18","69.43","1.23","44.83","0.34","7.11","0.13","0.15","0","22","0.93","27.27","18.182","0.72","35.29","1.19","42.86","6.23","38.1","1.65","0.89","0.08","44.96","86.71","13.98","73.33","2.42","36.84","0.06","0.08","0.21","4.96","70.94","1.23","41.38","0.51","4.92","68.97","","","0","0","","",""
"V. Gambardella","Italy 3.","Napoli U20","CB, RCB","20","0","","24","2108","0","0.85","0","0.35","Italy","right","192","no","10.89","6.75","74.05","3.97","68.82","0.85","6.91","0","0.04","0","5","0.21","40","0","0","0","0.09","100","1.02","58.33","0.34","0.26","0","40.99","86.46","15.8","74.05","6.7","57.32","0.02","0.04","0","5.68","62.41","0.68","50","0.26","6.75","70.25","","","0","0","","",""
"A. Luchetti","Italy 3.","Frosinone U20","RB, LCB, RCB","18","0","","27","2098","2","0.66","0","0.73","Italy","","0","no","8.24","6.99","61.35","2.96","43.48","0.39","4.75","0.09","0.03","0.04","6","0.26","33.33","33.333","1.76","34.15","0.64","53.33","1.89","40.91","0.26","0.73","0.04","33.33","77.09","16.39","68.59","6.61","51.95","0.03","0","0.09","6.31","61.22","2.23","36.54","0.56","8.45","74.62","","","0","0","","",""
"C. Frangella","Italy 3.","Sassuolo U20","LCMF, AMF","19","0","2028-06-30","29","2088","0","3.07","5","3.32","Italy","unknown","0","no","8.92","7.24","66.67","1.68","41.03","0.22","4.94","0","0.13","0","43","1.85","39.53","0","1.25","41.38","1.55","44.44","6.59","33.33","2.28","0.91","0.09","31.9","76.89","10.3","61.09","3.06","46.48","0.14","0.13","0.39","4.05","62.77","2.8","49.23","1.42","4.48","72.12","","","0","0","","",""
"R. Braschi","Italy 3.","Fiorentina U20","CF","19","0","2027-06-30","25","2082","16","14.12","3","2.91","Italy","right","0","no","3.33","3.85","56.18","3.76","24.14","0.04","1.37","0.48","0.61","0","61","2.64","50.82","26.23","0.52","41.67","2.72","42.86","12.58","26.46","4.06","1.08","0.22","19.11","73.08","3.85","51.69","1.17","48.15","0.13","0.26","0.52","1.77","58.54","1.12","61.54","1.25","1.95","60","","","0","0","","",""
"T. Casadei","Italy 3.","Cesena U20","RCB, CB, LCB","18","0","","24","2062","0","0.02","0","0.29","Italy","right","0","no","12.05","7.33","76.79","2.75","53.97","1","6.68","0","0","0","1","0.04","100","0","0.13","33.33","0.35","87.5","1.92","68.18","0.39","0.48","0","34.26","84.33","13.53","72.9","5.28","56.2","0.01","0","0","3.4","74.36","0.26","50","0.17","7.55","62.43","","","0","0","","",""
"L. Szimionaș","Italy 3.","Hellas Verona U20","RCMF, RWB, DMF","19","0","2027-06-30","27","2060","2","1.98","1","0.68","Romania","right","0","no","10.92","9.7","67.57","0.79","33.33","0.52","4.63","0.09","0.09","0","27","1.18","29.63","7.407","0.79","16.67","1.49","70.59","9.17","40","0.79","0.96","0.04","27.22","76.24","8.61","58.88","3.01","49.28","0.03","0.09","0.09","3.63","67.47","1.14","38.46","0.39","4.59","58.1","","","0","0","","",""
"A. Konate","Italy 3.","Parma U20","RDMF, LDMF, DMF","19","0","2027-06-30","22","2053","2","2.21","2","1.15","Italy","right","0","no","8.42","6.01","66.42","2.54","55.17","0.26","6.13","0.09","0.1","0","24","1.05","20.83","8.333","0.26","50","0.61","50","3.73","48.24","0.79","1.05","0","48.44","87.33","18.41","81.67","4.87","64.86","0.05","0.13","0.31","8.24","81.91","1.27","62.07","1.01","10.61","77.69","","","0","0","","",""
"O. Gorter","Italy 3.","Lecce U20","DMF, LCMF","21","0","","21","2031","1","1.44","3","3.41","Netherlands","right","0","no","8.82","7.18","61.73","0.8","38.89","0.18","4.67","0.04","0.06","0","26","1.15","23.08","3.846","2.13","41.67","2.75","64.52","9.04","44.12","0.4","2.88","0.27","44.45","81.56","16.66","71.01","7.18","54.94","0.15","0.13","0.53","10.46","71.61","3.81","46.51","0.89","9.7","81.74","","","0","0","","",""
"F. Leone","Italy 3.","Juventus U20","RWB, RW, RAMF","18","0","","28","2029","0","1.82","4","2.7","Italy","unknown","0","no","3.95","3.55","56.25","0.75","17.65","0.09","2.61","0","0.08","0","35","1.55","28.57","0","4.04","36.26","4.97","61.61","9.27","50.72","1.38","2.44","0.13","28.26","70.8","9.8","58.82","4.08","38.04","0.12","0.04","0.4","4.26","64.58","5.01","42.48","1.06","7.23","80.37","","","0","0","","",""
"D. Mikołajewski","Italy 3.","Parma U20","CF","20","0","2027-06-30","24","2021","16","11.72","3","4.18","Germany","right","188","no","3.96","2.4","62.96","3.03","30.88","0.18","3.55","0.62","0.52","0.04","67","2.98","41.79","23.881","1.02","34.78","1.6","47.22","9.26","29.33","3.65","1.25","0.27","23.11","69.56","7.97","58.1","1.74","38.46","0.19","0.27","0.45","4.01","62.22","2.54","45.61","1.6","3.25","76.71","","","0","0","","",""
"L. Monticelli","Italy 3.","Hellas Verona U20","RWB, CF, LCMF","21","0","2028-06-30","23","2021","1","2.04","2","1.55","Belgium","right","184","no","5.61","5.3","61.34","2.14","22.92","0.09","2.76","0.04","0.09","0","24","1.07","25","4.167","0.98","40.91","2.98","41.79","7.04","32.91","1.78","0.89","0.13","23.78","79.21","7.97","70.39","1.6","50","0.07","0.04","0.22","2.85","71.88","1.6","58.33","0.85","4.19","60.64","","","0","0","","",""
"T. Gabellini","Italy 3.","Torino U20","CF","19","0","2028-06-30","25","2017","10","11.67","1","1.85","Italy","","0","no","2.9","2.59","50","5.44","43.44","0.13","1.79","0.27","0.52","0.13","52","2.32","44.23","19.231","0.45","40","1.74","41.03","9.01","26.24","3.39","0.98","0.13","20.79","75.75","3.08","57.97","1.47","69.7","0.08","0.04","0.67","1.78","62.5","0.98","54.55","0.76","1.34","66.67","","","0","0","","",""
"D. Weiss","Italy 3.","Sassuolo U20","RCMF","18","0","","24","2010","4","4.35","2","1.5","Finland","unknown","0","no","10.84","8.6","59.9","5.51","57.72","0.18","6.55","0.18","0.19","0.09","29","1.3","34.48","13.793","0.85","52.63","0.81","44.44","5.73","45.31","2.06","1.16","0.22","30","80","9.99","71.3","2.6","58.62","0.07","0","0.13","4.52","77.23","1.34","50","0.45","5.55","70.16","","","0","0","","",""
"C. Raggioli","Italy 3.","Napoli U20","CF","20","0","","25","2010","1","4.98","3","0.65","Italy","right","0","no","3.85","3","67.16","4.48","37","0.13","2.24","0.04","0.22","0","30","1.34","40","3.333","0.4","11.11","1.03","47.83","11.55","22.09","3.4","0.36","0","18.31","72.62","2.73","50.82","0.4","66.67","0.03","0.04","0.27","0.85","52.63","0.63","42.86","0.54","1.34","43.33","","","0","0","","",""
