"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"H. John Lewis","England 4.","Carlisle United","GK","28","300000","2027-06-30","14","1388","0","0","0","0","England","right","191","no","1.75","0.06","100","0.32","100","0","2.51","0","0","0","0","0","0","0","0","0","0","0","0.13","100","0","0","0","27.43","87.94","14.98","80.09","10.83","71.86","0","0","0","3.31","64.71","0.13","0","0","8.62","80.45","1.82","3.57","49.09","1.19","-9.63","-0.624","1.3"
"K. Hemmings","England 4.","Crewe Alexandra","CF","34","100000","2026-06-30","20","1387","4","4.9","0","0.57","England","right","185","no","1.56","1.95","40","10.84","33.53","0.06","0.96","0.13","0.32","0","22","1.43","50","18.182","0.58","22.22","1.04","50","7.07","23.85","2.6","0.71","0.13","12.78","67.01","2.4","48.65","0.19","33.33","0.04","0.06","0.06","1.17","50","0.58","55.56","0.39","0.91","50","","","0","0","","",""
"T. Nichols","England 4.","Swindon Town","AMF, LCMF","32","200000","2027-06-30","20","1382","2","1.47","1","0.86","England","right","178","no","6.84","6.45","61.62","4.04","37.1","0","4.6","0.13","0.1","0","16","1.04","50","12.5","0.59","22.22","0.85","46.15","6.58","24.75","1.95","0.78","0.07","28.78","77.6","9.18","63.83","2.67","51.22","0.06","0.33","0.26","4.62","69.01","2.08","50","0.91","5.08","64.1","","","0","0","","",""
"L. Armstrong","England 4.","Carlisle United","CF, RWF","29","275000","2027-06-30","20","1376","3","3.76","1","0.88","England","right","185","no","3.07","2.55","64.1","10.92","38.92","0.13","2.01","0.2","0.25","0","19","1.24","52.63","15.789","0.59","33.33","1.05","31.25","5.49","25","2.03","0.39","0.33","8.63","61.36","1.37","42.86","0.2","66.67","0.06","0","0.07","0.78","58.33","0.46","57.14","0.26","1.11","41.18","","","0","0","","",""
"B. Barclay","England 4.","Carlisle United","RCB, LCB, DMF","29","125000","2026-06-30","22","1372","1","1.11","1","0.69","England","right","187","no","9.25","5.71","56.32","5.77","56.82","0.52","8.07","0.07","0.07","0.07","14","0.92","50","7.143","0.92","50","0.13","50","1.38","38.1","0.59","0.26","0","43.69","80.78","19.81","69.87","7.15","48.62","0.05","0.07","0.07","5.77","62.5","1.44","45.45","0.33","10.04","62.75","","","0","0","","",""
"T. Leigh","England 4.","Bradford City","CF, RWF, AMF","25","300000","2027-06-30","28","1371","1","3.61","3","1.17","England","right","185","no","5.32","4.4","59.7","7.55","32.17","0.13","4.08","0.07","0.24","0","27","1.77","37.04","3.704","2.04","45.16","0.85","46.15","6.89","20.95","2.76","0.98","0","26.52","67.82","7.35","53.57","2.3","51.43","0.08","0.2","0.39","3.81","51.72","2.76","47.62","0.85","3.94","76.67","","","0","0","","",""
"T. Adaramola","England 4.","Bradford City","LWB, LB","22","0","2026-05-31","16","1370","0","0.47","3","2.03","Republic of Ireland","left","177","yes","10.18","10.25","67.31","1.84","39.29","0","4.76","0","0.03","0","10","0.66","20","0","2.69","51.22","4.07","59.68","10.18","37.42","1.84","2.69","0.79","24.57","77.54","8.21","66.4","2.89","56.82","0.13","0","0.66","2.82","74.42","2.3","65.71","0.92","5.91","71.11","","","0","0","","",""
"G. Garner","England 4.","Morecambe","CF, AMF","27","175000","2027-06-30","24","1370","5","3.6","1","0.55","England","left","188","no","2.89","3.42","50","4.07","14.52","0.07","1.55","0.33","0.24","0","31","2.04","38.71","16.129","0.99","20","2.5","50","9.26","24.11","2.56","1.38","0.26","17.15","74.71","3.55","59.26","0.46","57.14","0.04","0","0.2","1.71","50","0.79","50","0.39","1.97","46.67","","","0","0","","",""
"M. Taylor","England 4.","Morecambe","RCB, RB","26","0","2026-06-30","20","1364","1","0.91","0","1.21","England","right","195","no","9.5","6.07","65.22","7.85","68.07","0.86","7.27","0.07","0.06","0.07","9","0.59","44.44","11.111","0.46","57.14","0.07","0","0.92","35.71","0.86","0.33","0","29.1","70.29","17.49","63.02","7.39","34.82","0.08","0","0.26","6.4","47.42","1.39","33.33","0.33","7.98","57.85","","","0","0","","",""
"R. Broom","England 4.","Fleetwood Town","RWB, RB, RWF","29","300000","2026-06-30","27","1358","2","1.09","0","1.52","Wales","right","177","no","7.42","6.43","54.64","2.98","24.44","0.07","4.79","0.13","0.07","0.07","10","0.66","60","20","3.05","28.26","2.32","71.43","5.83","45.45","1.33","1.26","0.53","24.52","64.32","7.69","45.69","3.71","39.29","0.1","0","0.27","3.71","46.43","3.25","44.9","0.93","6.1","57.61","","","0","0","","",""
