"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"G. Lauricella","Italy 3.","Genoa U20","LWB, LB","19","0","2026-06-30","8","497","0","0.2","0","0.16","Italy","left","0","yes","9.05","7.97","45.45","0.91","100","0.36","6.57","0","0.04","0","2","0.36","50","0","1.81","30","1.09","83.33","5.07","42.86","1.45","1.81","0","33.14","81.97","14.12","75.64","7.06","56.41","0.03","0","0.18","4.71","73.08","1.81","70","1.09","7.97","72.73","","","0","0","","",""
"G. Barranco","Italy 3.","Torino U20","LB, LWB","18","0","","8","496","0","0.21","0","0.36","Italy","left","0","no","10.16","7.8","60.47","1.45","50","0.18","5.31","0","0.04","0","4","0.73","25","0","2.36","15.38","1.27","71.43","4.17","56.52","0.91","2.54","0.18","30.67","75.74","11.07","73.77","3.27","33.33","0.07","0","0","3.63","70","2.9","25","0.18","5.99","69.7","","","0","0","","",""
"C. Stefani","Italy 3.","Cremonese U20","CF","17","0","","12","494","2","1.12","0","0.22","Italy","unknown","0","no","4.37","4.19","52.17","7.47","36.59","0","2.48","0.36","0.2","0","7","1.28","42.86","28.571","1.28","14.29","1.28","14.29","7.29","27.5","5.1","1.28","0","18.4","63.37","3.28","38.89","0.73","50","0.04","0","0.36","0.73","50","0.73","0","1.09","2.37","53.85","","","0","0","","",""
"G. Herzuah","Italy 3.","Cremonese U20","CF","18","0","","15","494","0","0.86","1","1.26","Italy","unknown","0","no","3.83","4.74","53.85","4.74","34.62","0.18","1.71","0","0.16","0","8","1.46","62.5","0","1.82","30","3.28","61.11","12.39","35.29","3.64","2.73","0.73","11.48","66.67","1.09","66.67","0","0","0.23","0.18","0.36","0.55","66.67","1.28","42.86","0.55","1.09","83.33","","","0","0","","",""
"C. Patitucci","Italy 3.","Cremonese U20","RWB, LWB, LB","18","0","","12","492","0","0.5","1","0.43","Italy","unknown","0","no","7.13","8.23","42.22","3.84","28.57","0","4.21","0","0.09","0","7","1.28","14.29","0","6.59","16.67","6.77","45.95","11.34","37.1","2.2","3.48","0.73","23.6","46.51","7.5","34.15","2.38","30.77","0.08","0","0.55","1.28","28.57","4.94","22.22","0.18","4.94","44.44","","","0","0","","",""
"F. Grosso","Italy 3.","Frosinone U20","LCMF, AMF, RCMF","19","0","2027-06-30","5","490","0","0.82","0","1.16","Italy","left","0","no","3.67","4.96","51.85","1.47","75","0.37","1.88","0","0.15","0","8","1.47","0","0","2.2","33.33","4.96","33.33","11.94","32.31","2.94","3.12","0.55","35.45","74.09","10.1","63.64","2.76","40","0.21","0","0.18","3.86","52.38","3.67","60","1.84","4.41","83.33","","","0","0","","",""
"F. Desole","Italy 3.","Torino U20","LCB","20","0","2026-06-30","8","488","1","0.38","0","0.01","Italy","left","0","yes","10.88","8.48","52.17","4.06","81.82","1.11","7.73","0.18","0.07","0.18","3","0.55","33.33","33.333","0","0","0.18","100","0.92","40","0.55","0.55","0","34.86","82.01","14.02","65.79","5.35","41.38","0","0","0","5.16","53.57","0.55","100","0.37","8.11","56.82","","","0","0","","",""
"T. Casadei","Italy 3.","Cesena U20","RCB","17","0","","5","486","0","0","0","0.06","Italy","unknown","0","no","9.26","4.44","75","2.22","41.67","0.37","6.86","0","0","0","0","0","0","0","0.19","100","0","0","0.93","60","0.37","0.19","0","40.74","86.82","13.89","69.33","5","51.85","0.01","0","0","2.41","69.23","0.19","100","0","7.22","61.54","","","0","0","","",""
"F. Tommasi","Italy 3.","Hellas Verona U20","GK","20","0","","5","485","0","0","0","0","Italy","right","0","no","1.48","0.37","50","0","0","0","1.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.97","86.73","11.51","82.26","8.16","75","0","0","0","0","0","0","0","0","7.24","74.36","0.74","3.15","76.47","0.69","-0.29","-0.054","0.74"
"A. Di Siena","Italy 3.","Milan U20","CF, RB","20","0","2028-06-30","12","484","0","0.72","0","0.41","Italy","","0","no","8","5.76","70.97","5.76","29.03","0","5.88","0","0.13","0","7","1.3","57.14","0","1.67","33.33","1.86","50","8.37","26.67","3.72","1.3","0.37","21.94","76.27","9.11","77.55","1.49","25","0.08","0","0.19","3.9","76.19","1.49","50","0.74","5.39","75.86","","","0","0","","",""
"K. Moressa","Italy 3.","Internazionale U20","LWF, RCMF, LW","18","0","","10","483","3","1.9","2","0.96","Italy","","0","no","6.15","5.96","78.13","0.93","20","0.19","2.06","0.56","0.35","0","7","1.3","57.14","42.857","3.35","33.33","5.96","62.5","12.67","47.06","3.17","3.35","0.37","32.24","73.41","7.08","57.89","0.75","25","0.18","0","0.93","1.68","66.67","3.91","38.1","0.56","4.47","70.83","","","0","0","","",""
"R. Mihelsons","Italy 3.","Genoa U20","GK","17","0","2027-06-30","5","482","0","0","0","0","Latvia","right","195","no","1.49","0","0","0.37","100","0","1.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.02","86.57","11.95","73.44","7.66","63.41","0","0","0","1.12","66.67","0.19","0","0","6.16","57.58","1.49","5.04","70.37","1.6","0.54","0.101","2.05"
"L. Jakirović","Italy 3.","Internazionale U20","LCB","18","0","2030-06-30","7","482","0","0.92","0","0.01","Croatia","left","0","no","8.22","4.67","64","5.98","46.88","0.56","8.13","0","0.17","0","3","0.56","0","0","0","0","0","0","1.31","28.57","0.56","1.31","0.19","64.79","87.61","26.51","78.17","4.11","59.09","0","0","0","7.28","64.1","0.19","0","0.19","12.14","70.77","","","0","0","","",""
"G. Makiobo","Italy 3.","Juventus U20","LCMF, LDMF","18","0","2028-06-30","10","477","0","0.71","0","0.01","Belgium","unknown","0","no","9.81","8.49","62.22","1.51","50","0.38","6.43","0","0.13","0","7","1.32","14.29","0","0.57","0","3.21","47.06","8.49","48.89","1.51","0.94","0.19","28.49","85.43","8.68","73.91","1.32","71.43","0","0.19","0","4.15","77.27","1.13","33.33","0.19","2.83","80","","","0","0","","",""
"P. Mazur","Italy 3.","Juventus U20","LDMF, RCMF, DMF","19","0","2029-06-30","6","477","0","0.43","1","0.32","Poland","unknown","0","no","5.85","4.53","66.67","0.75","50","0.19","3.63","0","0.08","0","4","0.75","25","0","0.19","0","0.19","100","1.7","44.44","0.38","0.75","0","34.53","90.71","9.06","70.83","4.15","54.55","0.06","0","0.19","5.28","75","1.13","33.33","0.38","5.28","67.86","","","0","0","","",""
"F. Conzato","Italy 3.","Torino U20","RAMF, RWF, LAMF","18","0","2026-06-30","12","475","0","1.63","0","0.74","Italy","left","0","no","7.77","8.34","59.09","3.03","37.5","0","3.98","0","0.31","0","21","3.98","42.86","0","2.08","27.27","7.58","60","14.4","43.42","2.65","2.65","0.76","23.12","74.59","3.03","56.25","3.03","56.25","0.14","0","0.38","1.71","55.56","2.27","41.67","0.57","3.6","57.89","","","0","0","","",""
"L. Marino","Italy 3.","Cremonese U20","DMF, LWB, LCMF","19","0","","11","470","2","1.25","0","0.18","Italy","","0","no","4.98","3.83","60","0.38","0","0.19","4.08","0.38","0.24","0","5","0.96","60","40","0.19","0","0.96","60","3.45","50","1.34","1.34","0","22.6","79.66","8.43","72.73","1.15","66.67","0.04","0","0.19","4.21","81.82","0.57","33.33","0","3.26","70.59","","","0","0","","",""
"M. Zaramella","Italy 3.","Milan U20","RWF","18","0","","14","470","0","0.33","1","0.66","Italy","","0","no","6.7","5.94","64.52","1.53","12.5","0.19","4.13","0","0.06","0","2","0.38","50","0","0.96","40","1.53","62.5","11.11","27.59","2.11","1.72","0.19","20.68","76.85","4.21","45.45","0.57","66.67","0.13","0","0.57","1.53","50","0.96","40","0.57","2.11","45.45","","","0","0","","",""
