"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"A. Lohikangas","Sweden 1.","Värnamo","LB, LCB","27","200000","","22","1250","0","0.39","0","0.44","Sweden","left","180","11.66","9.43","64.12","2.45","44.12","0.22","5.94","0","0.03","0","7","0.5","14.29","0","1.87","26.92","0.86","66.67","3.96","43.64","1.15","1.15","0.07","43.06","80.1","16.06","68.16","3.96","49.09","0.03","0","0.07","5.4","70.67","2.3","43.75","0.79","7.56","68.57","","","0","0","","",""
"O. Rosengren","Sweden 1.","Malmö FF","LCMF, RCMF, LDMF","22","0","2027-12-31","26","1246","1","0.65","0","0.51","Sweden","right","178","8.88","7.95","54.55","2.24","38.71","0.14","5.68","0.07","0.05","0","18","1.3","16.67","5.556","2.17","36.67","1.37","52.63","6.57","50.55","1.16","0.94","0.07","54.03","86.9","14.23","81.22","3.11","55.81","0.04","0","0.22","7.51","81.73","2.74","52.63","0.51","6.72","77.42","","","0","0","","",""
"Amir Al Ammari","Sweden 1.","Halmstad","LCMF","28","700000","2027-06-30","13","1236","1","0.72","2","1.35","Sweden","left","184","9.9","8.59","60.17","1.46","45","0.36","3.88","0.07","0.05","0","11","0.8","36.36","9.091","0.95","38.46","0.95","38.46","4.15","26.32","0.44","1.02","0.15","32.11","78.46","10.92","61.33","4.73","46.15","0.1","0.58","0.29","6.19","57.65","2.18","43.33","0.44","6.77","70.97","","","0","0","","",""
"A. Pyndt","Sweden 1.","Sirius","DMF, LDMF, RCMF","24","900000","2028-12-31","20","1221","0","0.41","0","1.97","Denmark","right","175","7.96","6.27","68.24","0.37","20","0.07","4.72","0","0.03","0","13","0.96","30.77","0","1.33","44.44","1.55","71.43","3.39","52.17","0.59","1.25","0.22","59.04","89.01","20.57","78.49","5.53","61.33","0.15","0.37","0.15","8.55","80.17","2.87","56.41","1.25","9.07","85.37","","","0","0","","",""
"O. Pettersson","Sweden 1.","IFK Göteborg","RAMF, RW, CF","25","800000","2028-06-30","23","1195","2","2.8","0","2.31","Sweden","right","178","4.07","3.46","52.17","0.98","30.77","0","2.71","0.15","0.21","0","31","2.33","35.48","6.452","4.44","42.37","2.03","62.96","3.77","44","3.54","0.6","0.08","18.45","69.39","3.01","57.5","2.33","54.84","0.17","0","0.53","1.21","50","3.62","50","0.38","4.07","83.33","","","0","0","","",""
"P. Ofosu-Ayeh","Sweden 1.","Halmstad","RB","34","275000","","12","1190","2","1.29","0","1.3","Germany","right","183","7.56","6.35","54.76","1.59","33.33","0.23","3.29","0.15","0.1","0.08","4","0.3","75","50","2.19","34.48","2.19","58.62","4.69","43.55","0.68","0.98","0.38","28.06","73.58","10.89","54.17","4.08","40.74","0.1","0.08","0.3","3.25","58.14","2.57","41.18","0.38","6.81","60","","","0","0","","",""
"P. Abrahamsson","Sweden 1.","Häcken","GK","37","200000","","12","1183","0","0","0","0","Sweden","right","190","1.98","0","0","0.61","100","0","2.82","0","0","0","0","0","0","0","0","0","0.08","100","0.08","100","0","0","0","22.37","87.07","11.03","76.55","6.47","62.35","0","0","0","0.76","20","0","0","0","5.33","58.57","1.52","5.48","72.22","1.77","3.29","0.25","1.52"
"J. Larsson","Sweden 1.","Elfsborg","RB, RWB","35","300000","2025-12-31","15","1181","1","1.96","0","0.26","Sweden","right","182","5.64","4.42","53.45","1.68","45.45","0.23","3.31","0.08","0.15","0","12","0.91","41.67","8.333","2.21","13.79","0","0","0.3","25","1.98","0.61","0","25.38","70.27","9.37","59.35","5.41","43.66","0.02","0.08","0.08","5.11","56.72","2.51","27.27","0.69","5.41","69.01","","","0","0","","",""
"F. Sidklev","Sweden 1.","Brommapojkarna","GK","20","0","2028-06-30","12","1172","0","0","0","0","Sweden","right","190","1.77","0.15","50","0.54","100","0","1.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.89","86.99","10.67","79.86","7.76","70.3","0","0","0","1.92","44","0.23","0","0","6.14","82.5","1.54","4.84","68.25","1.24","-3.83","-0.294","2.07"
"T. Heggem","Sweden 1.","Brommapojkarna","LCB, LB","26","500000","2029-06-30","12","1165","1","1.66","0","1.47","Norway","left","185","10.27","5.95","70.13","3.32","72.09","0.46","6.34","0.08","0.13","0.08","14","1.08","21.43","7.143","1.93","52","1.24","56.25","3.4","45.45","1.93","1.78","0.77","49.52","85.18","19.31","75.6","5.79","48","0.11","0","0.31","6.88","67.42","2.01","53.85","0.23","9.27","70.83","","","0","0","","",""
