"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"R. Ríos","Brazil 1.","Palmeiras","RDMF, LCMF","25","0","2030-06-30","24","1915","3","1.42","3","1.71","Colombia","right","185","9.82","10.06","58.41","2.49","50.94","0.19","5.99","0.14","0.07","0","36","1.69","25","8.333","1.79","39.47","2.26","39.58","6.86","41.1","0.85","1.41","0.42","38.58","84.77","10.48","73.09","2.73","58.62","0.08","0.28","0.42","6.02","77.34","2.4","45.1","0.52","5.4","81.74","","","0","0","","",""
"Raúl Cáceres","Brazil 1.","Vitória","RB","34","300000","","23","1898","0","0.05","4","2.76","Paraguay","right","180","8.49","7.4","65.38","2.23","42.55","0.19","4.05","0","0","0","2","0.09","0","0","4.41","37.63","1.33","57.14","2.28","45.83","1.14","1.94","0.47","29.11","74.59","10.38","69.41","3.79","55","0.13","0.05","0.57","3.37","63.38","3.18","46.27","0.57","6.35","69.4","","","0","0","","",""
"Pablo","Brazil 1.","Athletico Paranaense","CF","33","800000","2026-12-31","29","1893","3","4.99","2","0.68","Brazil","right","185","2.76","2.9","57.38","6.32","36.84","0.1","1.28","0.14","0.24","0.1","39","1.85","25.64","7.692","0.24","20","0.67","42.86","4.28","24.44","2.28","0.33","0.05","18.4","79.84","4.23","62.92","1.47","61.29","0.03","0.14","0.24","1.76","56.76","0.9","57.89","0.57","1.76","67.57","","","0","0","","",""
"Welington","Brazil 1.","São Paulo","LB, LWB","24","3500000","","22","1892","0","0.73","1","0.72","Brazil","left","177","7.71","5.85","65.04","2.85","51.67","0.24","4.85","0","0.03","0","12","0.57","16.67","0","2.85","30","2","64.29","6.66","48.57","0.57","2","0.57","37.34","84.46","13.08","80.36","3.62","59.21","0.03","0.05","0.33","4.99","83.81","2.81","44.07","0.57","6.04","76.38","","","0","0","","",""
"Neris","Brazil 1.","Vitória","RCB, CB","33","600000","2026-12-31","22","1889","1","0.63","0","0","Brazil","right","192","7.81","4.96","67.31","3.72","58.97","0.62","5.17","0.05","0.03","0.05","2","0.1","100","50","0","0","0.38","50","1.19","48","0.14","0.71","0","36.26","85.81","14.63","73.29","4.38","51.09","0","0","0","5.24","64.55","0.48","30","0.14","7.72","71.6","","","0","0","","",""
"Arthur Caíke","Brazil 1.","Criciúma","CF","33","800000","","33","1886","5","4.48","0","1.1","Brazil","right","174","3.58","3.72","52.56","6.2","37.69","0.29","1.99","0.24","0.21","0.1","36","1.72","36.11","13.889","0.38","25","0.91","42.11","6.59","33.33","2.91","0.52","0.14","12.6","77.65","2.53","60.38","0.33","42.86","0.05","0.19","0.14","0.91","68.42","0.62","46.15","0.43","1.15","58.33","","","0","0","","",""
"Rodrigo Ely","Brazil 1.","Grêmio","RCB","32","3000000","2027-12-31","21","1885","1","1.66","0","0.6","Brazil","right","191","10.07","5.87","75.61","6.11","68.75","1.24","6.65","0.05","0.08","0.05","16","0.76","43.75","6.25","0.1","50","0.24","40","1.05","50","0.81","0.14","0","33.99","84.13","12.65","68.68","4.49","46.81","0.03","0","0.05","4.11","52.33","0.33","28.57","0.1","5.87","61.79","","","0","0","","",""
"Pedro","Brazil 1.","Flamengo","CF","28","0","2027-12-31","21","1860","11","10.05","4","1.74","Brazil","right","186","3.53","2.13","65.91","3.44","35.21","0.15","2.82","0.34","0.49","0.05","42","2.03","64.29","26.19","0.1","0","1.6","51.52","8.03","25.3","3.44","0.24","0.05","13.26","80.66","3.48","63.89","0.63","76.92","0.08","0.29","0.48","1.55","68.75","1.02","61.9","1.16","1.45","83.33","","","0","0","","",""
"Julimar","Brazil 1.","Athletico Paranaense","LW, LAMF, LWF","24","0","2027-12-31","31","1859","6","5.58","2","2.03","Brazil","right","182","6.29","4.79","67.68","5.66","54.7","0","4.21","0.29","0.27","0.05","65","3.15","36.92","9.231","2.71","30.36","5.28","55.05","10.89","38.67","4.45","3.73","0.77","26.05","78.81","5.37","59.46","0.97","45","0.1","0.1","0.44","1.69","82.86","2.03","54.76","0.63","3.34","63.77","","","0","0","","",""
"Jadsom Silva","Brazil 1.","Red Bull Bragantino","RB, RDMF, DMF","24","0","","30","1852","0","0.18","1","0.34","Brazil","right","173","10.59","9.67","60.3","2.04","40.48","0.24","5.91","0","0.01","0","11","0.53","9.09","0","0.87","38.89","0.63","38.46","1.99","36.59","0.24","0.97","0.15","34.21","82.39","13.61","73.21","5.15","54.72","0.02","0.05","0.24","7.53","70.32","1.41","41.38","0.24","7.34","75.5","","","0","0","","",""
"T. Pochettino","Brazil 1.","Fortaleza","AMF, CF","29","2500000","2027-12-31","32","1849","5","3.91","7","3.8","Argentina","right","180","4.87","4.82","53.54","1.9","33.33","0","2.3","0.24","0.19","0.1","32","1.56","31.25","15.625","3.75","31.17","4.09","51.19","7.2","47.97","1.56","2.04","0.29","31.05","72.73","9.35","65.1","4.53","49.46","0.18","0.29","0.92","5.65","67.24","4.19","38.37","0.58","5.79","75.63","","","0","0","","",""
"Yago Pikachu","Brazil 1.","Fortaleza","RAMF, RW, RB","33","1200000","2026-12-31","32","1849","2","3.03","1","1.41","Brazil","right","169","5.79","4.92","65.35","1.46","40","0.15","3.08","0.1","0.15","0","33","1.61","21.21","6.061","2.19","17.78","1.85","55.26","5.94","43.44","2.39","1.02","0.29","23.66","78.81","6.57","72.59","2.48","62.75","0.07","0.15","0.19","2.82","74.14","1.65","35.29","0.68","4.38","76.67","","","0","0","","",""
"Cuiabano","Brazil 1.","Botafogo","LB","22","0","2029-06-30","25","1847","4","1.94","3","3.13","Brazil","left","179","9.75","6.53","65.67","2.97","52.46","0.24","7.41","0.19","0.09","0.05","21","1.02","52.38","19.048","5.21","26.17","1.75","58.33","4.63","47.37","1.85","1.27","0.15","33.96","73.74","11.89","68.44","3.22","43.94","0.15","0.05","0.34","4.53","65.59","3.7","31.58","0.34","7.16","74.15","","","0","0","","",""
"Y. Soteldo","Brazil 1.","Grêmio","LW, RAMF, LWF","28","7000000","","24","1842","5","2.76","1","4.73","Venezuela","left","160","3.37","3.08","63.49","0.73","13.33","0.05","1.76","0.24","0.13","0","25","1.22","36","20","4.06","34.94","8.06","55.76","16.66","44.57","4.45","4.64","0.73","30.49","78.85","6.21","78.74","0.98","60","0.23","0.15","0.78","2.25","80.43","3.76","57.14","1.81","4.74","82.47","","","0","0","","",""
"Alan Franco","Brazil 1.","Atlético Mineiro","LCMF, DMF, RCMF","27","3500000","2027-12-31","22","1836","0","0.7","0","1.01","Ecuador","right","174","6.76","5.64","66.09","2.7","52.73","0.05","4.23","0","0.03","0","10","0.49","20","0","0.44","11.11","0.29","33.33","1.96","35","0.78","0.44","0","33.73","88.66","7.89","75.78","1.62","48.48","0.05","0.15","0.2","3.09","79.37","0.88","38.89","0.59","3.48","69.01","","","0","0","","",""
