Player,League,Season,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Birth country,Passport countries,Foot,Height,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,PAdj Interceptions,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals per 90,Shots against per 90,"Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90,Wyscout ID
Fábio,Brazil 1.,2026,Fluminense,GK,45,200000,2027-12-31,22,2282,0,0.0,0,0.0,Brazil,"Brazil, Italy",right,190,no,0.63,0.08,50.0,0.12,66.67,0.0,0.96,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.04,0.0,12.38,87.9,6.27,78.62,3.71,63.83,0.0,0.0,0.0,0.24,66.67,0.0,0.0,0.0,3.0,60.53,1.03,4.1,75.0,1.13,2.57,0.101,1.1,8961
João Victor,Brazil 1.,2026,Mirassol,RCB,28,250000,2027-12-31,21,2167,1,1.08,1,0.06,Brazil,Brazil,right,188,no,6.56,2.74,60.61,4.19,70.3,1.25,6.76,0.04,0.04,0.04,8,0.33,37.5,12.5,0.08,50.0,0.12,100.0,0.58,57.14,0.58,0.37,0.04,41.2,92.84,14.16,87.1,3.36,69.14,0.0,0.0,0.04,3.45,77.11,0.17,25.0,0.08,5.07,76.23,,,0.0,0.0,,,,470539
Rafael,Brazil 1.,2026,São Paulo,GK,37,800000,2027-12-31,21,2167,0,0.0,0,0.0,Brazil,Brazil,left,192,no,1.16,0.08,50.0,0.25,100.0,0.0,1.68,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,16.41,86.33,7.48,72.22,5.36,61.24,0.0,0.0,0.0,1.5,61.11,0.17,25.0,0.04,4.19,68.32,1.04,3.41,69.51,0.99,-1.08,-0.045,1.12,97650
Santos,Brazil 1.,2026,Athletico Paranaense,GK,36,1000000,2026-12-31,21,2159,0,0.0,0,0.0,Brazil,Brazil,right,188,no,0.88,0.04,100.0,0.08,100.0,0.0,1.14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,11.67,80.0,6.17,64.86,4.0,47.92,0.0,0.0,0.04,1.46,48.57,0.08,0.0,0.0,2.79,61.19,0.79,2.88,72.46,0.76,-0.65,-0.027,1.17,115496
Carlos Miguel,Brazil 1.,2026,Palmeiras,GK,27,0,2027-06-30,21,2143,0,0.0,0,0.0,Brazil,Brazil,left,204,no,0.76,0.0,0.0,0.55,92.31,0.0,1.06,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,15.37,83.61,7.69,68.31,4.37,44.23,0.0,0.0,0.0,1.89,33.33,0.17,0.0,0.0,2.94,65.71,0.67,3.4,80.25,0.66,-0.29,-0.012,2.1,-67602
Marllon,Brazil 1.,2026,Remo,RCB,34,500000,2026-12-31,21,2138,1,0.31,1,0.01,Brazil,Brazil,right,186,no,6.78,4.04,67.71,2.19,55.77,0.51,4.86,0.04,0.01,0.04,4,0.17,50.0,25.0,0.04,0.0,0.0,0.0,0.76,44.44,0.34,0.13,0.0,28.71,86.36,10.57,74.9,3.16,44.0,0.0,0.0,0.04,2.65,63.49,0.21,20.0,0.0,4.08,68.04,,,0.0,0.0,,,,158622
Marcelo Rangel,Brazil 1.,2026,Remo,GK,38,0,2026-12-31,21,2135,0,0.0,0,0.0,Brazil,Brazil,right,186,no,1.05,0.0,0.0,0.21,80.0,0.0,1.26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.25,100.0,0.0,0.0,0.0,12.6,80.6,7.29,68.21,5.52,59.54,0.0,0.0,0.0,1.69,37.5,0.04,0.0,0.0,3.75,73.03,1.52,4.93,69.23,1.57,1.3,0.055,1.64,125297
Agustín Rossi,Brazil 1.,2026,Flamengo,GK,30,7000000,2027-12-31,21,2132,0,0.0,0,0.01,Argentina,"Argentina, Italy",right,193,no,0.55,0.0,0.0,0.04,100.0,0.0,0.78,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,17.52,86.02,7.81,74.05,4.69,55.86,0.0,0.0,0.0,0.93,31.82,0.04,0.0,0.0,3.5,60.24,0.76,3.29,76.92,0.8,0.99,0.042,1.06,331574
Robert Renan,Brazil 1.,2026,Vasco da Gama,LCB,22,0,2028-06-30,21,2128,1,0.61,0,0.53,Brazil,Brazil,left,186,yes,7.4,4.53,64.49,2.28,64.81,0.38,6.32,0.04,0.03,0.04,7,0.3,28.57,14.286,0.34,37.5,0.13,33.33,1.02,29.17,0.34,1.44,0.08,49.74,86.9,24.36,79.86,5.79,46.72,0.02,0.04,0.08,9.85,72.53,0.85,35.0,0.13,9.09,78.6,,,0.0,0.0,,,,-176274
Léo Jardim,Brazil 1.,2026,Vasco da Gama,GK,31,5500000,2030-12-31,21,2128,0,0.0,0,0.0,Brazil,"Brazil, Italy",right,188,no,0.93,0.04,0.0,0.21,100.0,0.0,1.35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,14.51,83.97,6.89,69.33,4.91,58.62,0.0,0.0,0.0,1.14,66.67,0.0,0.0,0.0,3.81,65.56,1.31,3.89,66.3,1.15,-3.84,-0.162,1.18,328222
K. Viveros,Brazil 1.,2026,Athletico Paranaense,CF,26,0,2028-06-30,21,2119,14,15.0,2,1.07,Colombia,Colombia,right,180,no,1.91,2.0,29.79,2.72,18.75,0.17,1.67,0.51,0.64,0.0,61,2.59,57.38,22.951,0.76,11.11,2.38,53.57,10.28,38.43,3.78,1.23,0.21,8.54,73.13,1.32,64.52,0.21,40.0,0.05,0.0,0.42,0.38,77.78,0.72,41.18,0.25,0.42,70.0,,,0.0,0.0,,,,477173
Éverson,Brazil 1.,2026,Atlético Mineiro,GK,36,1800000,2027-12-31,21,2104,0,0.0,1,0.52,Brazil,Brazil,right,192,no,1.07,0.04,100.0,0.34,87.5,0.0,1.36,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,27.8,75.69,18.52,66.28,15.61,58.9,0.02,0.0,0.04,3.51,36.59,0.43,10.0,0.04,10.52,67.89,1.15,4.11,71.88,0.92,-5.45,-0.233,1.58,112043
Hugo Souza,Brazil 1.,2026,Corinthians,GK,27,0,2030-12-31,20,2061,0,0.0,0,0.0,Brazil,Brazil,right,199,no,1.05,0.13,66.67,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.09,100.0,0.04,0.0,0.0,17.9,84.39,8.3,71.05,5.2,57.14,0.0,0.0,0.0,1.62,67.57,0.17,0.0,0.0,4.41,61.39,0.74,2.71,72.58,0.69,-1.3,-0.057,0.52,485423
Marlon Freitas,Brazil 1.,2026,Palmeiras,"LCMF, LDMF, RDMF",31,3500000,2028-12-31,21,2036,2,0.8,0,1.81,Brazil,Brazil,right,185,no,5.17,3.62,51.22,1.59,33.33,0.22,4.59,0.09,0.04,0.0,15,0.66,20.0,13.333,0.35,50.0,0.13,66.67,0.62,42.86,0.31,0.57,0.13,53.84,90.48,15.21,77.33,5.35,67.77,0.08,0.09,0.4,7.43,79.17,1.77,50.0,0.88,7.34,78.31,,,0.0,0.0,,,,401945
S. Ramos Mingo,Brazil 1.,2026,Bahia,LCB,24,0,2029-12-31,20,2019,0,0.67,0,0.31,Argentina,"Argentina, Italy",left,186,no,6.33,2.99,53.73,2.9,58.46,0.76,6.95,0.0,0.03,0.0,6,0.27,83.33,0.0,0.09,0.0,0.18,75.0,0.62,50.0,0.4,1.03,0.22,43.02,90.57,20.24,85.24,4.19,52.13,0.01,0.04,0.04,7.67,77.33,0.4,33.33,0.18,7.58,77.65,,,0.0,0.0,,,,-129043
Fabricio Bruno,Brazil 1.,2026,Cruzeiro,RCB,30,0,2030-12-31,20,2013,0,0.72,0,0.67,Brazil,Brazil,right,192,no,5.37,3.22,63.89,3.58,76.25,0.36,5.1,0.0,0.03,0.0,11,0.49,27.27,0.0,0.27,33.33,0.18,100.0,0.31,71.43,0.89,0.76,0.09,51.24,90.84,20.07,82.85,4.92,60.0,0.03,0.0,0.22,6.71,82.67,0.63,21.43,0.09,9.25,74.4,,,0.0,0.0,,,,438564
Bruno Gomes,Brazil 1.,2026,Internacional,"RCB, RB",25,2500000,2027-12-31,22,1999,0,0.53,0,2.25,Brazil,"Brazil, Italy",right,175,no,7.52,5.63,61.6,2.7,48.33,0.36,5.33,0.0,0.02,0.0,13,0.59,7.69,0.0,1.13,28.0,1.35,66.67,4.37,55.67,0.45,1.22,0.05,41.6,83.98,17.51,75.06,4.59,54.9,0.1,0.09,0.18,8.24,78.14,2.21,38.78,0.63,7.88,77.71,,,0.0,0.0,,,,-109543
N. Acevedo,Brazil 1.,2026,Bahia,"RB, DMF, LCMF",27,4500000,2031-12-31,20,1978,0,1.49,0,0.39,Uruguay,Uruguay,right,173,no,9.19,7.55,54.22,2.37,55.77,0.18,6.88,0.0,0.07,0.0,21,0.96,28.57,0.0,0.64,50.0,1.37,50.0,5.37,45.76,0.91,2.0,0.09,57.33,85.16,24.52,76.99,5.6,47.15,0.02,0.18,0.27,9.05,76.38,1.5,45.45,0.46,9.28,73.04,,,0.0,0.0,,,,-104315
S. Mendoza,Brazil 1.,2026,Athletico Paranaense,"LWB, AMF, LB",34,1000000,2027-12-31,22,1966,5,2.37,0,1.83,Colombia,Colombia,left,172,no,2.66,2.2,47.92,0.5,27.27,0.05,2.12,0.23,0.11,0.0,27,1.24,40.74,18.519,1.19,38.46,1.01,59.09,4.9,35.51,1.42,1.69,0.46,28.98,83.89,8.01,72.57,1.42,64.52,0.08,0.23,0.5,3.2,70.0,2.38,50.0,1.01,4.07,77.53,,,0.0,0.0,,,,141915
Walter,Brazil 1.,2026,Mirassol,GK,38,250000,2026-12-31,19,1965,0,0.0,0,0.0,Brazil,"Brazil, Italy",right,188,no,0.64,0.05,0.0,0.05,100.0,0.0,0.83,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.37,91.02,8.52,83.87,3.66,60.0,0.0,0.0,0.0,1.24,37.04,0.05,0.0,0.0,2.47,70.37,1.19,3.71,67.9,1.05,-2.99,-0.137,1.1,136425
Arthur Dias,Brazil 1.,2026,Athletico Paranaense,"LCB, RCB, CB",19,0,2028-12-31,20,1961,0,0.37,0,0.0,Brazil,Brazil,,0,no,6.65,3.3,63.89,1.61,42.86,0.64,6.04,0.0,0.02,0.0,5,0.23,0.0,0.0,0.14,33.33,0.23,40.0,1.29,50.0,0.28,1.01,0.05,40.94,87.67,17.67,79.74,6.24,61.76,0.0,0.05,0.09,5.55,76.86,0.5,36.36,0.14,8.22,71.51,,,0.0,0.0,,,,-423628
Weverton,Brazil 1.,2026,Grêmio,GK,38,2000000,2028-12-31,19,1948,0,0.0,1,0.0,Brazil,Brazil,right,189,no,0.97,0.14,66.67,0.23,80.0,0.0,1.24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,19.5,81.75,11.13,69.29,7.62,55.76,0.0,0.0,0.0,2.82,36.07,0.14,0.0,0.0,5.36,77.59,1.06,3.83,72.29,1.35,6.31,0.292,1.43,32538
Gabriel Brazão,Brazil 1.,2026,Santos,GK,25,0,2028-12-31,19,1936,0,0.1,0,0.0,Brazil,Brazil,right,192,no,0.79,0.09,50.0,0.37,100.0,0.0,1.05,0.0,0.0,0.0,1,0.05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,11.48,87.85,5.3,76.32,3.44,62.16,0.0,0.0,0.0,0.98,57.14,0.0,0.0,0.0,2.56,65.45,1.53,4.09,62.5,1.2,-7.13,-0.331,1.35,474967
Lucas Barbosa,Brazil 1.,2026,Red Bull Bragantino,"AMF, RAMF, RW",25,2000000,2029-12-31,19,1924,4,4.33,2,1.75,Brazil,Brazil,left,194,no,5.33,4.82,44.66,3.41,50.68,0.23,4.86,0.19,0.2,0.05,44,2.06,38.64,9.091,2.06,22.73,2.67,45.61,7.58,39.51,2.34,2.1,0.51,20.86,68.61,6.27,56.72,2.76,47.46,0.08,0.23,0.47,2.39,52.94,2.48,41.51,1.03,3.18,63.24,,,0.0,0.0,,,,-112787
Murilo,Brazil 1.,2026,Palmeiras,"LCB, RCB",29,10000000,2029-12-31,19,1900,1,0.96,1,0.54,Brazil,Brazil,right,188,no,7.06,3.69,51.28,4.26,62.22,0.85,7.36,0.05,0.05,0.05,8,0.38,62.5,12.5,0.38,25.0,0.24,80.0,0.85,50.0,0.47,0.9,0.05,45.28,89.96,20.13,82.82,3.65,58.44,0.03,0.05,0.19,6.25,77.27,0.66,35.71,0.24,8.29,74.29,,,0.0,0.0,,,,472694
Matheus Pereira,Brazil 1.,2026,Cruzeiro,"AMF, CF",30,0,2028-12-31,19,1877,5,3.47,1,4.56,Brazil,"Brazil, Portugal",left,175,no,2.97,3.79,35.44,1.58,33.33,0.05,2.31,0.24,0.17,0.0,45,2.16,31.11,11.111,1.68,34.29,1.49,51.61,7.34,66.01,2.78,1.53,0.34,37.64,79.75,10.6,70.14,2.25,55.32,0.22,0.24,0.96,4.94,70.87,3.55,51.35,2.06,5.47,81.58,,,0.0,0.0,,,,327720
Renan Lodi,Brazil 1.,2026,Atlético Mineiro,"LB, LWB",28,0,2030-12-31,19,1876,0,1.3,2,1.66,Brazil,"Brazil, Italy",left,173,no,6.86,5.95,52.42,2.11,34.09,0.24,4.59,0.0,0.06,0.0,25,1.2,28.0,0.0,2.93,24.59,1.49,77.42,5.18,60.19,1.68,2.06,0.24,37.76,84.5,10.6,77.38,3.31,57.97,0.08,0.0,0.38,3.6,77.33,2.54,30.19,0.38,5.85,70.49,,,0.0,0.0,,,,460277
G. Gómez,Brazil 1.,2026,Palmeiras,"RCB, CB",33,7500000,2027-12-31,19,1875,3,2.43,0,0.6,Paraguay,Paraguay,right,185,no,7.01,4.42,65.22,4.61,61.46,0.82,5.32,0.14,0.12,0.05,15,0.72,26.67,20.0,0.24,60.0,0.05,0.0,0.29,16.67,1.1,0.34,0.0,35.42,88.62,12.86,79.1,4.13,56.98,0.03,0.05,0.14,2.98,67.74,0.34,57.14,0.24,5.62,62.39,,,0.0,0.0,,,,170091
Gustavo Henrique,Brazil 1.,2026,Corinthians,LCB,33,1000000,2027-12-31,18,1863,0,1.19,0,0.28,Brazil,Brazil,right,196,no,5.89,3.57,67.57,3.53,67.12,0.82,5.12,0.0,0.06,0.0,13,0.63,30.77,0.0,0.0,0.0,0.1,50.0,0.58,58.33,0.92,0.24,0.0,38.5,91.59,12.51,82.24,2.85,59.32,0.01,0.0,0.05,3.57,81.08,0.39,25.0,0.19,5.27,65.14,,,0.0,0.0,,,,218816
Lucas Arcanjo,Brazil 1.,2026,Vitória,GK,28,1000000,2028-12-31,18,1863,0,0.0,0,0.0,Brazil,Brazil,right,189,no,0.72,0.1,50.0,0.19,100.0,0.0,0.92,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,16.86,77.65,9.86,63.73,8.02,57.83,0.0,0.0,0.0,2.22,45.65,0.05,0.0,0.0,5.6,70.69,1.11,4.25,73.86,1.13,0.45,0.022,0.77,-28481
Andreas Pereira,Brazil 1.,2026,Palmeiras,"RCMF, RDMF, LCMF",30,0,2028-12-31,21,1844,1,1.34,7,3.84,Belgium,"Belgium, Brazil",right,178,no,4.93,4.49,52.17,0.98,40.0,0.15,3.45,0.05,0.07,0.0,28,1.37,21.43,3.571,2.1,51.16,0.63,61.54,3.22,42.42,0.73,0.93,0.1,46.37,87.26,15.13,80.97,4.0,69.51,0.19,0.0,0.59,8.59,86.36,2.73,53.57,0.68,7.66,83.44,,,0.0,0.0,,,,275149
Eduardo Doma,Brazil 1.,2026,Chapecoense,"LCB, RCB",27,250000,2027-12-31,19,1832,1,1.02,0,0.71,Brazil,Brazil,right,187,no,7.32,3.05,69.35,3.24,56.06,0.59,6.02,0.05,0.05,0.05,10,0.49,20.0,10.0,0.39,37.5,0.2,50.0,0.74,26.67,0.88,0.74,0.05,44.21,87.11,18.47,77.66,6.88,60.71,0.03,0.0,0.1,4.72,77.08,0.59,33.33,0.15,8.35,69.41,,,0.0,0.0,,,,-114262
Alexandro Bernabei,Brazil 1.,2026,Internacional,"LW, LB, LWB",25,2000000,2028-12-31,19,1823,4,2.59,1,2.67,Argentina,"Argentina, Italy",left,169,no,7.16,7.5,48.68,1.88,36.84,0.1,4.44,0.2,0.13,0.0,46,2.27,30.43,8.696,4.1,36.14,2.96,63.33,7.5,46.05,2.22,2.07,0.39,31.35,71.5,11.06,62.5,3.11,47.62,0.13,0.05,0.84,3.7,72.0,3.9,45.57,1.18,6.37,70.54,,,0.0,0.0,,,,-83934
Juninho Capixaba,Brazil 1.,2026,Red Bull Bragantino,LB,29,3000000,2028-12-31,18,1819,3,1.05,2,2.46,Brazil,Brazil,left,176,no,7.87,5.99,52.89,3.32,59.7,0.15,7.1,0.15,0.05,0.05,20,0.99,30.0,15.0,2.37,27.08,1.19,75.0,4.11,51.81,1.43,1.39,0.2,38.74,78.8,13.75,70.14,4.3,51.72,0.12,0.0,0.49,6.18,72.0,2.97,40.0,0.69,9.15,74.05,,,0.0,0.0,,,,428407
Carlos Vinícius,Brazil 1.,2026,Grêmio,CF,31,4000000,2026-12-31,20,1812,10,7.02,1,0.37,Brazil,Brazil,left,190,no,1.29,1.84,40.54,3.38,41.18,0.0,0.76,0.45,0.35,0.15,37,1.84,56.76,27.027,0.25,0.0,0.75,33.33,5.81,29.91,2.09,0.3,0.0,7.3,73.47,1.69,55.88,0.15,66.67,0.02,0.05,0.05,0.6,66.67,0.75,26.67,0.15,0.55,54.55,,,0.0,0.0,,,,449861
Pedro,Brazil 1.,2026,Flamengo,CF,29,0,2027-12-31,21,1810,12,9.65,4,2.23,Brazil,Brazil,right,186,no,2.34,1.99,47.5,1.74,34.29,0.1,1.71,0.6,0.48,0.1,43,2.14,55.81,27.907,0.4,12.5,1.39,53.57,6.12,34.96,3.58,0.4,0.0,16.61,77.54,3.78,53.95,0.65,38.46,0.11,0.15,0.6,1.09,63.64,1.69,38.24,1.09,1.34,74.07,,,0.0,0.0,,,,435998
Pedro Rocha,Brazil 1.,2026,Coritiba,CF,31,1500000,2026-12-31,21,1792,5,5.34,1,0.34,Brazil,Brazil,right,175,no,2.96,2.16,58.14,3.47,30.43,0.05,1.93,0.25,0.27,0.05,37,1.86,40.54,13.514,0.5,30.0,2.56,41.18,6.63,33.33,2.56,0.85,0.1,11.35,68.58,3.01,63.33,0.4,50.0,0.02,0.0,0.15,1.26,84.0,0.35,14.29,0.15,1.76,68.57,,,0.0,0.0,,,,283522
J. Calleri,Brazil 1.,2026,São Paulo,CF,32,3500000,2026-12-31,19,1779,7,9.08,1,1.03,Argentina,"Argentina, Italy",right,181,no,3.39,3.29,44.62,7.44,46.26,0.05,2.54,0.3,0.46,0.15,38,1.92,39.47,18.421,1.32,23.08,1.16,47.83,7.34,35.17,3.29,0.51,0.0,13.46,75.56,2.93,72.41,0.51,70.0,0.05,0.1,0.46,0.81,87.5,1.62,53.13,0.81,1.72,73.53,,,0.0,0.0,,,,265255
Ruan Tressoldi,Brazil 1.,2026,Atlético Mineiro,"RCB, CB",27,2500000,2030-06-30,18,1778,2,0.86,0,0.16,Brazil,Brazil,right,187,no,8.76,4.61,68.13,3.59,56.34,1.06,7.14,0.1,0.04,0.1,7,0.35,42.86,28.571,0.05,0.0,0.4,75.0,1.62,59.38,0.56,0.76,0.0,39.89,89.85,14.02,78.34,3.8,50.67,0.01,0.0,0.05,4.61,73.63,0.56,36.36,0.2,5.72,68.14,,,0.0,0.0,,,,-66322
J. Freytes,Brazil 1.,2026,Fluminense,LCB,26,800000,2028-12-31,18,1776,0,0.85,0,0.05,Argentina,Argentina,left,186,no,6.59,4.16,65.85,2.74,59.26,0.35,6.34,0.0,0.04,0.0,14,0.71,0.0,0.0,0.25,20.0,0.25,60.0,1.01,45.0,0.66,0.51,0.1,60.66,88.97,22.4,79.19,7.4,54.11,0.0,0.05,0.1,8.36,70.3,0.66,30.77,0.15,10.24,70.3,,,0.0,0.0,,,,486379
G. Benavídez,Brazil 1.,2026,Athletico Paranaense,"RWB, RB, RCB",30,0,2028-12-31,18,1776,0,0.72,5,1.99,Argentina,Argentina,right,175,no,5.32,3.4,53.73,1.11,36.36,0.3,4.69,0.0,0.04,0.0,7,0.35,42.86,0.0,1.47,27.59,0.2,75.0,1.98,53.85,0.76,0.91,0.2,36.03,80.87,13.68,68.89,4.1,60.49,0.1,0.05,0.56,5.22,67.96,2.33,47.83,0.86,8.92,72.73,,,0.0,0.0,,,,515503
Alef Manga,Brazil 1.,2026,Remo,"LAMF, CF, LW",31,1000000,2026-12-31,22,1775,5,4.44,2,3.21,Brazil,Brazil,right,190,no,4.01,3.5,57.97,2.38,38.3,0.05,1.93,0.25,0.23,0.0,40,2.03,37.5,12.5,1.32,34.62,2.18,58.14,7.35,40.69,2.38,1.98,0.41,21.35,80.05,3.55,72.86,1.42,46.43,0.16,0.05,0.76,1.72,76.47,1.27,36.0,0.56,2.43,79.17,,,0.0,0.0,,,,-72140
Ramon,Brazil 1.,2026,Vitória,LB,25,2500000,2027-12-31,18,1764,2,0.65,1,1.44,Brazil,Brazil,left,179,no,7.19,6.02,56.78,2.24,54.55,0.15,4.98,0.1,0.03,0.0,8,0.41,50.0,25.0,2.96,34.48,1.79,62.86,4.18,50.0,0.61,1.38,0.2,32.14,75.87,9.54,62.03,2.55,40.0,0.07,0.0,0.46,3.88,59.21,2.81,41.82,0.41,6.48,75.59,,,0.0,0.0,,,,-71674
Gabriel Paulista,Brazil 1.,2026,Corinthians,RCB,35,2000000,2027-12-31,17,1754,1,1.62,0,0.02,Brazil,"Brazil, Spain",right,185,no,6.21,2.87,64.29,3.03,72.88,0.31,6.2,0.05,0.08,0.05,13,0.67,23.08,7.692,0.1,50.0,0.15,33.33,0.36,57.14,0.67,0.67,0.0,41.97,89.61,14.16,77.54,3.49,47.06,0.0,0.05,0.0,4.21,71.95,0.41,25.0,0.05,6.11,68.91,,,0.0,0.0,,,,121315
Vitinho,Brazil 1.,2026,Internacional,"RWB, RW, RB",27,7000000,2030-06-30,21,1746,1,2.49,3,1.27,Brazil,Brazil,right,181,no,6.34,5.82,58.41,4.54,31.82,0.15,3.75,0.05,0.13,0.0,32,1.65,34.38,3.125,3.4,22.73,2.01,58.97,6.29,50.0,2.94,1.34,0.26,28.3,72.86,7.99,61.94,2.01,38.46,0.07,0.05,0.57,2.94,56.14,3.14,42.62,1.13,5.62,77.06,,,0.0,0.0,,,,-50912
Josué,Brazil 1.,2026,Coritiba,"AMF, CF",35,600000,2026-12-31,21,1744,1,1.82,9,4.37,Portugal,Portugal,left,174,no,3.3,3.56,44.93,0.67,7.69,0.05,1.42,0.0,0.09,0.0,19,0.98,31.58,5.263,2.22,39.53,1.03,50.0,4.95,47.92,0.72,0.67,0.0,47.58,82.75,17.49,76.11,5.88,56.14,0.23,0.15,0.67,10.11,71.94,3.92,47.37,0.98,10.11,81.12,,,0.0,0.0,,,,89261
Matheuzinho,Brazil 1.,2026,Corinthians,RB,25,5000000,2028-12-31,18,1736,1,0.44,2,2.06,Brazil,Brazil,right,171,no,8.4,4.87,71.28,1.09,61.9,0.21,6.93,0.05,0.02,0.0,12,0.62,41.67,8.333,3.11,46.67,1.35,50.0,2.9,46.43,0.83,1.45,0.16,41.01,82.93,14.57,74.73,3.99,54.55,0.11,0.0,0.47,5.44,72.38,2.8,61.11,0.57,8.14,78.98,,,0.0,0.0,,,,-70156
Baralhas,Brazil 1.,2026,Vitória,"RCMF, LCMF",27,1000000,2028-12-31,18,1735,2,1.37,2,1.06,Brazil,Brazil,right,178,no,7.21,5.45,51.43,0.99,31.58,0.41,5.56,0.1,0.07,0.0,20,1.04,20.0,10.0,0.62,41.67,1.09,52.38,3.73,51.39,0.78,1.04,0.1,27.91,84.01,8.2,70.89,2.54,65.31,0.05,0.1,0.47,3.79,80.82,1.04,60.0,0.26,4.93,64.21,,,0.0,0.0,,,,480918
Léo Pereira,Brazil 1.,2026,Flamengo,LCB,30,0,2027-12-31,18,1722,2,1.19,1,0.25,Brazil,Brazil,left,189,no,6.17,3.4,60.0,2.4,58.7,0.73,5.65,0.1,0.06,0.0,13,0.68,38.46,15.385,0.47,44.44,0.16,66.67,0.84,43.75,0.52,2.4,0.1,65.07,94.22,19.49,87.94,5.23,73.0,0.01,0.0,0.1,8.26,85.44,0.94,44.44,0.31,7.94,88.16,,,0.0,0.0,,,,288077
Gustavo Marques,Brazil 1.,2026,Red Bull Bragantino,LCB,24,0,2030-06-30,18,1700,0,0.91,0,0.02,Brazil,Brazil,right,189,no,7.09,3.02,59.65,3.23,52.46,0.74,8.03,0.0,0.05,0.0,10,0.53,40.0,0.0,0.16,0.0,0.05,100.0,0.53,70.0,0.9,0.42,0.0,40.29,87.39,14.56,75.27,4.66,46.59,0.0,0.0,0.0,5.56,65.71,0.48,22.22,0.11,7.36,69.78,,,0.0,0.0,,,,-121824
Bruno Melo,Brazil 1.,2026,Coritiba,"LB, LCB",33,400000,2026-12-31,20,1700,1,1.3,0,0.19,Brazil,Brazil,left,186,no,5.88,3.86,57.53,2.17,60.98,0.16,4.25,0.05,0.07,0.05,8,0.42,12.5,12.5,0.69,38.46,0.11,0.0,1.16,54.55,0.69,0.53,0.05,33.25,83.12,14.29,68.89,4.82,39.56,0.01,0.0,0.16,2.96,66.07,0.79,40.0,0.16,5.98,64.6,,,0.0,0.0,,,,289831
Reinaldo,Brazil 1.,2026,Mirassol,"LB, LWB",36,500000,2026-12-31,18,1697,1,1.47,3,4.94,Brazil,Brazil,left,178,no,5.41,3.66,55.07,1.17,45.45,0.42,4.52,0.0,0.08,0.0,23,1.22,13.04,4.348,3.08,27.59,1.33,48.0,3.61,44.12,1.06,1.91,0.37,35.32,72.52,16.92,70.53,5.73,50.0,0.26,0.16,0.48,7.05,68.42,4.14,42.31,0.95,10.66,72.64,,,0.0,0.0,,,,174478
Camilo,Brazil 1.,2026,Chapecoense,"LCMF, LDMF, DMF",27,1000000,2027-12-31,18,1687,0,0.42,0,0.3,Brazil,"Brazil, Netherlands",right,178,yes,8.0,6.51,62.3,1.39,50.0,0.32,4.35,0.0,0.02,0.0,14,0.75,14.29,0.0,0.32,33.33,0.53,70.0,2.77,53.85,0.27,0.69,0.0,38.68,85.93,11.31,72.17,3.68,47.83,0.02,0.11,0.16,5.17,64.95,0.64,58.33,0.27,4.37,67.07,,,0.0,0.0,,,,-51058
