Player,League,Season,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Birth country,Passport countries,Foot,Height,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,PAdj Interceptions,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals per 90,Shots against per 90,"Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90,Wyscout ID
Luis Guedes,Brazil 1.,2026,Grêmio,RCB,18,0,2028-05-31,2,200,0,0.0,0,0.0,Brazil,Brazil,unknown,0,no,5.85,4.5,30.0,1.35,33.33,1.35,5.77,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,40.05,91.01,11.25,76.0,4.05,44.44,0.0,0.0,0.0,1.8,75.0,0.45,100.0,0.45,4.95,63.64,,,0.0,0.0,,,,-521712
David Antunes,Brazil 1.,2026,Chapecoense,"RCMF, RDMF",20,0,,7,199,0,0.07,0,0.0,Brazil,Brazil,unknown,0,no,8.14,8.14,50.0,1.81,25.0,0.45,4.35,0.0,0.03,0.0,3,1.36,0.0,0.0,0.9,50.0,1.81,100.0,5.88,38.46,0.45,0.9,0.0,31.21,86.96,8.14,66.67,0.9,50.0,0.0,0.0,0.0,4.97,90.91,0.45,100.0,0.0,3.17,71.43,,,0.0,0.0,,,,-355619
Matheus Felipe,Brazil 1.,2026,Remo,"RCB, LCB",27,0,2027-12-31,2,196,0,0.0,0,0.0,Brazil,Brazil,right,186,no,6.43,3.21,42.86,3.21,57.14,0.46,5.16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14,85.71,11.48,68.0,3.67,25.0,0.0,0.0,0.0,3.67,37.5,0.0,0.0,0.0,1.84,25.0,,,0.0,0.0,,,,449269
Zé Rafael,Brazil 1.,2026,Santos,LCMF,33,4500000,2027-12-31,5,195,1,0.6,1,0.07,Brazil,"Brazil, Italy",right,175,no,6.92,6.92,46.67,3.23,42.86,0.46,4.29,0.46,0.28,0.0,3,1.38,33.33,33.333,0.92,0.0,1.38,33.33,8.31,33.33,1.85,1.85,0.0,41.08,93.26,12.92,85.71,1.85,75.0,0.03,0.46,0.46,5.54,91.67,0.92,50.0,0.46,4.15,100.0,,,0.0,0.0,,,,242453
Ronald,Brazil 1.,2026,Vitória,"RB, AMF, RDMF",29,800000,2028-06-30,7,189,0,0.03,0,0.38,Brazil,Brazil,right,171,no,7.14,6.19,46.15,0.95,0.0,0.48,6.92,0.0,0.01,0.0,4,1.9,0.0,0.0,0.48,100.0,0.95,50.0,6.19,38.46,0.48,2.38,0.95,29.05,96.72,5.24,90.91,1.9,100.0,0.18,0.0,0.0,1.9,100.0,0.48,100.0,0.0,1.43,66.67,,,0.0,0.0,,,,471162
R. López,Brazil 1.,2026,Vitória,"CF, RCMF",32,1000000,2027-12-31,6,189,0,0.07,0,0.05,Uruguay,Uruguay,right,191,no,3.81,4.76,40.0,16.67,25.71,0.0,1.33,0.0,0.03,0.0,1,0.48,0.0,0.0,0.0,0.0,0.95,0.0,6.67,28.57,3.81,0.95,0.48,10.95,56.52,2.38,20.0,0.0,0.0,0.02,0.0,0.0,0.95,0.0,1.43,0.0,0.95,0.48,0.0,,,0.0,0.0,,,,225257
T. Pochettino,Brazil 1.,2026,Vitória,"LW, AMF",30,0,2027-12-31,5,184,0,0.16,0,0.3,Argentina,"Argentina, Italy",right,180,yes,5.87,5.87,50.0,2.45,20.0,0.0,4.0,0.0,0.08,0.0,4,1.96,50.0,0.0,2.45,40.0,1.47,33.33,2.45,40.0,1.47,2.93,0.0,22.5,63.04,7.83,62.5,4.4,55.56,0.15,0.0,0.0,3.91,37.5,2.45,40.0,0.0,6.36,76.92,,,0.0,0.0,,,,428987
Rodrigo Moledo,Brazil 1.,2026,Coritiba,LCB,38,250000,2026-12-31,3,183,1,0.07,0,0.0,Brazil,Brazil,right,188,no,6.39,1.97,75.0,6.39,69.23,0.49,5.56,0.49,0.03,0.49,1,0.49,100.0,100.0,0.0,0.0,0.49,100.0,0.49,100.0,0.49,0.0,0.0,14.26,72.41,5.41,54.55,2.46,40.0,0.0,0.0,0.0,1.97,25.0,0.98,50.0,0.49,2.46,20.0,,,0.0,0.0,,,,86277
Dudu,Brazil 1.,2026,Vitória,"LCMF, RCMF",27,450000,2026-12-31,3,182,1,0.2,0,0.04,Brazil,Brazil,left,186,no,7.42,9.4,63.16,3.96,62.5,0.0,1.36,0.49,0.1,0.0,1,0.49,100.0,100.0,0.0,0.0,5.44,54.55,12.86,57.69,0.49,0.49,0.0,31.65,84.38,13.85,82.14,1.48,100.0,0.02,0.0,0.0,5.44,81.82,0.49,0.0,0.49,2.97,100.0,,,0.0,0.0,,,,-86937
Zé Marcos,Brazil 1.,2026,Vitória,LCB,28,600000,2027-12-31,2,178,0,0.43,0,0.0,Brazil,Brazil,left,188,yes,8.09,9.1,38.89,2.53,20.0,0.51,5.45,0.0,0.22,0.0,2,1.01,50.0,0.0,0.0,0.0,0.0,0.0,1.01,50.0,0.51,1.01,0.0,34.38,91.18,14.66,86.21,3.54,71.43,0.0,0.51,0.0,5.56,63.64,0.51,100.0,0.51,7.58,80.0,,,0.0,0.0,,,,396324
