"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"Wang Gang","China 1.","Beijing Guoan","RB, RCB","36","50000","2025-12-31","24","2018","0","0.16","2","0.54","China PR","right","188","7.8","7.09","58.49","2.45","38.18","0.27","6.8","0.89","0","0.01","0","0.22","20","0","0.67","20","1.34","53.33","3.21","44.44","0.4","1.43","0.27","53.83","88.15","17.79","78.45","3.84","55.81","0.02","0","0.18","6.65","76.51","1.29","34.48","0.49","8.47","74.21"
"Piao Taoyu","China 1.","Changchun Yatai","RCMF","32","50000","2025-12-31","26","2015","0","0.4","0","1.73","China PR","right","177","10.72","8.31","61.83","1.03","30.43","0.31","6.23","2.01","0","0.02","0","0.4","33.33","0","1.61","38.89","1.79","67.5","5.72","42.97","0.36","0.58","0.18","35.87","74.35","15.32","62.39","6.03","48.89","0.08","0.18","0.4","7.37","58.18","3.35","45.33","0.89","8.53","70.16"
"Cheng Jin","China 1.","Zhejiang Professional","LCMF, LDMF","30","400000","2025-12-31","22","2002","0","0.4","3","1.59","China PR","right","175","6.25","5.26","64.96","0.49","0","0.09","3.39","0.9","0","0.02","0","0.4","0","0","0.81","38.89","0.85","57.89","3.96","37.5","0.49","1.93","0.22","51.74","88.53","15.1","72.92","4.95","57.27","0.07","0.27","0.4","8.05","73.18","2.65","47.46","0.99","5.84","80.77"
"He Yiran","China 1.","Changchun Yatai","LCB","20","0","","24","1988","0","0.14","1","0.29","China PR","","184","8.33","5.7","66.67","1.49","48.48","0.54","5.92","0.5","0","0.01","0","0.09","50","0","0.45","20","0.5","54.55","1.77","33.33","0.36","0.72","0.14","32.73","82.99","14.35","75.39","4.3","60","0.01","0.09","0.09","4.53","67","0.63","35.71","0.23","6.07","70.9"
"Serginho","China 1.","Beijing Guoan","RCMF, CF","30","2000000","2028-12-31","27","1980","7","3.88","4","4.58","Brazil","left","180","4.41","3.09","64.71","2.23","51.02","0.18","4.7","2.64","0.32","0.18","0.09","1.32","37.93","24.138","2.73","40","1.82","52.5","6.05","43.61","3.82","2.14","0.32","44","80.06","11.86","68.58","2.73","48.33","0.21","0.5","0.77","5.95","69.47","3.86","55.29","1.91","6","79.55"
"Sun Ming Him","China 1.","Tianjin Tigers","LB, LW","25","300000","2026-12-31","29","1980","0","0.92","0","1.09","Hong Kong","left","178","9.27","8.59","65.61","2.77","42.62","0.27","4.68","2.09","0","0.04","0","0.59","15.38","0","1.82","25","2.59","59.65","8","43.18","1.05","1.36","0.14","25.64","70.92","9.82","55.09","2.86","30.16","0.05","0.05","0.23","3.14","52.17","1.68","40.54","0.41","5.45","48.33"
"Lin Liangming","China 1.","Beijing Guoan","LWB, LW, LB","28","300000","2026-12-31","25","1978","6","5.4","2","1.78","China PR","right","180","6.73","3.82","69.05","5.73","61.9","0.09","7.63","3.64","0.27","0.25","0.23","1.73","55.26","15.789","1.87","26.83","3.28","63.89","8.87","43.08","4.14","2.78","0.36","35.17","85.12","6.51","73.43","1.5","60.61","0.08","0.14","0.41","1.73","71.05","2.18","58.33","1.59","4.19","75"
"Yang Chaosheng","China 1.","Meizhou Hakka","CF, RW, RAMF","32","100000","2025-12-31","30","1975","3","4.31","0","0.82","China PR","right","173","4.37","4.33","49.47","4.47","38.78","0.09","2.94","1.55","0.14","0.2","0","1.5","33.33","9.091","1.28","21.43","1.64","47.22","4.92","33.33","3.74","0.68","0.09","17.73","68.38","4.92","54.63","1.05","47.83","0.04","0.14","0.18","1.37","63.33","1.18","34.62","0.55","2.46","55.56"
"Umidjan Yusup","China 1.","Shanghai Port","LCB, RCB","21","0","2027-12-31","21","1958","0","0.26","0","0.28","China PR","","0","8.73","5.38","61.54","3.59","57.69","0.87","7.41","0.09","0","0.01","0","0.09","50","0","0","0","0.09","50","1.2","38.46","0.18","0.32","0","55.89","89.06","24.27","79.92","5.47","46.22","0.01","0","0.05","6.53","74.65","0.28","0","0","9.61","70.81"
"He Guan","China 1.","Wuhan Three Towns","RCB, LCB","32","100000","2025-12-31","23","1956","0","0.95","0","0.09","China PR","both","181","6.95","3.77","70.73","2.99","52.31","0.64","5.75","0.18","0","0.04","0","0.23","20","0","0.14","100","0.05","0","0.83","50","0.46","0.74","0","39.98","89.18","13.3","76.82","5.66","57.72","0","0","0","4.6","76","0.41","77.78","0.23","5.52","66.67"
"Hu Ruibao","China 1."," Shenzhen Peng City","LCB","29","225000","2026-12-31","21","1952","0","0.25","0","0.42","China PR","left","185","6.22","4.15","55.56","1.94","47.62","0.23","4.4","0.37","0","0.01","0","0.09","50","0","0.55","50","0.14","33.33","0.78","52.94","0.41","0.74","0.14","26.19","82.75","13.28","78.13","5.81","62.7","0.02","0","0","4.1","74.16","0.88","47.37","0.28","6.5","73.76"
"Xie Wenneng","China 1.","Shandong Taishan","RWB, RAMF, RW","24","0","2028-12-31","29","1938","4","3.56","8","4.36","China PR","","175","7.11","6.27","63.7","2.37","31.37","0.05","4.57","3.58","0.19","0.17","0","1.76","36.84","10.526","3.34","38.89","2.79","55","6.55","45.39","2.97","1.16","0.23","28.51","75.57","9.29","68","2.23","62.5","0.2","0.09","0.74","2.93","68.25","2.97","57.81","0.88","6.13","75"
