"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"L. Plogmann","Netherlands 1.","Go Ahead Eagles","GK","25","500000","2026-06-30","18","1772","0","0","0","0","Germany","left","188","no","0.81","0","0","0.61","91.67","0","1.02","0","0","0","0","0","0","0","0","0","0","0","0.05","100","0","0","0","28.85","88.2","15.64","80.19","8.69","66.67","0","0","0","2.64","55.77","0","0","0","7.06","73.38","1.63","4.47","63.64","1.42","-3.98","-0.202","1.47"
"J. De Busser","Netherlands 1.","Go Ahead Eagles","GK","26","500000","2027-06-30","16","1565","0","0","0","0","Belgium","right","190","no","1.38","0.12","100","0.46","100","0","1.63","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0","0","33.24","83.39","17.65","70.36","10.29","51.96","0","0","0","2.01","48.57","0.23","0","0.06","8.17","54.23","1.32","5.29","75","1.32","-0.02","-0.001","1.32"
"A. Noppert","Netherlands 1.","Heerenveen","GK","31","1500000","2027-06-30","16","1461","0","0","0","0","Netherlands","left","203","no","1.85","0.12","50","0.31","80","0","2.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.26","84.84","15.4","75.6","10.6","62.79","0","0","0","1.91","41.94","0.06","0","0","8.38","72.06","1.48","4.07","63.64","1.19","-4.75","-0.293","1.36"
"Matheus","Netherlands 1.","Ajax","GK","33","6000000","2027-06-30","9","870","0","0","0","0","Brazil","right","190","no","1.24","0.1","100","0.1","100","0","1.3","0","0","0","0","0","0","0","0","0","0.1","100","0.1","100","0","0","0","31.66","89.22","16.03","80.65","10.03","70.1","0","0","0","1.34","69.23","0","0","0","8.48","71.95","0.93","2.69","65.38","0.86","-0.7","-0.072","1.66"
"J. Zoet","Netherlands 1.","AZ","GK","35","400000","2027-06-30","6","586","0","0","0","0","Netherlands","right","189","no","1.38","0.15","100","0.31","100","0","1.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.42","80.82","13.82","70","11.83","63.64","0","0","0","2.92","63.16","0.15","0","0","9.68","73.02","0.46","2.15","78.57","0.33","-0.85","-0.131","0.77"
"L. Koopmans","Netherlands 1.","Fortuna Sittard","GK","32","225000","2027-06-30","6","582","0","0","0","0","Netherlands","right","190","no","1.7","0.15","100","0.15","100","0","1.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.15","64.29","11.75","56.58","10.98","52.11","0","0","0","4.48","55.17","0.62","0","0","7.73","68","2.32","5.41","57.14","1.93","-2.5","-0.387","0.77"
"P. Tytoń","Netherlands 1.","Twente","GK","39","100000","2026-06-30","5","520","0","0","0","0","Poland","right","195","no","1.9","0","0","0.35","50","0","2.28","0","0","0","0","0","0","0","0","0","0","0","0.17","100","0","0","0","24.06","89.93","12.12","82.86","8.48","71.43","0","0","0","1.21","42.86","0.17","0","0","6.92","80","2.6","5.71","54.55","1.82","-4.46","-0.772","1.56"
"Nacho Miras","Belgium 2.","Deinze","GK","28","400000","2029-06-30","34","3337","0","0","0","0","Spain","right","187","no","1.56","0.11","75","0.49","88.89","0","1.81","0","0","0","0","0","0","0","0","0","0","0","0.08","100","0","0","0","17.99","87.26","9.71","80.28","6.47","70.83","0","0","0","2","77.03","0.08","33.33","0.03","5.47","77.34","1.11","4.4","74.85","1.16","2.08","0.056","1.62"
"K. Debaty","Belgium 2.","Liège","GK","36","150000","2026-06-30","30","2946","0","0","0","0","Belgium","right","189","no","1.53","0.03","100","0.46","80","0.03","1.78","0","0","0","0","0","0","0","0","0","0.03","100","0.03","100","0","0","0","16.53","88.91","8.52","81.36","6.26","74.63","0","0","0","1.65","77.78","0","0","0","5.19","78.82","1.25","4.34","71.13","1.26","0.27","0.008","1.01"
"J. De Busser","Belgium 2.","Lommel SK","GK","26","500000","2027-06-30","30","2907","0","0","1","0.01","Belgium","right","190","no","1.61","0.12","25","0.5","93.75","0","2.21","0","0","0","0","0","0","0","0","0","0.03","100","0.12","75","0","0","0","31.11","85.67","18.39","77.61","11.61","65.6","0","0","0.03","3.16","55.88","0.4","7.69","0.03","8.76","73.5","0.96","3.78","74.59","1.11","4.87","0.151","1.24"
