"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"S. Çiftpınar","Turkey 2.","Sakaryaspor","LCB","32","225000","2026-06-30","7","660","0","0","Türkiye","right","183","7.36","3","63.64","2.05","46.67","0.82","7.18","0.27","0","0.08","0","0.41","33.33","0","0","0","0.27","50","0.68","20","0.41","0","0","23.73","87.36","8.18","80","4.09","80","0","0","0","0","0","2.05","46.67","0.27","50","0.14","4.91","58.33"
"Jefferson","Turkey 2.","Vanspor FK","AMF, RCMF, LCMF","31","350000","","10","660","1","0","Brazil","right","180","4.91","4.5","51.52","2.73","50","0.41","3.7","1.64","0.14","0.16","0","1.36","30","10","0.55","50","1.36","70","6.55","45.83","0.68","1.64","0.27","37.23","77.66","12.95","58.95","4.91","50","0.05","0","0","0","0.27","8.59","57.14","1.77","46.15","0.68","5.86","79.07"
"V. Karakuş","Turkey 2.","Manisa F.K.","GK","27","50000","2027-06-30","7","658","0","0","Türkiye","left","183","1.09","0","0","0.68","100","0","1.49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.64","78.29","8.75","57.81","6.29","45.65","0","0","0","0","0","1.91","35.71","0.14","0","0","4.1","60"
"O. Imeri","Turkey 2.","Bodrumspor","RB, LB","25","300000","2026-06-30","7","652","0","0","North Macedonia","right","175","9.11","6.76","73.47","0.55","75","0","7.13","0.69","0","0","0","0.14","0","0","1.66","25","0.97","28.57","2.76","25","0.55","1.79","0.14","40.72","81.36","13.67","73.74","5.25","44.74","0.01","0","0","0","0.14","4.69","67.65","0.83","83.33","0.41","8.14","64.41"
"Ö. Bayram","Turkey 2.","Sarıyer","LB, RAMF","34","50000","","9","651","0","0","Netherlands","left","175","5.94","4.42","62.5","1.38","50","0.28","4.69","2.07","0","0.02","0","0.69","40","0","3.87","28.57","1.38","50","4.29","58.06","0.83","2.07","0.55","42.03","75.99","14.24","67.96","4.56","54.55","0.35","0.14","0","0","0.55","5.81","66.67","4.15","36.67","0.69","8.85","78.13"
"B. Əkinçiər","Turkey 2.","Ümranıyespor","LWF, LW","26","300000","","10","650","0","1","Germany","both","181","3.32","2.63","63.16","4.57","33.33","0","1.7","0.97","0","0.04","0","0.97","0","0","0.42","66.67","1.94","35.71","7.75","23.21","0.97","1.52","0.28","13.02","82.98","2.08","73.33","0.28","100","0.11","0","0","0","0.14","0.28","50","0.55","75","0.28","1.25","66.67"
"O. Güçtekin","Turkey 2.","Iğdır FK","DMF, LDMF, LCMF","26","400000","","9","648","0","0","Türkiye","right","173","6.67","5","75","1.94","50","0","4.32","0.14","0","0","0","0","0","0","0.56","0","0.42","33.33","2.92","52.38","0.14","0.28","0","38.89","83.57","12.22","63.64","4.58","39.39","0","0.14","0","0","0.14","6.53","65.96","1.81","30.77","0.56","5.97","72.09"
"S. Gülay","Turkey 2.","Adana Demirspor","RW, RAMF","19","0","","9","637","1","0","Türkiye","","0","7.77","7.49","69.81","2.97","42.86","0","2.32","1.27","0.14","0.05","0","0.42","100","33.333","0.57","0","2.26","31.25","6.08","25.58","0.71","0.71","0.14","19.22","71.32","5.37","57.89","1.7","25","0.01","0","0.14","100","0.28","1.84","69.23","0.57","50","0.28","2.97","47.62"
"G. Tunç","Turkey 2.","Adana Demirspor","RCMF, LW","19","0","","8","633","0","0","Türkiye","","0","2.7","3.13","50","1","28.57","0","1.1","0.43","0","0","0","0.14","0","0","0.43","33.33","0.43","66.67","3.41","33.33","0.43","0.57","0","22.75","81.88","6.97","59.18","1.42","70","0.03","0","0","0","0.14","1.28","55.56","0.28","50","0","3.55","48"
"S. Akgün","Turkey 2.","BB Erzurumspor","LCMF","25","300000","2026-06-30","10","632","0","1","Türkiye","left","174","4.56","4.98","48.57","1.42","30","0.28","3.31","0.28","0","0.08","0","0.71","20","0","0.85","16.67","0.43","0","3.84","22.22","1","0.43","0","38.59","88.93","8.26","72.41","3.28","47.83","0.14","0","0","0","0.28","4.84","76.47","2.14","53.33","1","4.56","81.25"
"M. Keskin","Turkey 2.","Ankara Keçiörengücü","RB","23","0","2027-06-30","9","630","0","0","Türkiye","right","178","9.43","9.14","73.44","1.29","44.44","0","3.19","1.71","0","0","0","0.29","0","0","3","38.1","0.86","66.67","2.43","52.94","0.43","1.86","0.43","31.43","72.27","11.86","65.06","5.29","43.24","0.02","0","0","0","0.14","4.71","57.58","3.29","39.13","0.29","9","65.08"
