"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"A. Velasquez","Germany 2.","Midtjylland U19","AMF, CF, RAMF","17","0","2027-06-30","4","303","0","0.84","0","0.61","Finland","unknown","0","no","6.83","6.83","69.57","1.78","33.33","0","2.4","0","0.25","0","9","2.67","0","0","1.78","33.33","2.08","28.57","6.53","40.91","4.75","0.59","0","23.17","67.95","3.86","76.92","1.49","60","0.18","0","0.3","1.49","80","2.08","42.86","1.19","2.67","66.67","","","0","0","","",""
"Rafael Camacho","Germany 2.","Sporting CP U23","RCMF, DMF","18","0","2027-06-30","4","301","0","0.29","0","0.55","Portugal","unknown","174","no","7.18","8.97","43.33","1.79","83.33","0","3.61","0","0.09","0","4","1.2","0","0","1.2","50","1.2","25","4.19","35.71","0.3","0.9","0","46.64","83.97","9.27","64.52","2.09","28.57","0.17","0","0.6","5.38","77.78","1.5","40","0.3","3.29","63.64","","","0","0","","",""
"A. Rzazada","Germany 2.","Qarabag U19","DMF, RCMF","18","0","","4","301","0","0.02","0","0","Azerbaijan","","0","no","13.75","14.05","63.83","2.39","50","0.3","3.17","0","0.01","0","1","0.3","0","0","0.3","0","0.3","0","4.19","28.57","0","0.3","0","14.95","68","4.19","42.86","1.5","60","0","0","0","0.6","50","0.3","0","0","2.09","14.29","","","0","0","","",""
"D. Ofli","Germany 2.","Bayern München U19","LB","18","0","2028-06-30","4","300","0","0.08","1","0.56","Germany","","0","no","10.2","11.7","48.72","2.7","77.78","0.6","6.92","0","0.03","0","1","0.3","100","0","2.1","0","2.4","50","7.2","37.5","1.8","1.5","0","43.8","71.23","14.1","74.47","6.6","45.45","0.17","0","0.3","4.8","62.5","3.6","41.67","1.8","8.4","57.14","","","0","0","","",""
"T. Lund Jensen","Germany 2.","Club Brugge II","RAMF","20","200000","","5","299","3","1.2","0","0.39","Denmark","left","0","no","5.12","3.91","53.85","0.6","100","0","3.55","0.9","0.36","0","8","2.41","62.5","37.5","2.11","71.43","5.72","42.11","15.35","37.25","3.31","3.61","0","35.22","88.03","10.23","82.35","0.9","66.67","0.12","0.3","0.9","2.11","85.71","3.91","84.62","2.11","5.12","88.24","","","0","0","","",""
"R. Pavlic","Germany 2.","Bayern München U19","LCB, RCB","18","0","2027-06-30","3","298","0","0","0","0.01","Germany","","0","no","6.34","5.44","61.11","3.93","53.85","0.91","4.5","0","0","0","0","0","0","0","0","0","0","0","0.91","0","0","1.51","0","57.08","87.3","20.84","75.36","5.74","31.58","0","0","0","14.5","70.83","0.6","0","0","7.25","83.33","","","0","0","","",""
"M. Salmon","Germany 2.","Arsenal U19","RCB, RB","16","0","2027-06-30","3","298","0","0.17","0","0","England","unknown","0","no","11.17","3.93","100","3.93","53.85","1.51","8.33","0","0.05","0","1","0.3","0","0","0.3","100","0.3","0","3.02","60","1.21","0.6","0","38.05","88.1","15.1","78","4.53","60","0","0","0","4.83","81.25","0.6","50","0","6.95","69.57","","","0","0","","",""
"M. Culbreath","Germany 2.","Bayer Leverkusen U19","RAMF, RW","18","0","2030-06-30","3","296","2","1.66","1","0.43","Germany","unknown","172","no","7.6","4.86","68.75","2.43","37.5","0.3","4.38","0.61","0.51","0.61","10","3.04","30","20","3.04","40","9.12","56.67","17.03","37.5","3.95","5.17","1.52","22.5","68.92","6.99","65.22","0","0","0.13","0","1.52","1.52","40","3.65","50","1.52","3.34","81.82","","","0","0","","",""
"J. Stawiecki","Germany 2.","Monaco  U19","GK","18","0","2029-06-30","3","296","0","0","0","0","France","left","186","no","0.61","0","0","0.3","100","0","0.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.54","79.76","13.07","65.12","6.39","33.33","0","0","0","1.82","0","0.3","0","0","4.56","40","2.13","6.99","69.57","1.89","-0.79","-0.24","1.22"
"M. Wamu","Germany 2.","Monaco  U19","CB, DMF, RCMF","17","0","2029-06-30","3","296","0","0.21","0","0","Belgium","right","188","no","10.34","11.86","58.97","1.22","25","0.3","3.66","0","0.06","0","1","0.3","100","0","0","0","0.91","100","2.74","66.67","0.61","0.61","0.3","44.09","93.79","8.51","85.71","1.52","80","0","0","0","2.43","75","0","0","0","4.26","57.14","","","0","0","","",""
"M. Nicoll-Jazuli","Germany 2.","Chelsea U19","LCMF, RCMF","16","0","","4","296","1","0.43","0","0.31","England","unknown","0","no","3.65","3.34","45.45","0.91","0","0","2","0.3","0.13","0","5","1.52","60","20","0.3","0","1.22","50","10.03","15.15","2.13","2.74","0.91","29.49","84.54","6.99","65.22","1.82","66.67","0.09","0.3","0.3","3.04","80","1.52","40","0.61","3.65","75","","","0","0","","",""
