"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"T. Koudou","Belgium 1.","Mechelen","RWB, RB","20","800000","2026-06-30","12","1048","2","0.71","0","2.05","France","right","178","6.18","5.32","51.61","1.29","53.33","0.17","4.69","2.92","0.17","0.06","0","0.52","33.33","33.333","4.29","44","1.72","50","7.39","30.23","1.46","1.8","0.6","41.99","75.26","13.65","61.01","5.67","50","0.18","0.09","0.6","5.75","59.7","3.86","40","0.43","9.27","73.15"
"P. Pflücke","Belgium 1.","Charleroi","RAMF, RWB, AMF","28","1200000","","15","1036","3","1.71","2","2.26","Germany","left","170","4.43","3.04","65.71","0.96","27.27","0.09","2.77","1.91","0.26","0.15","0.09","1.91","36.36","13.636","3.65","23.81","0.96","36.36","2.35","29.63","2.43","1.48","0.26","27.89","75.39","7.04","67.9","3.39","66.67","0.2","0.09","0.78","3.74","58.14","4","30.43","1.13","4.52","76.92"
"A. Ait El Hadj","Belgium 1.","Union Saint-Gilloise","AMF, CF","23","2500000","2028-06-30","13","1035","0","1.42","1","3.23","Belgium","right","167","3.22","2.7","54.84","0.43","20","0","2.4","2.17","0","0.12","0","1.3","33.33","0","1.22","57.14","1.48","52.94","3.57","39.02","1.83","2.17","0.35","35.22","82.72","10.7","69.11","3.91","53.33","0.28","0.35","0.35","3.83","63.64","3.13","69.44","1.74","4.43","78.43"
"T. Lutonda","Belgium 1.","La Louvière","LB, LWB","25","400000","2027-06-30","12","1035","1","0.3","0","0.41","Congo DR","left","167","7.83","6.26","70.83","1.65","15.79","0","3.54","2.52","0.09","0.03","0","0.61","42.86","14.286","2.43","21.43","3.3","50","7.83","37.78","1.65","1.65","0.35","16.96","63.08","6.7","50.65","1.57","38.89","0.04","0.09","0.26","1.57","55.56","2.35","33.33","0.35","3.57","53.66"
"T. Ominami","Belgium 1.","OH Leuven","LCB","27","800000","2027-01-31","11","1029","0","1.2","0","0.08","Japan","right","184","7.26","5.25","70","3.32","44.74","0.26","4.41","0.17","0","0.11","0","0.44","20","0","0.09","0","0.09","100","0.87","20","0.61","0.35","0.09","38.75","90.52","16.18","84.32","3.59","63.41","0.01","0","0","3.94","73.33","0.26","0","0.09","6.65","72.37"
"M. Fossey","Belgium 1.","Standard Liège","RB","27","3000000","2027-06-30","11","1023","1","0.67","0","0.56","United States","right","179","7.04","4.22","62.5","3.17","47.22","0.44","5.16","1.94","0.09","0.06","0","0.7","50","12.5","2.99","23.53","1.67","47.37","4.31","46.94","1.32","3.08","0.62","32.64","73.32","10.82","67.48","2.82","43.75","0.05","0.09","0.53","3.78","62.79","2.46","39.29","0.7","6.6","57.33"
"J. Kayembe","Belgium 1.","Genk","LB","31","2500000","","12","1022","0","0.19","1","0.25","Belgium","left","180","8.28","5.37","70.49","1.67","68.42","0.44","7.08","1.5","0","0.02","0","0.53","16.67","0","2.29","23.08","1.32","66.67","5.9","47.76","1.14","1.76","0.09","66.66","85.87","23.95","79.41","4.4","58","0.02","0","0.26","7.05","80","3.08","31.43","0.62","10.22","75"
"L. De Fougerolles","Belgium 1.","Dender","LCB, CB","20","300000","","12","1019","0","0.24","0","0.01","England","right","183","8.21","5.74","72.31","4.42","60","0.79","4.75","0.53","0","0.02","0","0.18","0","0","0.09","0","0.62","85.71","4.15","72.34","0.26","1.32","0.18","45.84","86.13","18.28","74.4","5.03","45.61","0","0","0","6.18","61.43","0.35","25","0.09","7.6","63.95"
"José Marsà","Belgium 1.","Mechelen","LCB, LWB","23","800000","2027-06-30","11","1013","0","0.29","1","0.5","Spain","left","183","8.35","5.33","63.33","1.69","36.84","0.36","5.87","0.71","0","0.03","0","0.44","20","0","1.24","21.43","0.98","27.27","3.46","25.64","1.07","1.24","0.62","39.27","76.24","15.37","60.12","5.86","46.97","0.04","0.09","0.18","5.33","65","2.58","34.48","0.71","9.51","58.88"
"V. Musliu","Belgium 1.","Sint-Truiden","LCB","30","600000","","10","1008","0","0.18","0","0.01","North Macedonia","right","187","11.07","7.32","78.05","6.16","62.32","0.8","6.89","0.18","0","0.02","0","0.45","20","0","0.09","0","0.18","50","1.88","71.43","0.54","1.43","0.09","49.11","88","21.52","82.16","6.7","68","0","0","0","6.7","69.33","0.27","33.33","0.18","9.38","71.43"
