"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"Guo Jiayu","China 1.","Wuhan Three Towns","GK","21","0","","12","1188","0","0","0","0","China PR","","185","0.98","0.08","0","0.53","71.43","0","1.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.39","86.32","8.56","82.3","5.38","66.2","0","0","0","0.68","33.33","0","0","0","3.79","72"
"Zhang Huachen","China 1.","Changchun Yatai","DMF, RCMF, LCMF","27","100000","2025-12-31","22","1170","1","0.42","0","0.99","China PR","right","175","8.69","6.54","58.82","2.92","39.47","0.08","6.2","0.77","0.08","0.03","0","0.77","20","10","0.62","12.5","0.77","60","3.31","32.56","0.23","0.23","0","33.08","79.53","13.46","70.86","4.15","64.81","0.08","0.15","0","5.46","70.42","1.62","38.1","0.54","6.54","71.76"
"Yan Dinghao","China 1.","Chengdu Rongcheng","LCMF, RCMF","27","350000","2026-01-24","24","1168","2","1.6","1","1.15","China PR","right","180","7.01","5.93","54.55","2.31","50","0.39","5.15","1.85","0.15","0.12","0","1","46.15","15.385","2.08","48.15","0.54","57.14","4.01","30.77","1.54","0.62","0","51.78","85.42","16.64","78.7","6.7","65.52","0.09","0.15","0.39","9.48","75.61","3.54","60.87","1.23","8.55","81.98"
"Denny Wang Yi","China 1.","Wuhan Three Towns","LB, RB","27","150000","2025-12-31","18","1163","0","0.19","0","0.09","Italy","right","176","13","10.91","60.28","2.09","55.56","0.23","7.42","0.85","0","0.01","0","0.23","0","0","1.24","37.5","0.54","71.43","2.09","48.15","0.46","1.32","0.23","29.56","72.77","13.08","63.91","3.17","39.02","0.01","0","0.15","3.48","62.22","1.16","60","0.15","6.5","57.14"
"Wang Jinxian","China 1.","Wuhan Three Towns","RW, RAMF, LW","29","225000","2026-12-31","24","1155","1","0.64","2","2.2","China PR","right","175","6.23","6.31","67.9","3.27","28.57","0","2.4","3.97","0.08","0.05","0.08","0.47","50","16.667","3.35","44.19","3.74","60.42","11.92","36.6","1.71","2.42","0.39","26.73","69.97","9.04","54.31","2.65","64.71","0.17","0","0.86","3.19","65.85","3.35","58.14","0.78","5.22","71.64"
"Zhao Honglue","China 1.","Qingdao West Coast","LB","35","50000","2025-12-31","21","1144","0","0.26","0","0.23","China PR","left","174","8.26","6.14","53.85","3.15","35","0.31","6.18","2.2","0","0.02","0","0.47","0","0","2.52","46.88","1.73","59.09","3.54","44.44","0.55","1.18","0.31","38.16","80","15.97","69.46","5.82","52.7","0.02","0.08","0.24","5.59","64.79","2.99","50","0.31","9.05","79.13"
"Daniel Penha","China 1.","Dalian Young Boy","CF, LCMF, RW","27","750000","2025-12-31","12","1144","2","2.71","1","1.69","Brazil","left","170","4.01","3.93","62","3.3","35.71","0.08","1.85","2.2","0.16","0.21","0","2.67","29.41","5.882","1.34","11.76","1.97","56","5.98","44.74","1.97","2.05","0.55","30.84","73.21","10.23","63.85","2.6","48.48","0.13","0.31","0.55","4.8","68.85","2.83","47.22","1.42","6.22","72.15"
"Óscar Melendo","China 1.","Shanghai Port","AMF, RCMF","28","2000000","2026-12-31","13","1140","1","1.12","1","1.57","Spain","left","167","4.11","3.39","60.47","1.26","37.5","0.24","2.87","2.53","0.08","0.09","0","1.26","43.75","6.25","1.66","52.38","1.5","68.42","6.39","48.15","1.42","1.89","0.16","36.24","82.79","11.21","70.42","3.08","64.1","0.12","0.24","0.32","4.5","68.42","3.47","63.64","1.66","4.97","85.71"
"A. Zhang","China 1.","Zhejiang Professional","RCB, RB","20","0","","12","1139","0","0.1","1","0.27","China PR","unknown","0","8.77","7.74","67.35","1.9","41.67","0.4","4.24","0.55","0","0.01","0","0.08","0","0","0.16","0","0.63","87.5","2.13","66.67","0.4","0.71","0","37.77","87.45","14.86","77.13","3.16","37.5","0.02","0","0.16","3.87","59.18","0.32","50","0.16","6.16","69.23"
"Shi Ke","China 1.","Shandong Taishan","LCB, RCB","32","275000","2026-12-31","17","1139","0","0.07","0","0.02","China PR","right","184","6.8","3.87","65.31","3.16","52.5","0.47","5.95","0.24","0","0.01","0","0.16","50","0","0","0","0.24","66.67","0.55","57.14","0.08","0.16","0","33.5","84.91","14.62","75.14","7.9","60","0","0","0","5.06","70.31","0.63","62.5","0.32","7.43","70.21"
