"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Rodrigo Mordomo","Portugal 3.","Sporting Braga II","RAMF, RW, CF","21","0","2026-06-30","19","985","2","1.54","1","0.54","Portugal","right","181","no","7.31","5.48","63.33","2.56","28.57","0","4.95","0.18","0.14","0.09","14","1.28","42.86","14.286","1.83","35","2.65","51.72","8.68","32.63","2.83","1.28","0.46","24.03","71.48","5.39","61.02","1.37","46.67","0.05","0","0.27","1.37","60","1.1","33.33","0.73","3.38","51.35","","","0","0","","",""
"Tomás Castro","Portugal 3.","Bylis Ballsh","AMF, LCMF, RWF","26","200000","2026-06-30","16","982","2","2.17","0","0.65","Portugal","right","181","no","9.16","7.88","60.47","4.86","30.19","0","5.65","0.18","0.2","0","12","1.1","33.33","16.667","1.1","33.33","0.73","62.5","8.71","28.42","2.47","0.46","0.09","32.54","77.18","9.16","60","2.75","36.67","0.06","0","0.37","4.12","60","1.37","26.67","0.64","4.31","63.83","","","0","0","","",""
"Diogo Sequeira","Portugal 3.","Varzim","RW, RB, LWB","22","0","2026-06-30","20","978","1","0.5","1","1.14","Portugal","unknown","0","no","4.79","3.96","58.14","2.02","40.91","0","3.31","0.09","0.05","0","7","0.64","28.57","14.286","3.31","22.22","1.84","60","6.17","46.27","1.66","1.29","0.09","26.6","71.97","7.82","63.53","1.75","47.37","0.1","0.18","0.37","2.3","44","3.31","25","0.55","4.51","63.27","","","0","0","","",""
"Jessé","Portugal 3.","São João Ver","DMF, RCMF, LCMF","21","0","","15","974","0","0.09","0","0.04","Angola","","0","no","7.58","5.27","57.89","2.68","58.62","0.37","6.67","0","0.01","0","2","0.18","50","0","0.18","0","0.65","85.71","3.23","37.14","0","0.55","0.18","44.35","84.17","16.36","72.32","3.7","45","0","0.09","0","5.54","75","0.18","0","0.09","7.21","69.23","","","0","0","","",""
"Ruben Cardoso","Portugal 3.","Sanjoanense","LCB, CB","23","0","","12","973","0","0.31","0","0","Portugal","right","190","no","9.34","5.73","67.74","6.01","49.23","0.92","7.86","0","0.03","0","3","0.28","33.33","0","0","0","0.28","66.67","1.39","33.33","0.74","0.74","0","44.68","86.34","15.72","72.35","6.1","45.45","0","0","0","4.53","51.02","0.65","14.29","0.09","6.94","58.67","","","0","0","","",""
"Kiko Félix","Portugal 3.","Sanjoanense","LAMF, AMF","22","0","2026-06-30","18","973","1","0.42","0","1.67","Portugal","left","174","no","4.16","3.33","55.56","1.29","14.29","0","2.75","0.09","0.04","0","8","0.74","12.5","12.5","2.59","25","3.7","42.5","10.17","34.55","1.29","1.39","0","35.98","76.61","10.36","69.64","3.88","40.48","0.15","0.09","0.55","4.9","64.15","3.7","35","1.02","5.55","78.33","","","0","0","","",""
"Mica","Portugal 3.","Sporting Covilhã","LCMF, RCMF","32","0","2026-06-30","13","972","0","0.13","0","0.54","Portugal","right","171","no","5.56","4.17","68.89","0.74","0","0.09","3.72","0","0.01","0","7","0.65","0","0","0.56","50","0.56","66.67","6.11","46.97","0.56","0.74","0.09","37.22","86.57","10.93","72.03","3.98","67.44","0.05","0.09","0.09","6.39","78.26","1.67","50","0.37","5.83","69.84","","","0","0","","",""
"Balelo","Portugal 3.","Paredes","CF","23","0","","18","972","8","3.88","0","0.12","Portugal","right","186","no","2.41","2.96","53.13","2.87","38.71","0","1.15","0.74","0.36","0.09","26","2.41","61.54","30.769","0.56","0","1.39","46.67","6.39","26.09","2.96","0.74","0.09","11.67","78.57","2.31","48","0.37","50","0.01","0.09","0.19","1.11","83.33","1.02","54.55","1.02","1.02","63.64","","","0","0","","",""
"Théo Fonseca","Portugal 3.","Fafe","CF, LW, LWF","25","600000","2026-06-30","21","958","1","2.51","0","0.44","France","right","178","no","3.85","3.66","61.54","4.89","40.38","0","3.04","0.09","0.24","0.09","19","1.78","31.58","5.263","1.03","9.09","0.75","75","7.8","32.53","2.44","0.19","0","16.35","74.14","3.48","56.76","1.13","66.67","0.04","0","0.19","1.78","52.63","1.78","42.11","0.94","1.78","73.68","","","0","0","","",""
"Filipe Garcia","Portugal 3.","Sporting Covilhã","LWF, LAMF, LW","26","0","2026-06-30","19","957","0","0.4","2","0.95","Portugal","left","180","no","5.27","4.04","58.14","2.45","34.62","0.09","3.73","0","0.04","0","7","0.66","57.14","0","4.61","32.65","1.32","64.29","5.83","38.71","0.75","0.75","0","27.18","67.47","10.34","64.55","3.39","41.67","0.09","0","0.47","4.33","52.17","3.57","39.47","0.09","6.39","72.06","","","0","0","","",""
