"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"B. Milovanov","Portugal 1.","Arouca","RB","27","500000","","15","1078","0","0","Ukraine","right","178","12.86","10.19","62.3","2.25","44.44","0.17","7.7","1.25","0","0.01","0","0.17","0","0","1.17","14.29","1.84","54.55","3.34","45","0.58","0.83","0.33","33.06","70.45","12.77","50.33","6.68","47.5","0","0","0.25","33.33","0","4.09","44.9","1.09","30.77","0.08","8.01","54.17"
"Mexer","Portugal 1.","Estoril","RCB","36","150000","","14","1072","0","0","Mozambique","right","188","7.3","3.44","65.85","3.44","60.98","0.5","6.69","0.5","0","0.1","0","0.92","18.18","0","0.08","0","0.5","66.67","1.34","68.75","0.76","0.17","0","48.86","89.35","13.94","72.89","5.71","42.65","0","0","0","0","0","4.79","56.14","0.34","25","0.17","5.21","62.9"
"Pedro Amaral","Portugal 1.","Rio Ave","LCB, LB, LWB","28","700000","2026-06-30","12","1065","1","2","Portugal","left","178","6.17","5.15","57.38","1.01","25","0.25","3.98","1.86","0.08","0.02","0","0.59","14.29","14.286","2.87","38.24","1.94","34.78","4.23","38","0.59","1.52","0.25","44.11","78.74","17.24","73.53","5.41","53.13","0.09","0","0.17","0","0.08","6.25","71.62","2.7","50","0.08","10.23","76.03"
"J. Tagueu","Portugal 1.","Marítimo","CF","31","550000","","14","1065","1","0","Cameroon","left","178","3.04","2.2","61.54","10.65","29.37","0","2.34","1.77","0.08","0.52","0","2.79","33.33","3.03","0.68","25","1.86","31.82","10.23","24.79","3.13","0.42","0.08","14.7","78.74","1.86","59.09","0.25","66.67","0.03","0","0.08","100","0.25","0.85","70","0.68","75","0.42","0.59","57.14"
"R. Boženík","Portugal 1.","Boavista","CF","25","5000000","","23","1064","4","0","Slovakia","right","187","2.79","3.05","50","4.91","20.69","0","1.24","1.78","0.34","0.29","0.08","2.62","32.26","12.903","0.25","33.33","1.69","45","8.71","33.98","2.79","0.25","0","12.94","77.78","1.69","55","1.18","71.43","0.02","0","0.25","33.33","0","1.35","50","0.25","66.67","0.17","0.85","50"
"Y. González","Portugal 1.","Portimonense","CF, LW, LWF","31","500000","","16","1060","0","1","Colombia","right","184","4.5","4.16","53.06","3.23","42.11","0.08","3.18","2.29","0","0.1","0","0.93","36.36","0","2.21","34.62","2.89","41.18","8.24","31.96","2.29","0.59","0.25","20.38","77.08","3.57","73.81","1.1","53.85","0.09","0","0","0","0.51","1.1","76.92","1.7","50","0.76","2.55","66.67"
"Fabiano","Portugal 1.","Sporting Braga","RB","25","3000000","2026-06-30","12","1041","0","0","Brazil","right","175","9.94","8.56","63.64","2.25","15.38","0.26","6.57","2.77","0","0.02","0","0.35","25","0","3.37","38.46","1.99","60.87","4.93","52.63","0.52","1.04","0.35","39.51","77.02","11.76","55.15","5.19","56.67","0.06","0","0.26","66.67","0.43","3.98","54.35","3.29","44.74","0.52","9.68","67.86"
"K. Zohi","Portugal 1.","Vizela","RWF, LAMF, LWF","28","500000","2027-06-30","25","1039","2","3","Côte d'Ivoire","right","180","6.15","5.2","56.67","3.72","32.56","0","3.82","3.29","0.17","0.18","0","1.91","36.36","9.091","1.47","41.18","2.77","56.25","8.75","31.68","2.77","1.73","0.26","23.82","74.91","5.72","65.15","0.87","60","0.14","0","0.87","50","0.52","2.08","58.33","1.99","56.52","1.04","3.46","57.5"
"Tiago Araújo","Portugal 1.","Estoril","LB, LW, LAMF","24","800000","2028-06-30","25","1031","1","0","Portugal","left","184","7.33","6.11","48.57","1.75","55","0.09","5.54","3.67","0.09","0.1","0","1.22","35.71","7.143","3.58","31.71","3.58","58.54","6.11","51.43","1.4","2.1","1.48","28.63","71.34","10.3","66.1","4.71","46.3","0.04","0","0","0","0.17","4.1","46.81","2.36","40.74","0","6.2","63.38"
"J. St. Juste","Portugal 1.","Sporting CP","RCB","28","8000000","2026-06-30","21","1030","1","1","Netherlands","right","186","8.13","7.25","69.88","4.11","53.19","0.09","5.45","1.31","0.09","0.03","0.09","0.44","20","20","1.05","33.33","1.49","52.94","2.97","58.82","0.52","2.53","1.31","78.12","93.18","29.62","88.2","2.36","44.44","0.04","0","0.09","100","0.26","11.8","88.89","1.57","38.89","0.17","12.15","82.01"
"A. Dobre","Portugal 1.","Famalicão","RAMF, RW","27","0","","17","1018","2","3","Romania","right","185","6.72","5.75","64.62","3.09","25.71","0.18","4.06","3.62","0.18","0.25","0.09","1.94","36.36","9.091","2.03","47.83","3.54","55","6.72","43.42","3.89","2.12","1.59","21.31","78.42","3.45","66.67","0.62","42.86","0.23","0.09","0","0","0.97","1.24","64.29","1.68","57.89","1.24","2.92","60.61"
"S. Kritsyuk","Portugal 1.","Gil Vicente","GK","34","400000","","11","1011","0","0","Russia","right","192","2.76","0.09","100","0.71","100","0","3.49","0","0","0","0","0","0","0","0","0","0","0","0.09","100","0","0","0","22.17","91.97","10.86","85.25","6.14","79.71","0","0","0","0","0","0.98","45.45","0.09","0","0","4.9","72.73"
"B. Róchez","Portugal 1.","Portimonense","CF","30","400000","","21","1006","1","1","Honduras","right","183","3.67","3.58","55","8.5","40","0.18","1.81","1.88","0.09","0.43","0.09","2.24","28","4","0.54","50","1.52","58.82","9.39","28.57","3.67","0.27","0.09","12.97","73.1","2.33","53.85","0","0","0.03","0","0.27","33.33","0.18","1.25","64.29","0.45","60","0.63","1.61","61.11"
"Romário Baró","Portugal 1.","Casa Pia AC","RCMF, RW","25","1500000","2026-06-30","18","1005","0","1","Guinea-Bissau","right","180","6.45","5.91","51.52","2.15","29.17","0.09","3.34","2.6","0","0.04","0","0.99","9.09","0","0.18","50","2.96","60.61","9.76","41.28","0.9","1.43","0.81","24.63","82.91","7.52","73.81","0.9","70","0.07","0","1.16","53.85","0.36","3.22","83.33","1.34","60","0.99","4.03","86.67"
"Beni","Portugal 1.","Casa Pia AC","LCMF, RCMF","23","700000","2027-06-30","14","1005","0","1","Angola","right","180","9.67","7.34","73.17","1.79","40","0.18","4.27","1.79","0","0.02","0","0.36","0","0","0.36","50","2.87","56.25","7.61","42.35","0.18","1.16","0.72","34.21","89.01","9.85","75.45","1.61","55.56","0.04","0","0.09","0","0.18","4.84","77.78","1.16","38.46","0.18","3.4","81.58"
