"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Mohamed Shika","Egypt 1.","Kahraba Ismailia","CF","28","0","2026-06-30","14","928","3","2.09","0","1.14","Egypt","right","0","2.04","2.91","40","15.52","45.63","0","1.27","0.29","0.2","0.1","17","1.65","35.29","17.647","0.19","50","0.29","33.33","4.07","19.05","3.88","0.39","0","14.26","62.59","3.2","27.27","0.68","42.86","0.11","0","0.19","1.45","46.67","0.39","25","0.39","1.55","56.25","","","0","0","","",""
"Marwan Dawoud","Egypt 1.","ENPPI","LB","28","0","","10","927","0","0.22","1","0.49","Egypt","left","0","9.51","7.67","70.89","2.82","48.28","0.29","5.8","0","0.02","0","4","0.39","25","0","2.52","38.46","0.97","50","3.3","38.24","0.29","0.78","0.19","31.65","70.86","14.27","61.9","5.44","51.79","0.05","0","0.29","5.05","71.15","2.33","29.17","0.19","8.64","65.17","","","0","0","","",""
"Mohamed Samir","Egypt 1.","ENPPI","RCB, LCB","24","100000","2028-06-30","9","924","0","0.53","0","0.07","Egypt","right","0","8.77","4.58","78.72","6.33","50.77","1.07","7.61","0","0.05","0","4","0.39","0","0","0","0","0","0","0.49","20","0.68","0.29","0","33.12","84.71","14.9","73.86","6.14","58.73","0.01","0","0","3.9","62.5","0.88","22.22","0.1","7.99","64.63","","","0","0","","",""
"M. Kanaria","Egypt 1.","Al Ittihad","RCMF, RW","27","250000","2028-06-30","11","924","0","0.29","0","0.53","Egypt","right","0","5.75","4.77","65.31","3.41","40","0.19","3.5","0","0.03","0","5","0.49","40","0","0.78","12.5","0.88","77.78","4.29","45.45","0.58","1.07","0","42.18","83.37","15.58","75","4.87","58","0.05","0.1","0.1","8.47","74.71","1.27","30.77","0.19","8.28","80","","","0","0","","",""
"Mostafa El Gamal","Egypt 1.","Petrojet","AMF, LAMF","28","0","2027-06-30","14","921","0","0.44","1","0.61","Egypt","","0","4.98","3.91","57.5","3.52","16.67","0","3.33","0","0.04","0","12","1.17","33.33","0","1.07","36.36","1.76","27.78","7.33","28","0.98","1.17","0","25.9","74.72","9.87","68.32","3.03","58.06","0.06","0.1","0.2","4.1","71.43","1.76","50","0.59","5.67","72.41","","","0","0","","",""
"M. Abdelsalam","Egypt 1.","Ghazl El Mehalla","RCMF, RDMF","20","0","2030-06-30","14","917","0","0.17","0","0.11","Egypt","","0","7.85","5.3","79.63","4.81","44.9","0.2","4.03","0","0.02","0","4","0.39","50","0","0.49","40","0.88","66.67","4.02","48.78","0.29","0.79","0.1","22.87","73.82","7.85","50","3.44","28.57","0.01","0","0.1","3.73","47.37","0.59","33.33","0","3.83","43.59","","","0","0","","",""
"Ahmed El Agouz","Egypt 1.","ENPPI","LDMF, RCMF","32","250000","2026-06-30","10","916","2","1.63","0","0.33","Egypt","","0","8.84","4.62","63.83","4.13","50","0.29","7.54","0","0.16","0","6","0.59","50","33.333","0.1","100","0.39","25","2.36","45.83","0.2","0","0","31.34","82.13","10.61","64.81","3.24","54.55","0.03","0","0","3.64","64.86","0.49","60","0.39","4.62","51.06","","","0","0","","",""
"Youssef Oya","Egypt 1.","Wadi Degla","RWF, RAMF","25","0","2026-06-30","11","914","1","1.83","1","1.16","Egypt","","0","5.22","6.11","48.39","1.97","40","0","4.05","0.1","0.18","0","16","1.58","31.25","6.25","2.76","46.43","3.84","48.72","8.17","36.14","2.36","2.46","0.1","29.64","73.75","7.09","70.83","1.97","35","0.11","0.1","0.59","2.95","53.33","3.45","45.71","1.08","5.51","69.64","","","0","0","","",""
"G. Al Madadha","Egypt 1.","El Geish","CF, RAMF, RW","25","0","","13","912","1","1.06","1","1.18","Jordan","unknown","0","4.74","4.74","47.92","1.48","33.33","0","3.14","0.1","0.1","0","19","1.88","26.32","5.263","0.89","44.44","1.09","36.36","5.63","31.58","1.28","0.69","0.1","26.94","76.92","6.51","60.61","2.07","52.38","0.12","0.1","0.1","3.45","60","1.48","33.33","0.2","3.85","56.41","","","0","0","","",""
"M. Ragab","Egypt 1.","Smouha","RCB","26","0","2028-06-30","9","910","0","0.19","0","0","Egypt","right","0","7.02","4.05","78.05","3.96","50","0.4","5.94","0","0.02","0","2","0.2","50","0","0.1","0","0.49","80","1.29","69.23","0.4","0.49","0","33.73","80.35","16.71","69.82","7.91","50","0","0","0","5.84","49.15","1.09","45.45","0.4","7.12","68.06","","","0","0","","",""
"Yassin El Mallah","Egypt 1.","Pharco","RCMF, LCMF","22","0","2027-06-30","13","907","0","0.78","0","0.26","Egypt","","0","10.72","8.34","64.29","5.36","48.15","0","5.87","0","0.08","0","12","1.19","25","0","0.6","50","1.39","64.29","6.95","37.14","0.6","1.69","0","30.86","77.49","10.02","62.38","3.47","51.43","0.03","0","0.1","5.26","73.58","1.49","60","0.4","5.46","56.36","","","0","0","","",""
"F. Mayele","Egypt 1.","Pyramids","CF","31","0","2026-06-30","11","906","3","3.18","1","0.62","Congo DR","right","185","1.39","1.39","57.14","3.87","30.77","0.1","1.18","0.3","0.32","0.1","20","1.99","35","15","0.79","37.5","1.09","54.55","7.85","29.11","3.68","0.4","0.1","10.63","71.96","1.79","55.56","0.4","50","0.06","0","0.2","0.5","80","0.99","70","0.6","0.99","70","","","0","0","","",""
"Ahmed Adel","Egypt 1.","ZED FC","LAMF, LW","28","150000","2027-06-30","14","905","0","1.37","0","1.83","Egypt","right","175","4.38","4.77","60.42","2.69","29.63","0","1.96","0","0.14","0","15","1.49","26.67","0","2.59","46.15","3.48","51.43","9.45","36.84","3.28","3.28","0.2","24.46","73.17","6.17","66.13","1.49","46.67","0.18","0.1","0.5","1.89","68.42","3.28","54.55","1.09","4.57","80.43","","","0","0","","",""
"Nader Farag","Egypt 1.","Ismaily","LW, CF, RW","24","0","2030-06-30","13","903","0","0.21","0","0.23","Egypt","unknown","0","4.98","4.09","68.29","6.98","38.57","0","2.31","0","0.02","0","7","0.7","28.57","0","0.7","42.86","2.29","43.48","8.57","27.91","1.3","0.7","0.2","17.14","70.93","3.69","48.65","0.7","71.43","0.02","0","0.1","1.3","61.54","0.9","55.56","0.4","2.49","52","","","0","0","","",""
"K. Saïdi","Egypt 1.","Ghazl El Mehalla","LW, CF, RAMF","19","0","2028-06-30","13","900","1","1.66","1","0.35","Congo DR","unknown","0","4.8","4.2","59.52","6.4","28.13","0.2","3.11","0.1","0.17","0","10","1","20","10","1.7","23.53","3.4","61.76","10.2","44.12","2.5","1.9","0","21.2","66.98","6.6","56.06","2.2","54.55","0.03","0.1","0.1","2.4","62.5","1.9","42.11","0.6","3.4","70.59","","","0","0","","",""
"A. El Bahrawi","Egypt 1.","Pharco","RCMF, DMF","30","0","","10","895","0","0.9","0","0.03","Egypt","unknown","0","7.74","4.32","65.12","3.12","41.94","0.3","5.72","0","0.09","0","8","0.8","25","0","0.5","40","0.91","77.78","3.12","54.84","0.6","0.7","0","30.67","79.67","10.46","63.46","4.63","52.17","0","0","0","3.72","56.76","0.3","66.67","0.1","6.13","55.74","","","0","0","","",""
"Islam Abou Salima","Egypt 1.","Haras El Hodood","LCB, CB, RCB","32","300000","2026-06-30","9","894","0","0","0","0.06","Egypt","left","182","6.74","2.62","73.08","5.84","48.28","0.3","6.5","0","0","0","0","0","0","0","0.2","0","0","0","0.4","75","0.1","0.1","0","25.77","78.13","14.19","68.79","7.45","55.41","0.01","0","0.1","4.43","61.36","0.6","16.67","0.2","7.15","59.15","","","0","0","","",""
"H. Souissi","Egypt 1.","El Geish","RCMF, DMF, RDMF","28","400000","2028-06-30","10","891","0","0.64","0","0.07","Tunisia","right","0","8.28","6.57","67.69","3.23","46.88","0.1","4.95","0","0.06","0","7","0.71","0","0","0.2","50","0.3","0","4.24","35.71","0.71","0.1","0","33.43","81.57","11.21","71.17","3.43","50","0.01","0","0","5.76","70.18","1.01","30","0.4","4.95","65.31","","","0","0","","",""
"Ali El Fil","Egypt 1.","Modern Sport","LCB","35","300000","2027-06-30","10","889","1","0.19","0","0","Egypt","right","0","5.37","2.63","76.92","2.02","55","0.61","4.22","0.1","0.02","0.1","2","0.2","50","50","0","0","0","0","0.3","0","0.2","0.1","0","25.92","89.84","9.31","83.7","3.04","73.33","0","0","0","1.42","71.43","0.1","100","0","4.15","63.41","","","0","0","","",""
"A. Belhadji","Egypt 1.","Ceramica","LCMF, RCMF","28","800000","2027-06-30","12","883","0","0.75","0","0.92","Morocco","both","176","4.28","3.06","60","1.63","18.75","0.1","4.04","0","0.08","0","11","1.12","18.18","0","0.61","0","0.41","75","2.75","44.44","2.04","0.71","0","59.01","83.25","18.35","68.33","5.81","47.37","0.09","0.31","0","9.28","70.33","2.85","39.29","1.22","8.26","74.07","","","0","0","","",""
"Karim El Deeb","Egypt 1.","Al Ittihad","LB, LW","30","250000","2026-06-30","10","880","1","0.79","0","1.13","Egypt","left","184","5.42","3.68","55.56","4.5","65.91","0.1","4.52","0","0.08","0","5","0.51","20","20","3.78","37.84","1.64","43.75","4.19","34.15","0.31","1.02","0","31.7","75.81","11.25","78.18","4.7","54.35","0.12","0","0.31","5.22","70.59","3.78","43.24","0.61","7.87","77.92","","","0","0","","",""
"Hamed El Gabry","Egypt 1.","El Geish","LB, LW","26","0","2027-06-30","10","873","0","0.77","0","0.28","Egypt","","0","9.38","7.53","67.12","2.58","64","0","4.72","0","0.08","0","9","0.93","11.11","0","1.65","43.75","1.34","53.85","5.67","38.18","1.13","1.03","0.31","22.06","72.9","7.01","61.76","2.37","39.13","0.03","0","0.21","2.78","48.15","1.13","54.55","0.21","4.12","65","","","0","0","","",""
