"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"A. Heggebø","Norway 1.","Brann","CF, AMF","24","900000","2028-12-31","29","1427","11","1","Norway","left","185","4.23","3.85","62.3","4.04","45.31","0.06","2.95","2.71","0.69","0.56","0.19","2.84","46.67","24.444","0.5","0","2.21","60","13.18","29.19","4.6","1.26","0.19","15.52","81.3","3.03","68.75","0.32","80","0.05","0","0.06","100","0.44","1.26","65","0.69","72.73","1.01","1.64","65.38"
"B. Moe","Norway 1.","Bodø / Glimt","RCB","33","500000","2025-12-31","19","1421","0","0","Norway","right","184","7.41","3.86","72.13","4.37","53.62","0.76","7.35","0.38","0","0.04","0","0.32","40","0","0.06","0","0.13","100","1.33","42.86","0.38","2.09","0","94.31","93.96","25.33","82.75","6.14","52.58","0.02","0","0.13","100","0.06","16.66","87.07","1.39","59.09","0.82","12.35","76.41"
"B. Skaret","Norway 1.","Fredrikstad","RCB, CB, LCB","23","450000","","22","1414","1","1","Norway","right","186","7.7","5.09","66.25","5.03","46.84","0.32","5.01","0.19","0.06","0.07","0","0.32","20","20","0.19","66.67","0.25","0","0.7","27.27","0.7","0.57","0","34.69","86.97","13.81","76.04","4.33","54.41","0","0","0","0","0.13","5.47","70.93","0.57","33.33","0.06","6.56","71.84"
"A. Hagelskjær","Norway 1.","Molde","CB, LCB","28","800000","","19","1410","1","0","Denmark","left","192","8.3","6","62.77","4.79","68","0.19","5.48","0.45","0.06","0.01","0","0.38","16.67","16.667","0.51","25","0.57","33.33","1.79","42.86","0.57","1.34","0","65.43","87.61","24.19","78.1","9","60.28","0.02","0.06","0.13","50","0","11.87","79.57","0.89","57.14","0.57","13.15","75.24"
"M. Konradsen","Norway 1.","Haugesund","AMF, RDMF, RAMF","29","300000","2026-12-31","21","1408","2","3","Norway","right","176","4.67","4.09","65.63","1.73","37.04","0.38","2.47","1.28","0.13","0.08","0","1.21","21.05","10.526","1.15","33.33","1.34","47.62","3.96","37.1","1.73","0.77","0.51","31.45","88.21","6.84","76.64","1.34","61.9","0.08","0","0","0","0.51","2.62","75.61","1.53","33.33","0.58","2.81","59.09"
"H. Hoseth","Norway 1.","KFUM","RB, RWB","26","300000","2026-12-31","19","1402","3","0","Norway","right","182","8.73","7.96","67.74","1.86","58.62","0.06","3.84","2.18","0.19","0.07","0.06","1.16","44.44","16.667","2.25","34.29","1.73","51.85","3.98","43.55","2.57","1.41","0.26","30.36","75.69","6.8","49.06","3.02","29.79","0.04","0","0","0","0.13","1.35","57.14","2.18","47.06","0.83","4.94","45.45"
"M. Roseth","Norway 1.","Lillestrøm","LCB, LB","27","550000","2025-12-31","15","1398","0","0","Norway","left","188","9.53","5.6","75.86","4.7","63.01","0.52","6","1.29","0","0.02","0","0.13","50","0","0.45","0","1.61","68","5.79","50","0.26","1.61","0.45","56.78","89","20.34","80.06","5.15","61.25","0.01","0","0.19","66.67","0.06","8.76","77.94","1.16","27.78","0.26","11.39","71.19"
"M. Sauer","Norway 1.","Haugesund","RAMF, RW","21","350000","2027-06-30","27","1395","1","0","Denmark","left","181","5.03","6.13","54.74","1.35","19.05","0.26","2.16","3.94","0.06","0.12","0","1.87","27.59","3.448","2.39","43.24","5.03","47.44","10.32","39.38","2.45","3.68","0.45","23.74","80.98","4.32","70.15","0.9","35.71","0.12","0","0.19","0","0.84","1.68","65.38","2.58","50","0.84","2.84","81.82"
"S. Nilsen","Norway 1.","Brann","DMF","34","450000","2027-06-30","15","1380","2","0","Norway","right","185","11.67","8.02","57.72","3.85","59.32","0.2","10.7","0.85","0.13","0.08","0.07","0.91","21.43","14.286","0.07","100","0.52","62.5","3.52","48.15","1.04","0.85","0","69.78","88.13","25.11","79.74","4.24","53.85","0.05","0","0.33","80","0.07","12.59","84.97","2.09","62.5","1.43","11.09","80"
"A. Grønbæk","Norway 1.","Bodø / Glimt","LCMF, LWF","24","12000000","2029-06-30","15","1377","8","1","Denmark","right","176","9.08","7.45","71.05","0.65","40","0.33","5.21","5.75","0.46","0.4","0","2.81","44.19","18.605","2.16","33.33","6.8","55.77","12.88","43.15","4.38","2.75","0.59","26.73","73.59","8.1","64.52","2.16","54.55","0.19","0","0.07","0","0.39","3.53","77.78","3.33","62.75","1.5","4.84","83.78"
