"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Aimar Sánchez","Panama 1.","Plaza Amador","LCB","20","0","","11","1001","1","0.89","1","0.47","Panama","","0","no","10.07","5.66","79.37","6.02","68.66","0.27","10.33","0.09","0.08","0.09","6","0.54","50","16.667","0","0","0.18","100","0.99","36.36","0.99","0.09","0","43.79","85.22","20.05","75.78","7.82","62.07","0.04","0","0.18","4.68","67.31","0","0","0.27","9.89","70","","","0","0","","",""
"M. Díaz","Panama 1.","Alianza","LW, LWF, LAMF","26","0","","22","993","1","1.7","4","1.46","Panama","","0","no","5.47","5.38","60.71","3.75","38.46","0","2.86","0.1","0.16","0.1","28","2.69","28.57","3.571","2.59","18.52","4.03","64.29","8.16","51.76","2.4","2.69","0.38","20.75","65.74","7.4","57.14","2.02","38.1","0.14","0.29","0.48","3.55","51.35","2.4","28","0.58","3.46","77.78","","","0","0","","",""
"J. Vargas","Panama 1.","Tauro","RCB, LCB","31","175000","","11","984","0","0","0","0","Panama","right","182","no","11.64","7.95","76.06","3.92","68.57","0.67","7.85","0","0","0","0","0","0","0","0","0","0.11","100","1.23","36.36","0.56","0.11","0","21.27","76.84","11.31","62.38","5.82","55.77","0","0","0","2.57","39.13","0.11","0","0.11","4.48","60","","","0","0","","",""
"M. Rodríguez","Panama 1.","Alianza","LCMF, DMF, LCB","27","75000","","12","980","0","0.12","0","0.7","Panama","","0","no","11.58","10.22","63.27","4.48","46.51","0.42","6.06","0","0.01","0","2","0.21","50","0","0","0","0.73","28.57","3.96","26.32","0.42","0.83","0.1","26.49","80.71","10.74","63.11","4.9","53.19","0.07","0","0.21","5.32","62.75","1.25","33.33","0.52","4.69","86.67","","","0","0","","",""
"A. Edwards","Panama 1.","CD Universitario","CF, LWF","26","50000","2026-12-31","21","972","2","2.12","2","0.82","Panama","right","187","no","3.33","2.5","70.37","9.81","39.62","0.09","2.34","0.19","0.2","0","16","1.48","31.25","12.5","0.46","40","1.67","38.89","8.7","30.85","3.33","0.56","0.09","10","75","1.76","57.89","0.37","75","0.08","0.28","0.46","0.83","66.67","1.11","41.67","0.46","0.83","88.89","","","0","0","","",""
"M. Pérez","Panama 1.","Plaza Amador","GK","22","0","","10","968","0","0","1","0.14","Panama","unknown","0","no","1.74","0.21","0","0.51","100","0","3.09","0","0","0","0","0","0","0","0","0","0","0","0.51","60","0","0","0","21.32","83.17","11.07","69.44","6.77","48.48","0.01","0","0.1","2.36","30.43","0.21","0","0","3.69","66.67","1.03","3.49","70.59","0.89","-1.3","-0.133","1.23"
"J. Meléndez","Panama 1.","UMECIT","LB, LWB","31","75000","","18","960","0","0","0","0.01","Panama","","175","no","6","4.27","72.97","1.38","16.67","0.12","3.88","0","0","0","1","0.12","0","0","2.54","18.18","0.58","40","1.27","36.36","0.23","0.69","0","23.54","78.43","8.88","80.52","3.69","53.13","0","0","0.12","3.35","65.52","2.31","35","0.35","5.19","88.89","","","0","0","","",""
"K. Meneses","Panama 1.","Árabe Unido","RW, RB, RWB","30","0","","17","951","0","0.34","0","0.53","Panama","unknown","0","no","6.73","5.4","52.63","1.99","19.05","0.28","5.5","0","0.03","0","5","0.47","20","0","2.37","28","1.89","60","5.78","45.9","0.95","1.42","0.28","27","77.19","10.14","71.96","3.03","56.25","0.05","0.09","0.19","4.36","78.26","2.56","40.74","0.57","5.97","79.37","","","0","0","","",""
"I. Hernández","Panama 1.","Potros del Este","CB, LCMF, LCB","24","0","","12","948","0","0","0","0.17","Panama","unknown","0","no","8.62","4.91","75.56","2.07","47.37","0.55","6.7","0","0","0","0","0","0","0","0","0","0.33","66.67","3.05","50","0.11","0.98","0","38.62","86.16","16.69","76.47","5.24","56.25","0.02","0","0","5.02","67.39","0.11","100","0.22","9.16","69.05","","","0","0","","",""
"Aimar Modelo","Panama 1.","Independiente","RB","21","0","","12","946","1","0.49","2","1.44","Panama","","0","no","8.94","8.94","53.19","1.14","50","0.19","5.78","0.1","0.05","0","5","0.48","60","20","3.33","40","4","52.38","8.18","44.19","0.57","2.66","0.57","42.43","76.01","17.12","66.67","3.9","51.22","0.14","0.19","0.38","6.18","67.69","3.42","38.89","0.19","11.23","69.49","","","0","0","","",""
