"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"N. Janković","Croatia 1.","Rijeka","LAMF, LDMF, AMF","24","5000000","2029-01-15","9","719","0","1","Croatia","right","188","5.26","4.13","66.67","1.75","50","0.25","3.12","3.5","0","0.16","0","1.88","26.67","0","2.13","29.41","3.13","76","6.38","52.94","1.88","1.75","0.13","24.91","79.9","5.88","65.96","1.13","33.33","0.27","0.13","0","0","0.5","2.5","45","2","50","0.63","2.5","70"
"D. Mejía","Croatia 1.","Vukovar","RDMF, RW, LDMF","22","0","2026-06-30","12","706","1","0","Colombia","unknown","163","10.71","9.18","58.33","1.91","26.67","0","4.87","3.06","0.13","0.11","0","1.27","20","10","1.53","58.33","2.17","88.24","6.88","53.7","1.53","2.04","0.38","28.43","75.34","9.94","56.41","3.82","53.33","0.03","0.13","0.38","0","0.13","6.25","61.22","1.78","50","0.25","7.14","69.64"
"D. Pavičić","Croatia 1.","Gorica","AMF, CF, RCMF","31","600000","2026-06-30","11","703","0","0","Croatia","right","179","4.86","2.43","47.37","1.66","38.46","0.26","3.43","1.15","0","0.14","0","1.28","30","0","0.13","0","1.54","50","7.43","36.21","1.79","1.28","0.13","30.6","88.7","9.09","78.87","1.28","40","0.02","0.13","0.13","0","0.13","3.84","80","1.54","66.67","1.15","4.22","81.82"
"I. Katić","Croatia 1.","Lokomotiva Zagreb","RCMF, RDMF","20","0","","10","694","0","0","Croatia","unknown","0","6.74","5.45","57.14","1.04","50","0","4.46","1.17","0","0.06","0","1.04","12.5","0","0.65","0","1.43","72.73","7.39","43.86","0.78","1.3","0.13","33.85","81.99","9.47","71.23","2.07","56.25","0.03","0","0","0","0.13","5.06","71.79","0.91","42.86","0.52","4.15","71.88"
"S. Shopov","Croatia 1.","Osijek","AMF, RDMF","23","600000","2028-06-30","12","693","0","1","Bulgaria","right","179","6.75","5.97","60.87","0.91","14.29","0","3.84","1.3","0","0.17","0","1.56","33.33","0","1.17","22.22","0.91","42.86","2.99","21.74","2.08","0.91","0.13","31.95","71.14","10.65","58.54","3.9","46.67","0.18","0.13","0.13","100","0.65","3.9","46.67","2.34","61.11","1.3","5.32","58.54"
"F. Karačić","Croatia 1.","Hajduk Split","RB, RWB","29","500000","2028-06-30","9","692","1","2","Croatia","right","181","7.41","6.37","57.14","2.21","58.82","0.39","5.03","2.21","0.13","0.05","0.13","1.04","25","12.5","4.16","31.25","1.17","55.56","3.25","44","1.95","1.3","0.13","41.62","72.81","16.91","63.08","4.55","31.43","0.13","0","0","0","0.26","5.59","48.84","4.29","30.3","0.39","8.97","71.01"
"S. Perić","Croatia 1.","Gorica","RB, RCB","28","350000","","9","690","0","0","Austria","right","187","5.61","4.17","56.25","3.39","69.23","0.39","4.39","0.52","0","0.01","0","0.26","50","0","0.91","14.29","0.52","50","2.09","37.5","0.65","1.7","0.13","40.96","83.12","18.13","76.26","5.09","43.59","0","0","0","0","0","4.17","62.5","0.91","14.29","0.26","8.61","66.67"
"M. Vešović","Croatia 1.","Lokomotiva Zagreb","RWB, RB","34","250000","","9","687","1","0","Montenegro","right","180","7.99","5.9","60","1.31","40","0","5.6","2.75","0.13","0.11","0","0.39","33.33","33.333","4.32","39.39","1.44","63.64","7.99","31.15","1.7","2.1","0.52","34.85","72.18","9.56","50.68","1.83","28.57","0.16","0","0.13","0","0.39","3.93","50","3.54","48.15","0.39","6.68","60.78"
"R. Henning","Croatia 1.","Vukovar","LCB, RCB","25","325000","","7","680","0","0","Jamaica","right","193","6.75","2.65","55","2.12","43.75","0.4","6.12","0.66","0","0","0","0.13","0","0","0.4","33.33","0.53","75","1.46","36.36","0.13","0.93","0.26","45.13","87.1","21.97","80.72","3.44","42.31","0.01","0","0.13","100","0.13","4.63","82.86","0.79","33.33","0.13","9.66","63.01"
"M. Tadić","Croatia 1.","Vukovar","RCB","32","0","","9","673","0","0","Croatia","","0","9.09","5.35","65","4.95","51.35","0.53","6.81","0.94","0","0.03","0","0.8","66.67","0","0.67","20","0.4","66.67","2.27","64.71","0.27","0.67","0","43.19","81.11","19.26","70.83","8.16","47.54","0","0.13","0","0","0","7.89","61.02","1.34","40","0.53","9.76","69.86"
