"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"M. Trusa","Slovakia 1.","DAC","CF, RAMF, RW","24","1000000","2027-06-30","26","2247","10","1","Slovakia","right","186","4.85","4.61","52.17","5.77","39.58","0.16","3.56","2.68","0.32","0.54","0.12","2.76","31.88","14.493","1.24","25.81","2.44","60.66","9.73","34.98","3.52","1.76","0.36","15.98","73.93","3.36","60.71","0.44","54.55","0.05","0","0","0","0.24","0.96","66.67","0.96","41.67","0.56","1.64","58.54"
"J. Hladík","Slovakia 1.","Ružomberok","RW, RWF, CF","32","175000","2026-05-31","27","2245","10","3","Czech Republic","right","186","3.81","3.41","69.41","3.97","30.3","0.16","1.89","4.77","0.36","0.31","0","1.72","51.16","23.256","3.61","42.22","3.81","61.05","12.15","34.32","3.93","2","0.16","24.13","73.92","5.09","61.42","1.36","55.88","0.15","0.08","0.12","33.33","0.64","1.88","51.06","2.93","57.53","0.96","3.37","71.43"
"A. Kyziridis","Slovakia 1.","Zemplín Michalovce","LW, LAMF","25","200000","","26","2233","15","3","Greece","right","179","4.88","5.08","50","0.97","20.83","0.04","3.13","7.13","0.44","0.52","0","3.06","51.32","19.737","3.67","30.77","8.46","49.52","14.19","41.76","5.52","4.51","0.48","32.12","72.52","8.46","61.43","1.97","46.94","0.21","0.04","0.32","75","0.52","3.02","61.33","4.11","57.84","2.42","5.12","81.1"
"M. Ujlaky","Slovakia 1.","Spartak Trnava","LCB, RCB","21","175000","","25","2223","0","0","Slovakia","right","181","11.58","7.45","74.46","4.05","45","1.05","7.49","0.24","0","0.02","0","0.28","28.57","0","0.16","0","0.32","50","1.66","48.78","0.32","0.53","0.04","35.43","83.66","15.02","69.81","4.66","46.96","0","0","0.04","0","0","4.86","60.83","0.61","20","0.12","6.4","66.46"
"R. Sanusi","Slovakia 1.","Žilina","LWB, RWB","23","500000","2027-06-30","28","2204","4","2","Nigeria","","0","8.45","6.86","55.95","3.1","35.53","0.16","6.66","4.61","0.16","0.25","0","2.65","33.85","6.154","2.82","36.23","4.98","52.46","10.13","45.56","3.55","3.63","0.29","27.89","77.75","7.55","64.32","2.37","44.83","0.11","0","0.12","66.67","0.33","2.78","69.12","2.12","55.77","0.69","5.15","74.6"
"D. Strelec","Slovakia 1.","Slovan Bratislava","CF","24","2800000","2028-06-30","29","2200","20","5","Slovakia","left","185","2.33","1.76","48.84","2.45","33.33","0.16","2.18","2.74","0.82","0.5","0.16","2.58","47.62","31.746","0.94","26.09","1.92","51.06","6.34","30.32","5.65","1.84","0.2","17.92","72.15","4.91","67.5","0.53","46.15","0.21","0.04","0.49","58.33","0.53","2.09","78.43","1.84","55.56","1.35","2.66","72.31"
"C. Blackman","Slovakia 1.","Slovan Bratislava","RB","27","1200000","2026-06-30","27","2189","1","3","Panama","right","174","7.36","6.66","55.56","1.48","55.56","0.12","5.04","2.1","0.04","0.09","0","0.62","46.67","6.667","2.3","26.79","2.26","50.91","6.91","45.83","2.06","1.93","0.12","41.4","83.42","12.42","76.49","1.69","53.66","0.09","0.08","0.21","20","0.37","3.49","82.35","2.34","47.37","0.78","6.5","72.15"
"S. Gidi","Slovakia 1.","Žilina","RCMF, LCMF","21","0","","27","2183","1","1","Ghana","right","178","9.52","8.16","51.52","2.97","47.22","0.25","8.65","1.28","0.04","0.03","0","0.91","31.82","4.545","0.29","28.57","1.36","57.58","6.72","44.79","0.29","0.91","0.21","59.04","88.27","16.49","74.25","4.49","56.88","0.01","0.08","0.29","42.86","0.21","9.23","75","1.94","46.81","0.74","8.62","74.16"
"Š. Faško","Slovakia 1.","Podbrezová","RCMF, DMF, LCMF","19","0","","28","2142","1","1","Slovakia","left","0","8.82","8.19","58.97","1.18","28.57","0.29","4.38","1.18","0.04","0.11","0","1.26","36.67","3.333","0.63","20","0.71","76.47","3.74","56.18","1.05","0.92","0.17","34.71","80.87","12.94","70.13","2.56","57.38","0.07","0.08","0.04","100","0.34","4.33","69.9","1.51","41.67","0.8","6.6","69.43"
"S. Kopásek","Slovakia 1.","Žilina","RCB, RWB","22","0","","30","2140","1","2","Slovakia","right","175","9.63","7.32","63.22","2.69","37.5","0.29","7.8","1.64","0.04","0.04","0","1.18","21.43","3.571","1.43","35.29","1.3","64.52","5.68","44.44","1.6","1.89","0.29","44.92","81.18","18.88","72.83","4.29","48.04","0.16","0","0.13","33.33","0.29","8.5","73.27","2.52","45","1.22","11.27","79.48"
